
******************************************************************************

       Energy levels and statistical weights for Fe VI

>> Data is from Keith Butler
>>   Maximum energy included = Ionization energy =>   799000.
>>   Put into John`s format by create.f
>> Data is from NIST
>>   Maximum energy included = Ionization energy =>   799000.
>>   Put into John`s format by create.f
>> Data from Keith Butler rewritten with NIST energies
>>   79 energies from NIST included

  Config               Statistical   Energy    Ionization
                         Weight      (cm-1)    Energy(eV)
******************************************************************************

24-May-1996                             !Date                                   
80                                      !Number of energy levels                
799000.                                 !Ionization energy                      
6.0                                     !Screened nuclear charge                
867                                     !Number of transitions                  

3d34Fe[3/2]                4.          0.000     99.059       1
3d34Fe[5/2]                6.        511.300     98.996       2
3d34Fe[7/2]                8.       1188.300     98.912       3
3d34Fe[9/2]               10.       2000.600     98.811       4
3d34Pe[1/2]                2.      18738.300     96.736       5
3d34Pe[3/2]                4.      18942.000     96.711       6
3d34Pe[5/2]                6.      19610.800     96.628       7
3d32Ge[7/2]                8.      20616.400     96.503       8
3d32Ge[9/2]               10.      21315.000     96.417       9
3d32Pe[3/2]                4.      26214.900     95.809      10
3d32Pe[1/2]                2.      26495.500     95.774      11
3d3b2De[5/2]               6.      28484.300     95.528      12
3d3b2De[3/2]               4.      28627.900     95.510      13
3d32He[9/2]               10.      28724.300     95.498      14
3d32He[11/2]              12.      29202.900     95.439      15
3d32Fe[7/2]                8.      46217.300     93.329      16
3d32Fe[5/2]                6.      46603.700     93.281      17
3d3a2De[5/2]               6.      71707.600     90.169      18
3d3a2De[3/2]               4.      72048.900     90.127      19
3d2(3F)4s4Fe[3/2]          4.     261841.400     66.596      20
3d2(3F)4s4Fe[5/2]          6.     262368.400     66.531      21
3d2(3F)4s4Fe[7/2]          8.     263135.900     66.436      22
3d2(3F)4s4Fe[9/2]         10.     264118.300     66.314      23
3d2(3F)4s2Fe[5/2]          6.     269140.200     65.691      24
3d2(3F)4s2Fe[7/2]          8.     270672.600     65.501      25
3d2(1D)4s2De[5/2]          6.     280901.500     64.233      26
3d2(1D)4s2De[3/2]          4.     281217.800     64.194      27
3d2(3P)4s4Pe[1/2]          2.     281477.000     64.162      28
3d2(3P)4s4Pe[3/2]          4.     282035.000     64.093      29
3d2(3P)4s4Pe[5/2]          6.     282951.900     63.979      30
3d2(3P)4s2Pe[1/2]          2.     287919.200     63.363      31
3d2(3P)4s2Pe[3/2]          4.     288638.300     63.274      32
3d2(1G)4s2Ge[9/2]         10.     292313.000     62.818      33
3d2(1G)4s2Ge[7/2]          8.     292330.100     62.816      34
3d2(1S)4s2Se[1/2]          2.     329026.000     58.267      35
3d2(3F)4p4Go[5/2]          6.     338256.400     57.122      36
3d2(3F)4p4Go[7/2]          8.     339477.000     56.971      37
3d2(3F)4p4Fo[3/2]          4.     339539.800     56.963      38
3d2(3F)4p4Fo[5/2]          6.     340344.000     56.864      39
3d2(3F)4p4Go[9/2]         10.     340935.000     56.790      40
3d2(3F)4p4Fo[7/2]          8.     341365.300     56.737      41
3d2(3F)4p4Fo[9/2]         10.     342434.400     56.604      42
3d2(3F)4p2Fo[5/2]          6.     342571.500     56.587      43
3d2(3F)4p4Go[11/2]        12.     342730.600     56.568      44
3d2(3F)4p4Do[3/2]          4.     343210.900     56.508      45
3d2(3F)4p2Fo[7/2]          8.     343608.200     56.459      46
3d2(3F)4p4Do[1/2]          2.     343619.300     56.458      47
3d2(3F)4p4Do[5/2]          6.     344273.300     56.377      48
3d2(3F)4p2Do[3/2]          4.     344652.600     56.329      49
3d2(3F)4p4Do[7/2]          8.     345422.600     56.234      50
3d2(3F)4p2Do[5/2]          6.     345907.100     56.174      51
3d2(3F)4p2Go[7/2]          8.     348962.100     55.795      52
3d2(3F)4p2Go[9/2]         10.     350017.800     55.664      53
3d2(3P)4p2So[1/2]          2.     351805.800     55.443      54
3d2(3P)4p4So[3/2]          4.     355657.100     54.965      55
3d2(1D)4p2Po[3/2]          4.     357755.200     54.705      56
3d2(1D)4p2Fo[5/2]          6.     358334.600     54.633      57
3d2(1D)4p2Po[1/2]          2.     359099.300     54.538      58
3d2(3P)4p4Do[1/2]          2.     359395.900     54.502      59
3d2(3P)4p4Do[3/2]          4.     359781.300     54.454      60
3d2(1D)4p2Fo[7/2]          8.     359884.000     54.441      61
3d2(3P)4p4Do[5/2]          6.     360707.100     54.339      62
3d2(1D)4p2Do[3/2]          4.     361858.200     54.196      63
3d2(3P)4p4Do[7/2]          8.     362270.000     54.145      64
3d2(1D)4p2Do[5/2]          6.     362602.900     54.104      65
3d2(3P)4p4Po[1/2]          2.     363945.700     53.938      66
3d2(3P)4p4Po[3/2]          4.     364392.900     53.882      67
3d2(1G)4p2Go[7/2]          8.     365077.000     53.797      68
3d2(1G)4p2Go[9/2]         10.     365266.600     53.774      69
3d2(3P)4p4Po[5/2]          6.     365494.000     53.746      70
3d2(3P)4p2Do[3/2]          4.     370538.100     53.120      71
3d2(3P)4p2Do[5/2]          6.     370579.600     53.115      72
3d2(1G)4p2Ho[9/2]         10.     372095.600     52.927      73
3d2(1G)4p2Ho[11/2]        12.     373706.100     52.727      74
3d2(3P)4p2Po[1/2]          2.     374088.300     52.680      75
3d2(3P)4p2Po[3/2]          4.     374425.600     52.638      76
3d2(1G)4p2Fo[7/2]          8.     377951.800     52.201      77
3d2(1G)4p2Fo[5/2]          6.     379077.600     52.062      78
3d2(1S)4p2Po[1/2]          2.     408207.400     48.450      79
3d2(1S)4p2Po[3/2]          4.     410389.500     48.179      80


*************************************************************************************

  Oscillator strengths for Fe VI 

  Listed according to increasing lower level, i

*************************************************************************************

