
******************************************************************************

       Energy levels and statistical weights for FeV   

 Data is from K Butler, Priv. Com. Feb 95   
 Date data calculated: 20-Jun-1989                             

 This data file was written by the program:
 Uhaul:/export/home1/users/dlmiller/atomic/create/mk_data_file.f
 See the comments in this routine for more information.  DLM

  Config        Statistical   Energy  Ionization
                  Weight      (cm-1)  Energy(eV)
******************************************************************************

28-Jun-1995                             !Date
182                                     !Number of energy levels
605000.0000                             !Ionization energy (cm-1)
5.0                                     !Screened nuclear charge
3800                                    !Number of transitions

3d3(4P3)4p5Do[0]    1.    274753.3000   40.94362
3d3(4P3)4p5Po[3]    7.    274930.3000   40.92167
3d3(4P3)4p5Do[1]    3.    275146.6000   40.89485
3d3(4P3)4p5Do[2]    5.    275374.3000   40.86662
3d3(2G3)4p3Ho[4]    9.    276429.7000   40.73578
3d3(4P3)4p3Po[0]    1.    276434.9000   40.73513
3d3(4P3)4p3Po[2]    5.    276759.2000   40.69493
3d3(4P3)4p3Po[1]    3.    276765.9000   40.69410
3d3(4P3)4p5Do[3]    7.    277068.5000   40.65658
3d3(2G3)4p3Ho[5]   11.    277292.7000   40.62878
3d3(4P3)4p5Do[4]    9.    278075.8000   40.53170
3d3(2G3)4p3Ho[6]   13.    278650.7000   40.46042
3d3(2G3)4p3Go[3]    7.    278794.2000   40.44263
3d3(2G3)4p3Go[4]    9.    279502.6000   40.35480
3d3(2G3)4p3Go[5]   11.    280039.6000   40.28823
3d3(2P3)4p1So[0]    1.    280337.0000   40.25135
3d3(2G3)4p1Go[4]    9.    280367.2000   40.24761
3d3(2G3)4p3Fo[2]    5.    280539.7000   40.22622
3d3(2G3)4p3Fo[3]    7.    280832.2000   40.18996
3d3(2P3)4p3Po[1]    3.    281944.9000   40.05201
3d3(2G3)4p3Fo[4]    9.    282038.1000   40.04045
3d3(2P3)4p3Po[0]    1.    282234.5000   40.01610
3d3(4P3)4p5So[2]    5.    282423.5000   39.99267
3d3(2G3)4p1Fo[3]    7.    282571.6000   39.97431
3d3(2P3)4p3Po[2]    5.    282604.8000   39.97020
3d3(2G3)4p1Ho[5]   11.    282871.9000   39.93708
3d3(2D3)4p3Fo[2]    5.    283686.3000   39.83611
3d3(4P3)4p3Do[1]    3.    283754.0000   39.82772
3d3(2H3)4p3Ho[4]    9.    284690.3000   39.71164
3d3(2H3)4p3Ho[5]   11.    284790.8000   39.69918
3d3(2P3)4p1Do[2]    5.    284911.2000   39.68425
3d3(2H3)4p3Ho[6]   13.    285196.1000   39.64893
3d3(4P3)4p3Do[3]    7.    285474.0000   39.61448
3d3(2P3)4p1Po[1]    3.    285961.7000   39.55401
3d3(4P3)4p3Do[2]    5.    286154.9000   39.53006
3d3(4P3)4p3So[1]    3.    286187.7000   39.52599
3d3(2P3)4p3Do[3]    7.    286431.3000   39.49579
3d3(2P3)4p3Do[1]    3.    286855.3000   39.44322
3d3(2P3)4p3Do[2]    5.    286862.7000   39.44231
3d3(2D3)4p3Fo[3]    7.    287109.6000   39.41170
3d34p3Io[5]        11.    287440.5000   39.37067
3d3(2D3)4p3Fo[4]    9.    287620.2000   39.34839
3d34p3Io[6]        13.    288167.0000   39.28060
3d3(2D3)4p3Do[1]    3.    288669.8000   39.21826
3d34p3Io[7]        15.    289171.9000   39.15601
3d3(2D3)4p3Do[2]    5.    289389.7000   39.12901
3d3(2H3)4p1Go[4]    9.    289545.9000   39.10965
3d3(2D3)4p3Do[3]    7.    289913.0000   39.06413
3d3(2H3)4p1Ho[5]   11.    290099.1000   39.04106
3d3(2D3)4p3Po[2]    5.    290407.7000   39.00280
3d3(2D3)4p3Po[1]    3.    290583.7000   38.98098
3d3(2D3)4p3Po[0]    1.    290903.4000   38.94134
3d3(2D3)4p1Fo[3]    7.    291231.4000   38.90068
3d3(2H3)4p3Go[5]   11.    292287.6000   38.76973
3d34p1Io[6]        13.    292365.9000   38.76003
3d3(2H3)4p3Go[4]    9.    292430.7000   38.75199
3d3(2H3)4p3Go[3]    7.    292513.2000   38.74176
3d3(2P3)4p3So[1]    3.    294644.0000   38.47759
3d3(2D3)4p1Do[2]    5.    295716.4000   38.34463
3d3(2F3)4p3Do[1]    3.    295973.2000   38.31280
3d3(2F3)4p3Fo[2]    5.    302292.7000   37.52931
3d3(2F3)4p3Fo[3]    7.    302377.1000   37.51885
3d3(2F3)4p3Fo[4]    9.    302602.5000   37.49090
3d3(2F3)4p3Go[3]    7.    306193.9000   37.04565
3d3(2F3)4p3Go[4]    9.    306622.8000   36.99247
3d3(2F3)4p3Go[5]   11.    307064.4000   36.93772
3d3(2F3)4p3Do[3]    7.    307288.7000   36.90991
3d3(2F3)4p1Do[2]    5.    307644.4000   36.86581
3d3(2F3)4p3Do[2]    5.    308165.0000   36.80127
3d3(2D3)4p1Po[1]    3.    308671.5000   36.73848
3d3(2F3)4p1Go[4]    9.    311180.9000   36.42736
3d3(2F3)4p1Fo[3]    7.    311538.7000   36.38300
3d3(2D1)4p3Do[1]    3.    327533.8000   34.39995
3d3(2D1)4p3Do[2]    5.    327605.4000   34.39107
3d3(2D1)4p3Do[3]    7.    327924.4000   34.35152
3d3(2D1)4p1Do[2]    5.    329848.6000   34.11296
3d3(2D1)4p3Fo[2]    5.    331333.8000   33.92883
3d3(2D1)4p3Fo[3]    7.    331367.0000   33.92471
3d3(2D1)4p3Fo[4]    9.    332017.3000   33.84409
3d3(2D1)4p3Po[2]    5.    334509.1000   33.53516
3d3(2D1)4p3Po[1]    3.    335267.8000   33.44110
3d3(2D1)4p3Po[0]    1.    335642.7000   33.39462
3d3(2D1)4p1Fo[3]    7.    335947.4000   33.35684
3d3(2D1)4p1Po[1]    3.    342462.2000   32.54914


*************************************************************************************

  Oscillator strengths for FeV   

  Listed according to increasing lower level, i

*************************************************************************************

   Transition                         f(abs)         A           Lam(A)     i-j          #

3d4(4)5De[0]-3d3(4F3)4p5Fo[1]        1.5000D-01   2.2150D+09     387.984     1-  73       1
3d4(4)5De[0]-3d3(4F3)4p5Do[1]        3.4140D-02   5.0870D+08     386.262     1-  81       2
3d4(4)5De[0]-3d3(4F3)4p3Do[1]        4.3870D-02   6.5940D+08     384.622     1-  85       3
3d4(4)5De[0]-3d3(4P3)4p5Po[1]        6.6460D-02   1.1060D+09     365.440     1-  97       4
3d4(4)5De[0]-3d3(4P3)4p5Do[1]        5.2590D-03   8.8520D+07     363.443     1- 101       5
3d4(4)5De[0]-3d3(4P3)4p3Po[1]        6.8860D-04   1.1730D+07     361.316     1- 106       6
3d4(4)5De[0]-3d3(2P3)4p3Po[1]        2.8010D-04   4.9510D+06     354.679     1- 118       7
3d4(4)5De[0]-3d3(4P3)4p3Do[1]        3.6120D-05   6.4660D+05     352.418     1- 126       8
3d4(4)5De[0]-3d3(2P3)4p1Po[1]        3.1540D-05   5.7340D+05     349.697     1- 132       9
3d4(4)5De[0]-3d3(4P3)4p3So[1]        5.9000D-05   1.0740D+06     349.421     1- 134      10
3d4(4)5De[0]-3d3(2P3)4p3Do[1]        1.4100D-05   2.5800D+05     348.608     1- 136      11
3d4(4)5De[0]-3d3(2D3)4p3Do[1]        3.2200D-08   5.9660D+02     346.417     1- 142      12
3d4(4)5De[0]-3d3(2D3)4p3Po[1]        2.9230D-05   5.4880D+05     344.135     1- 149      13
3d4(4)5De[0]-3d3(2P3)4p3So[1]        5.0800D-05   9.8050D+05     339.393     1- 156      14
3d4(4)5De[0]-3d3(2F3)4p3Do[1]        7.8680D-06   1.5320D+05     337.868     1- 158      15
3d4(4)5De[0]-3d3(2D3)4p1Po[1]        6.3000D-06   1.3350D+05     323.969     1- 168      16
3d4(4)5De[0]-3d3(2D1)4p3Do[1]        5.3830D-06   1.2840D+05     305.312     1- 171      17
3d4(4)5De[0]-3d3(2D1)4p3Po[1]        7.1770D-09   1.7940D+02     298.269     1- 179      18
3d4(4)5De[0]-3d3(2D1)4p1Po[1]        1.4980D-09   3.9050D+01     292.003     1- 182      19
3d4(4)5De[1]-3d3(4F3)4p5Go[2]        1.4660D-08   3.8050D+02     392.679     2-  69      20
3d4(4)5De[1]-3d3(4F3)4p5Fo[1]        2.3280D-03   1.0300D+08     388.198     2-  73      21
3d4(4)5De[1]-3d3(4F3)4p5Do[2]        1.2030D-01   3.2040D+09     387.617     2-  74      22
3d4(4)5De[1]-3d3(4F3)4p5Do[0]        5.2430D-02   7.0090D+09     386.881     2-  77      23
3d4(4)5De[1]-3d3(4F3)4p5Do[1]        3.2210D-02   1.4390D+09     386.474     2-  81      24
3d4(4)5De[1]-3d3(4F3)4p5Fo[2]        8.4150D-04   2.2630D+07     385.752     2-  83      25
3d4(4)5De[1]-3d3(4F3)4p3Do[1]        2.3700D-03   1.0680D+08     384.833     2-  85      26
3d4(4)5De[1]-3d3(4F3)4p3Do[2]        1.7460D-02   4.7330D+08     384.217     2-  86      27
3d4(4)5De[1]-3d3(4F3)4p3Fo[2]        1.5270D-05   4.3390D+05     375.276     2-  94      28
3d4(4)5De[1]-3d3(4P3)4p5Po[1]        4.9710D-02   2.4800D+09     365.629     2-  97      29
3d4(4)5De[1]-3d3(4P3)4p5Po[2]        1.6740D-02   5.0280D+08     364.971     2-  98      30
3d4(4)5De[1]-3d3(4P3)4p5Do[0]        1.4910D-03   2.2510D+08     364.151     2-  99      31
3d4(4)5De[1]-3d3(4P3)4p5Do[1]        5.9760D-04   3.0140D+07     363.630     2- 101      32
3d4(4)5De[1]-3d3(4P3)4p5Do[2]        2.7340D-03   8.2880D+07     363.330     2- 102      33
