 
******************************************************************************
 
       Photoionization cross-sections for O I
 
 Data is from the Opacity project
   Verner high energy tail included for gnd level
   Smoothed with a gausian of width 3000 km/sec
 
          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  
           2 - Hydrogenic (n,l)
           3 - Hydrogenic (n)
          20 - Opacity Project: smoothed [number of data pairs]         

 [Reference] O\,{\sc i} photoionization cross-sections were computed as part of the opacity project
 [Reference] \citep{Sea87_OP} and were obtained from \citep{Topbase93}.
 
******************************************************************************
 
 6-Oct-1999                             !Date
69                                      !Number of energy levels
1                                       !Number of photoionization routes
1.0                                     !Screened nuclear charge
2s2_2p3_4So/2p^3_4So                    !Final state in ion
0.0                                     !Excitation energy of final state
4.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
11368                                   !Total number of data pairs
 
2s2_2p4_3Pe                             !Configuration name
 5.145D+00 3.664D+00
 5.461D+00 3.063D+00
 5.798D+00 2.560D+00
 6.124D+00 2.173D+00
 6.469D+00 1.843D+00
 6.833D+00 1.564D+00
 7.586D+00 1.143D+00
 8.338D+00 8.607D-01
 9.120D+00 6.578D-01
 9.876D+00 5.179D-01
 1.070D+01 4.078D-01
 1.147D+01 3.309D-01
 1.223D+01 2.725D-01
 1.299D+01 2.278D-01
 1.372D+01 1.933D-01
 1.508D+01 1.455D-01
 1.633D+01 1.146D-01
 1.734D+01 9.578D-02
 1.915D+01 7.105D-02
 2.033D+01 5.939D-02
 2.105D+01 5.455D-02
2s2_2p4_1Se                             !Configuration name
20                                      !Type of cross-section
73                                      !Number of cross-section points
 1.000D+00 0.000D+00
 1.276D+00 0.000D+00
 1.283D+00 6.434D-09
 1.289D+00 8.516D-08
 1.295D+00 1.434D-05
 1.302D+00 2.873D-04
 1.308D+00 2.542D-03
 1.315D+00 1.737D-02
 1.322D+00 8.999D-02
 1.328D+00 3.622D-01
 1.335D+00 1.129D+00
 1.341D+00 2.798D+00
 1.348D+00 5.597D+00
 1.355D+00 9.390D+00
 1.362D+00 1.354D+01
 1.368D+00 1.710D+01
 1.375D+00 1.868D+01
 1.382D+00 1.724D+01
 1.389D+00 1.312D+01
 1.396D+00 8.086D+00
 1.403D+00 4.059D+00
 1.410D+00 1.807D+00
 1.417D+00 1.246D+00
 1.424D+00 2.105D+00
 1.431D+00 4.182D+00
 1.438D+00 6.944D+00
 1.445D+00 9.195D+00
 1.453D+00 9.851D+00
 1.460D+00 8.916D+00
 1.467D+00 7.540D+00
 1.475D+00 6.847D+00
 1.550D+00 9.337D+00
 1.721D+00 9.875D+00
 1.901D+00 9.344D+00
 1.929D+00 9.487D+00
 1.958D+00 1.023D+01
 1.988D+00 1.184D+01
 2.048D+00 1.619D+01
 2.069D+00 1.699D+01
 2.100D+00 1.730D+01
 2.343D+00 1.422D+01
 2.931D+00 1.082D+01
 2.990D+00 1.145D+01
 3.081D+00 1.076D+01
 3.112D+00 1.078D+01
 3.238D+00 1.064D+01
 3.270D+00 1.065D+01
 3.386D+00 9.832D+00
 3.455D+00 9.990D+00
 3.778D+00 8.879D+00
 5.354D+00 5.898D+00
 5.827D+00 4.663D+00
 6.185D+00 3.898D+00
 6.566D+00 3.258D+00
 6.970D+00 2.724D+00
 7.363D+00 2.311D+00
 7.777D+00 1.961D+00
 8.215D+00 1.664D+00
 9.120D+00 1.216D+00
 1.003D+01 9.155D-01
 1.097D+01 6.996D-01
 1.193D+01 5.428D-01
 1.292D+01 4.274D-01
 1.386D+01 3.468D-01
 1.478D+01 2.855D-01
 1.569D+01 2.387D-01
 1.658D+01 2.026D-01
 1.831D+01 1.503D-01
 1.973D+01 1.201D-01
 2.105D+01 9.891D-02
 2.337D+01 7.226D-02
 2.469D+01 6.134D-02
 2.543D+01 5.793D-02
2s2_2p3(4So)3s_5So                      !Configuration name
20                                      !Type of cross-section
75                                      !Number of cross-section points
 1.000D+00 5.256D-02
 1.010D+00 5.601D-02
 1.030D+00 6.744D-02
 1.214D+00 1.835D-01
 1.396D+00 2.658D-01
 1.662D+00 3.296D-01
 2.653D+00 4.014D-01
 2.873D+00 4.546D-01
 3.005D+00 5.283D-01
 3.096D+00 6.283D-01
 3.158D+00 7.544D-01
 3.190D+00 8.567D-01
 3.222D+00 1.011D+00
 3.254D+00 1.267D+00
 3.270D+00 1.474D+00
 3.287D+00 1.810D+00
 3.303D+00 2.456D+00
 3.320D+00 3.915D+00
