
********************************************************************************

                 Dielectronic Transitions for O2DOUB    
                 LTDR transitions with ALPHA(DIE) < 1.00E-02 (*10^-12) ignored

********************************************************************************

14-Jun-1999                                      !Date
283478.7440                                      !Ionization energy
2.0                                              !Screened nuclear charge
43                                               !Number of dielectronic transitions

  Transition                      f           A          Lam(A)     Gu      v(exc)          a(10^4)   a(2x10^4)  a(3x10^4)

2p^3_2Do    -2p^2_5d'2Fe      4.337E-02   1.385E+09      386.25    14.0   5.8431E-02       3.369E-01  1.370E-01  7.817E-02     1
2p^3_2Do    -2p^2_5d'2De      3.031E-02   1.359E+09      385.72    10.0   6.9134E-02       2.243E-01  9.362E-02  5.386E-02     2
2p^3_2Po    -2p^2_5d'2De      1.905E-02   4.599E+08      407.16    10.0   6.9134E-02       7.591E-02  3.168E-02  1.823E-02     3
2p^2_3d'2Fe -2p^2_5f'2Go      1.074E-01   6.801E+07     2862.06    18.0   7.2012E-02       1.993E-02  8.375E-03  4.829E-03     4
2p^2_4d'2Fe -2p^2_5f'2Go      5.805E-01   3.912E+07     8774.02    18.0   7.2012E-02       1.146E-02  4.817E-03  2.778E-03     5
2p^3_2Do    -2p^2_5d'2Pe      8.454E-03   6.322E+08      385.58     6.0   7.2042E-02       6.174E-02  2.595E-02  1.496E-02     6
2p^3_2Po    -2p^2_5d'2Pe      1.943E-02   7.826E+08      407.00     6.0   7.2042E-02       7.643E-02  3.212E-02  1.852E-02     7
2p^2_3d'2De -2p^2_5f'2Fo      1.051E-01   5.495E+07     3018.70    14.0   7.2402E-02       1.250E-02  5.258E-03  3.033E-03     8
2p^2_3d'2Ge -2p^2_5f'2Ho      1.498E-01   9.291E+07     2966.49    22.0   7.6689E-02       3.254E-02  1.383E-02  8.003E-03     9
2p^2_4d'2Ge -2p^2_5f'2Ho      6.305E-01   3.954E+07     9328.99    22.0   7.6689E-02       1.385E-02  5.885E-03  3.406E-03    10
2p^3_2Po    -2p^2_5d'2Se      1.125E-02   1.365E+09      406.03     2.0   8.9550E-02       4.085E-02  1.791E-02  1.047E-02    11
2p^3_2Po    -2p^2_6s'2De      6.024E-03   1.471E+08      404.83    10.0   1.1156E-01       1.981E-02  9.152E-03  5.447E-03    12
2p^3_2Do    -2p^2_6d'2Fe      3.153E-02   1.051E+09      378.08    14.0   2.2623E-01       1.143E-01  6.953E-02  4.535E-02    13
2p^3_2Do    -2p^2_6d'2De      2.232E-02   1.043E+09      377.80    10.0   2.3208E-01       7.876E-02  4.860E-02  3.185E-02    14
