************************************************************************************************************************
 
                 Energy Levels and statistical weights for MG2
 
 [Reference] Mg\,{\sc ii} oscillator strengths are from the opacity project
 [Reference] \citep{Sea87_op}, and were retrieved from Topbase \citep{Topbase93}.
 [Reference] Augumented by hydrogenic values, and algebracic splitting performed.
 [Reference] These have been modified using values from \cite{NIST_V5} (2012-10-14).

                    g        E(cm^-1)    10^15 Hz     eV       Lam(A)       ID      ARAD         C4          C6
************************************************************************************************************************
 
17-Oct-2000                                      !Format date
15-Oct-2012                                      !Date
80                                               !Number of energy levels
121267.6100                                      !Ionization energy
2.0                                              !Screened nuclear charge
1993                                             !Number of transitions
 
10s_2Se[1/2]       2.0     115764.990000     0.16496     0.682    1.817E+04      48   2.679E+07   0.000E+00   0.000E+00
9d_2De[5/2]        6.0     115794.390000     0.16408     0.679    1.827E+04      49   5.574E+06   0.000E+00   0.000E+00
9d_2De[3/2]        4.0     115794.440000     0.16408     0.679    1.827E+04      50   5.587E+06   0.000E+00   0.000E+00
9f_2Fo[7/2]        8.0     115844.600000     0.16258     0.672    1.844E+04      51   2.223E+07   0.000E+00   0.000E+00
9f_2Fo[5/2]        6.0     115844.600000     0.16258     0.672    1.844E+04      52   2.223E+07   0.000E+00   0.000E+00
9z_2Z            130.0     115848.280000     0.16247     0.672    1.845E+04      53   5.970E+06   0.000E+00   0.000E+00
10p_2Po[1/2]       2.0     116193.700000     0.15211     0.629    1.971E+04      54   2.291E+06   0.000E+00   0.000E+00
10p_2Po[3/2]       4.0     116195.100000     0.15207     0.629    1.971E+04      55   2.296E+06   0.000E+00   0.000E+00
10d_2De[5/2]       6.0     116838.450000     0.13278     0.549    2.258E+04      56   3.986E+06   0.000E+00   0.000E+00
10d_2De[3/2]       4.0     116838.480000     0.13278     0.549    2.258E+04      57   3.995E+06   0.000E+00   0.000E+00
10f_2Fo[7/2]       8.0     116875.250000     0.13168     0.545    2.277E+04      58   1.636E+07   0.000E+00   0.000E+00
10f_2Fo[5/2]       6.0     116875.250000     0.13168     0.545    2.277E+04      59   1.636E+07   0.000E+00   0.000E+00
10z_2Z           168.0     116878.040000     0.13160     0.544    2.278E+04      60   3.816E+06   0.000E+00   0.000E+00
11w_2W           242.0     117640.042128     0.10875     0.450    2.757E+04      61   3.355E+06   0.000E+00   0.000E+00
12w_2W           288.0     118219.450121     0.09138     0.378    3.281E+04      62   2.247E+06   0.000E+00   0.000E+00
13w_2W           338.0     118670.365784     0.07786     0.322    3.850E+04      63   1.576E+06   0.000E+00   0.000E+00
14w_2W           392.0     119028.153558     0.06714     0.278    4.465E+04      64   1.136E+06   0.000E+00   0.000E+00
15w_2W           450.0     119316.798478     0.05848     0.242    5.126E+04      65   8.369E+05   0.000E+00   0.000E+00
16w_2W           512.0     119553.033193     0.05140     0.213    5.832E+04      66   6.285E+05   0.000E+00   0.000E+00
17w_2W           578.0     119748.818746     0.04553     0.188    6.584E+04      67   4.799E+05   0.000E+00   0.000E+00
18w_2W           648.0     119912.888943     0.04061     0.168    7.382E+04      68   3.718E+05   0.000E+00   0.000E+00
19w_2W           722.0     120051.741544     0.03645     0.151    8.225E+04      69   2.918E+05   0.000E+00   0.000E+00
20w_2W           800.0     120170.291644     0.03290     0.136    9.113E+04      70   2.318E+05   0.000E+00   0.000E+00
21w_2W           882.0     120272.312693     0.02984     0.123    1.005E+05      71   1.861E+05   0.000E+00   0.000E+00
22w_2W           968.0     120360.740532     0.02719     0.112    1.103E+05      72   1.508E+05   0.000E+00   0.000E+00
23w_2W          1058.0     120437.886990     0.02487     0.103    1.205E+05      73   1.234E+05   0.000E+00   0.000E+00
24w_2W          1152.0     120505.592530     0.02284     0.094    1.312E+05      74   1.017E+05   0.000E+00   0.000E+00
25w_2W          1250.0     120565.337052     0.02105     0.087    1.424E+05      75   8.450E+04   0.000E+00   0.000E+00
26w_2W          1352.0     120618.321446     0.01947     0.081    1.540E+05      76   7.070E+04   0.000E+00   0.000E+00
27w_2W          1458.0     120665.528419     0.01805     0.075    1.661E+05      77   5.953E+04   0.000E+00   0.000E+00
28w_2W          1568.0     120707.768390     0.01678     0.069    1.786E+05      78   5.042E+04   0.000E+00   0.000E+00
29w_2W          1682.0     120745.714504     0.01565     0.065    1.916E+05      79   4.295E+04   0.000E+00   0.000E+00
30w_2W          1800.0     120779.929619     0.01462     0.060    2.051E+05      80   3.678E+04   0.000E+00   0.000E+00


********************************************************************************

                        Oscillator strengths for MG2       
             Wavelengths in air for lambda > 2000 Ang, else vacuum

********************************************************************************

  Transition                      f           A          Lam(A)      i-j    Trans. #

3s_2Se[1/2] -3p_2Po[1/2]     3.0300E-01  2.5714E+08    2802.705       1-   2        1
3s_2Se[1/2] -3p_2Po[3/2]     6.0800E-01  2.5932E+08    2795.528       1-   3        2
3s_2Se[1/2] -4s_2Se[1/2]     5.7534E-12  1.8700E-02    1432.563       1-   4        3
