**********************************************************************************************************
                                                                                                                                             
 [Reference] N\,{\sc ii} auotionization data \citep{Autodata98}

  e + (N2+)
                                                                                                                                             
 Data Collections: Auburn-Rollins-Strathclyde Dielectronic Recombination Data
                                                                                                                                             
 http://www-cfadc.phy.ornl.gov/data_and_codes/aurost/aurost_recomb/home.html
                                                                                                                                             
 "Final-state-resolved dielectronic recombination rate coefficients have been
  generated for selected ions using the AUTOSTRUCTURE code. (Both partial and
  total rate coefficients are archived.) These calculations have been performed
  by a collaboration of researchers at Auburn University, Rollins College, the
  University of Strathclyde, and other universities."
  
                               g         A
**********************************************************************************************************

28-Aug-2001                                      !Format date
01-Dec-2004                                      !Date
595                                              !Number of energy levels
1.0D+07                                          !Default autoionization rate
3                                                !Entry number for autoionization rates

2s_2p2(4Pe)3d_5Fe[5.0]        11      0.000E+00
2s_2p2(4Pe)3d_5Pe[3.0]         7      6.000E+08
2s_2p2(4Pe)3d_5Pe[2.0]         5      2.268E+08
2s_2p2(4Pe)3d_5Pe[1.0]         3      1.190E+08
2s_2p2(4Pe)3d_5De[0.0]         1      1.288E+06
2s_2p2(4Pe)3d_5De[1.0]         3      2.052E+08
2s_2p2(4Pe)3d_5De[2.0]         5      4.630E+08
2s_2p2(4Pe)3d_5De[3.0]         7      5.450E+08
2s_2p2(4Pe)3d_5De[4.0]         9      1.841E+08
2s_2p2(4Pe)3d_3Fe[2.0]         5      1.607E+12
2s_2p2(4Pe)3d_3Fe[3.0]         7      1.620E+12
2s_2p2(4Pe)3d_3Fe[4.0]         9      1.638E+12
2s_2p2(4Pe)3d_3De[1.0]         3      1.347E+12
2s_2p2(4Pe)3d_3De[2.0]         5      1.362E+12
2s_2p2(4Pe)3d_3De[3.0]         7      1.392E+12
2s_2p2(4Pe)4s_5Pe[1.0]         3      2.660E+11
2s_2p2(4Pe)4s_5Pe[2.0]         5      4.913E+11
2s_2p2(4Pe)4s_5Pe[3.0]         7      1.920E+08
2s_2p2(4Pe)4s_3Pe[0.0]         1      1.725E+14
2s_2p2(4Pe)4s_3Pe[1.0]         3      1.720E+14
2s_2p2(4Pe)4s_3Pe[2.0]         5      1.705E+14
2s_2p2(4Pe)4p_5Do[0.0]         1      3.960E+09
2s_2p2(4Pe)4p_5Do[1.0]         3      3.360E+09
2s_2p2(4Pe)4p_5Do[2.0]         5      2.400E+09
2s_2p2(4Pe)4p_5Do[3.0]         7      1.471E+09
2s_2p2(4Pe)4p_5Do[4.0]         9      4.320E+07
2s_2p2(4Pe)4p_5Po[1.0]         3      9.220E+07
2s_2p2(4Pe)4p_5Po[2.0]         5      1.168E+09
2s_2p2(4Pe)4p_5Po[3.0]         7      1.469E+09
2s_2p2(4Pe)4p_3So[1.0]         3      2.580E+10
2s_2p2(4Pe)4p_5So[2.0]         5      8.160E+09
2s_2p2(4Pe)4p_3Do[1.0]         3      2.310E+13
2s_2p2(4Pe)4p_3Do[2.0]         5      2.307E+13
2s_2p2(4Pe)4p_3Do[3.0]         7      2.303E+13
2s_2p2(4Pe)4p_3Po[0.0]         1      7.460E+13
2s_2p2(4Pe)4p_3Po[1.0]         3      7.440E+13
2s_2p2(4Pe)4p_3Po[2.0]         5      7.420E+13
2s_2p2(4Pe)4d_5Fe[1.0]         3      7.110E+07
2s_2p2(4Pe)4d_5Fe[2.0]         5      3.720E+08
2s_2p2(4Pe)4d_5Fe[3.0]         7      6.520E+08
2s_2p2(4Pe)4d_5Fe[4.0]         9      6.893E+08
2s_2p2(4Pe)4d_5Fe[5.0]        11      1.610E+08
2s_2p2(4Pe)4d_5De[3.0]         7      8.970E+08
2s_2p2(4Pe)4d_5De[2.0]         5      4.650E+08
2s_2p2(4Pe)4d_5De[1.0]         3      2.380E+08
2s_2p2(4Pe)4d_5De[0.0]         1      1.473E+08
2s_2p2(4Pe)4d_5De[4.0]         9      5.340E+08
2s_2p2(4Pe)4d_5Pe[3.0]         7      1.511E+08
2s_2p2(4Pe)4d_5Pe[2.0]         5      3.614E+07
2s_2p2(4Pe)4d_5Pe[1.0]         3      3.909E+07
2s_2p2(4Pe)4f_5Do[4.0]         9      5.638E+08
2s_2p2(4Pe)4f_3Do[3.0]         7      1.779E+11
2s_2p2(4Pe)4d_3Fe[2.0]         5      1.662E+12
2s_2p2(4Pe)4f_5Do[3.0]         7      4.870E+10
2s_2p2(4Pe)4f_3Do[2.0]         5      1.143E+11
2s_2p2(4Pe)4d_3Fe[3.0]         7      1.669E+12
2s_2p2(4Pe)4f_5Go[2.0]         5      1.553E+10
2s_2p2(4Pe)4f_5Go[3.0]         7      6.450E+08
2s_2p2(4Pe)4f_5Do[1.0]         3      7.290E+10
2s_2p2(4Pe)4f_5Do[2.0]         5      9.880E+10
2s_2p2(4Pe)4f_5Go[4.0]         9      4.610E+08
2s_2p2(4Pe)4f_5Do[0.0]         1      9.330E+05
2s_2p2(4Pe)4f_3Go[3.0]         7      4.844E+09
2s_2p2(4Pe)4f_3Do[1.0]         3      1.548E+11
2s_2p2(4Pe)4d_3Fe[4.0]         9      1.680E+12
2s_2p2(4Pe)4f_5Go[5.0]        11      2.578E+08
2s_2p2(4Pe)4f_3Go[4.0]         9      5.078E+09
2s_2p2(4Pe)4f_5Go[6.0]        13      4.900E+07
2s_2p2(4Pe)4f_3Go[5.0]        11      1.534E+09
2s_2p2(4Pe)4f_5Fo[1.0]         3      1.615E+09
2s_2p2(4Pe)4f_5Fo[2.0]         5      9.590E+09
2s_2p2(4Pe)4f_5Fo[3.0]         7      5.160E+09
2s_2p2(4Pe)4f_5Fo[4.0]         9      8.758E+08
2s_2p2(4Pe)4f_5Fo[5.0]        11      2.858E+07
2s_2p2(4Pe)4f_3Fo[2.0]         5      1.816E+11
2s_2p2(4Pe)4f_3Fo[3.0]         7      1.829E+11
2s_2p2(4Pe)4f_3Fo[4.0]         9      1.856E+11
2s_2p2(4Pe)4d_3De[1.0]         3      1.248E+12
2s_2p2(4Pe)4d_3De[2.0]         5      1.255E+12
2s_2p2(4Pe)4d_3De[3.0]         7      1.269E+12
2s_2p2(4Pe)4d_3Pe[2.0]         5      1.753E+12
2s_2p2(4Pe)4d_3Pe[1.0]         3      1.740E+12
2s_2p2(4Pe)4d_3Pe[0.0]         1      1.738E+12
2s_2p2(4Pe)5s_5Pe[1.0]         3      1.227E+10
2s_2p2(4Pe)5s_5Pe[2.0]         5      2.095E+10
2s_2p2(4Pe)5s_5Pe[3.0]         7      8.390E+07
2s_2p2(4Pe)5s_3Pe[0.0]         1      7.720E+13
2s_2p2(4Pe)5s_3Pe[1.0]         3      7.730E+13
2s_2p2(4Pe)5s_3Pe[2.0]         5      7.740E+13
2s_2p2(4Pe)5p_5Do[0.0]         1      6.170E+09
2s_2p2(4Pe)5p_5Do[1.0]         3      5.310E+09
2s_2p2(4Pe)5p_5Do[2.0]         5      4.054E+09
2s_2p2(4Pe)5p_5Do[3.0]         7      3.395E+09
2s_2p2(4Pe)5p_5Do[4.0]         9      1.730E+07
2s_2p2(4Pe)5p_5Po[1.0]         3      2.570E+07
2s_2p2(4Pe)5p_5Po[2.0]         5      3.500E+09
2s_2p2(4Pe)5p_5Po[3.0]         7      1.736E+09
2s_2p2(4Pe)5p_3So[1.0]         3      5.120E+10
2s_2p2(4Pe)5p_5So[2.0]         5      1.633E+10
2s_2p2(4Pe)5p_3Do[1.0]         3      9.840E+12
2s_2p2(4Pe)5p_3Do[2.0]         5      9.880E+12
2s_2p2(4Pe)5p_3Do[3.0]         7      9.750E+12
2s_2p2(4Pe)5p_3Po[0.0]         1      3.390E+13
2s_2p2(4Pe)5p_3Po[1.0]         3      3.380E+13
2s_2p2(4Pe)5p_3Po[2.0]         5      3.371E+13
2s_2p2(4Pe)5d_5Fe[1.0]         3      1.368E+08
2s_2p2(4Pe)5d_5Fe[2.0]         5      6.410E+08
2s_2p2(4Pe)5d_5Fe[3.0]         7      1.134E+09
2s_2p2(4Pe)5d_5Fe[4.0]         9      1.198E+09
2s_2p2(4Pe)5d_5Fe[5.0]        11      7.760E+07
2s_2p2(4Pe)5d_5De[3.0]         7      1.070E+09
