 
******************************************************************************
 
       Photoionization cross-sections for N III
 
>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width  500 km/sec
 
          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         
 
******************************************************************************
 
30-Jan-2003                             !Date
231                                     !Number of energy levels
1                                       !Number of photoionization routes
3.0                                     !Screened nuclear charge
2s2_1Se/2s2s1Se                         !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
500.0                                   !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
31185                                   !Total number of data pairs
 
2s2_2p_2Po                              !Configuration name
4.61144E+01 4.373E-04
4.90472E+01 3.643E-04
5.16475E+01 3.123E-04
5.41597E+01 2.710E-04
5.76041E+01 2.252E-04
6.06581E+01 1.927E-04
6.65358E+01 1.457E-04
7.29831E+01 1.099E-04
7.99884E+01 8.297E-05
8.77391E+01 6.238E-05
9.61608E+01 4.695E-05
1.05215E+02 3.546E-05
1.15314E+02 2.661E-05
1.26488E+02 1.989E-05
1.38629E+02 1.489E-05
1.52062E+02 1.110E-05
1.66658E+02 8.284E-06
1.79188E+02 6.569E-06
1.95408E+02 4.973E-06
2.10274E+02 3.926E-06
2.25518E+02 3.131E-06
2.41868E+02 2.496E-06
2.58971E+02 1.999E-06
2.77514E+02 1.596E-06
2.97385E+02 1.273E-06
3.17884E+02 1.024E-06
3.40362E+02 8.182E-07
3.64733E+02 6.519E-07
3.90850E+02 5.191E-07
4.18836E+02 4.132E-07
4.48827E+02 3.287E-07
4.71442E+02 2.794E-07
5.02262E+02 2.265E-07
5.28450E+02 1.913E-07
5.54153E+02 1.633E-07
5.89396E+02 1.330E-07
6.19611E+02 1.126E-07
6.50290E+02 9.580E-08
7.12708E+02 7.051E-08
7.81117E+02 5.186E-08
8.55380E+02 3.823E-08
9.18924E+02 3.005E-08
9.84722E+02 2.381E-08
1.05435E+03 1.891E-08
1.12703E+03 1.510E-08
1.20773E+03 1.195E-08
1.26858E+03 1.012E-08
1.32918E+03 8.642E-09
1.45555E+03 6.351E-09
1.58598E+03 4.747E-09
1.70522E+03 3.710E-09
1.87357E+03 2.693E-09
1.99938E+03 2.159E-09
2.09838E+03 1.837E-09
2s_2p2_4Pe                              !Configuration name
20                                      !Type of cross-section
88                                      !Number of cross-section points
1.00000E+00 0.000E+00
1.16666E+00 0.000E+00
1.16763E+00 4.420E-06
1.16861E+00 5.896E-05
1.16958E+00 4.834E-04
1.17056E+00 3.082E-03
1.17153E+00 1.549E-02
1.17251E+00 6.191E-02
1.17348E+00 1.976E-01
1.17446E+00 5.088E-01
1.17544E+00 1.067E+00
1.17642E+00 1.856E+00
1.17740E+00 2.729E+00
1.17838E+00 3.488E+00
1.17937E+00 4.005E+00
1.18035E+00 4.282E+00
1.18330E+00 4.441E+00
1.31101E+00 4.095E+00
1.31538E+00 4.210E+00
1.32198E+00 5.313E+00
1.32308E+00 5.215E+00
1.32418E+00 4.804E+00
1.32639E+00 3.702E+00
1.32749E+00 3.370E+00
1.32860E+00 3.214E+00
1.33082E+00 3.150E+00
1.39438E+00 3.435E+00
1.39787E+00 3.550E+00
1.39904E+00 3.839E+00
1.40021E+00 4.618E+00
1.40137E+00 6.193E+00
1.40371E+00 1.064E+01
1.40488E+00 1.145E+01
1.40605E+00 1.034E+01
1.40840E+00 5.572E+00
1.40957E+00 3.942E+00
1.41075E+00 3.136E+00
1.41192E+00 2.843E+00
1.41428E+00 2.767E+00
1.41546E+00 2.774E+00
1.42018E+00 2.720E+00
1.44284E+00 2.993E+00
1.44766E+00 3.434E+00
1.44887E+00 3.462E+00
