2s11p1Po                           3.0      3.0      377598.85467
2s11p3Po                           9.0      9.0      377774.00186
2s11d3De                          15.0     15.0      377959.06727
2s11g3Ge                          27.0     27.0      378053.80738
2s11g1Ge                           9.0      9.0      378053.80738
2s11d1De                           5.0      5.0      378064.23360
2s11h3Ho                          33.0     33.0      378073.15452
2s11h1Ho                          11.0     11.0      378073.15452
2s11i3Ie                          39.0     39.0      378077.60951
2s11i1Ie                          13.0     13.0      378077.60951
2s11z3Z                          216.0    216.0      378079.09369
2s11z1Z                           72.0     72.0      378079.09369
2s11f3Fo                          21.0     21.0      378086.50855
2s11f1Fo                           7.0      7.0      378093.91331
2s12s3Se                           3.0      3.0      378901.59257
2s12s1Se                           1.0      1.0      378964.45659
2s12p1Po                           3.0      3.0      379014.16810
2s12p3Po                           9.0      9.0      379148.27763
2s12d3De                          15.0     15.0      379290.36529
2s12g3Ge                          27.0     27.0      379363.25837
2s12g1Ge                           9.0      9.0      379363.25837
2s12d1De                           5.0      5.0      379371.28675
2s12h3Ho                          33.0     33.0      379378.15704
2s12h1Ho                          11.0     11.0      379378.15704
2s12i3Ie                          39.0     39.0      379381.58832
2s12i1Ie                          13.0     13.0      379381.58832
2s12z3Z                          285.0    285.0      379382.73150
2s12z1Z                           95.0     95.0      379382.73150
2s12f3Fo                          21.0     21.0      379388.44316
2s12f1Fo                           7.0      7.0      379394.14768
2s13s3Se                           3.0      3.0      380020.34830
2s13s1Se                           1.0      1.0      380069.42623
2s13p1Po                           3.0      3.0      380108.27160
2s13p3Po                           9.0      9.0      380213.22495
2s13d3De                          15.0     15.0      380324.67602
2s13g3Ge                          27.0     27.0      380381.95463
2s13g1Ge                           9.0      9.0      380381.95463
2s13d1De                           5.0      5.0      380388.26752
2s13h3Ho                          33.0     33.0      380393.67046
2s13h1Ho                          11.0     11.0      380393.67046
2s13i3Ie                          39.0     39.0      380396.36912
2s13i1Ie                          13.0     13.0      380396.36912
2s13z3Z                          360.0    360.0      380397.26826
2s13z1Z                          120.0    120.0      380397.26826
2s13f3Fo                          21.0     21.0      380401.76085
2s13f1Fo                           7.0      7.0      380406.24826
2s14s3Se                           3.0      3.0      380901.51761
