 Mass =   12.0000000000000     
 Rydberg constant=   109732.295932637     
 2s16w1W                 16       0.0000
 2s17w3W                 17       0.0000
 2s17w1W                 17       0.0000
 2s18w3W                 18       0.0000
 2s18w1W                 18       0.0000
 2s19w3W                 19       0.0000
 2s19w1W                 19       0.0000
 2s20w3W                 20       0.0000
 2s20w1W                 20       0.0000
 2s21w3W                 21       0.0000
 2s21w1W                 21       0.0000
 2s22w3W                 22       0.0000
 2s22w1W                 22       0.0000
 2s23w3W                 23       0.0000
 2s23w1W                 23       0.0000
 2p4p3Pe                 23      -0.0799
 2s24w3W                 24       0.0000
 2s24w1W                 24       0.0000
 2s25w3W                 25       0.0000
 2s25w1W                 25       0.0000
 2s26w3W                 26       0.0000
 2s26w1W                 26       0.0000
 2s27w3W                 27       0.0000
 2s27w1W                 27       0.0000
 2s28w3W                 28       0.0000
 2s28w1W                 28       0.0000
 2s29w3W                 29       0.0000
 2s29w1W                 29       0.0000
 2s30w3W                 30       0.0000
 2s30w1W                 30       0.0000
 2p4d1Do                 49       0.7266
