
******************************************************************************

       Photoionization cross-sections for Fe VI

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

24-May-1996                             !Date
34                                      !Number of energy levels
1                                       !Number of photoionization routes
6.0                                     !Screened nuclear charge
3p63d23Fe                               !Final state in ion
0.0                                     !Excitation energy of final state
21.0                                    !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
3309                                    !Total number of data pairs

3d34Fe                                  !Configuration name
1.1326D+00 4.897D+00
1.1496D+00 4.747D+00
1.2143D+00 4.149D+00
1.2204D+00 4.119D+00
1.2326D+00 4.087D+00
1.2387D+00 4.066D+00
1.2637D+00 3.861D+00
1.2891D+00 3.643D+00
1.3085D+00 3.544D+00
1.3215D+00 3.478D+00
1.3348D+00 3.423D+00
1.3616D+00 3.277D+00
1.3821D+00 3.176D+00
1.4029D+00 3.117D+00
1.4169D+00 3.072D+00
1.4311D+00 2.992D+00
1.4819D+00 2.774D+00
1.5117D+00 2.669D+00
1.5192D+00 2.642D+00
1.5421D+00 2.561D+00
1.5575D+00 2.506D+00
1.6452D+00 2.185D+00
1.7378D+00 1.854D+00
1.8356D+00 1.573D+00
1.9390D+00 1.335D+00
2.0481D+00 1.133D+00
2.1634D+00 9.612D-01
2.2852D+00 8.156D-01
2.4139D+00 6.920D-01
2.5497D+00 5.872D-01
2.6933D+00 4.982D-01
2.8448D+00 4.227D-01
3.0050D+00 3.587D-01
3.1741D+00 3.043D-01
3.3528D+00 2.582D-01
3.5415D+00 2.191D-01
3.7409D+00 1.859D-01
3.9515D+00 1.578D-01
4.1740D+00 1.339D-01
4.4089D+00 1.135D-01
4.6571D+00 9.636D-02
4.9192D+00 8.176D-02
5.1962D+00 6.937D-02
5.4886D+00 5.887D-02
5.7977D+00 4.994D-02
6.1240D+00 4.238D-02
6.4688D+00 3.595D-02
6.8328D+00 3.051D-02
7.2175D+00 2.588D-02
7.5482D+00 2.262D-02
3d3b2De                                 !Configuration name
20                                      !Type of cross-section
54                                      !Number of cross-section points
1.0000D+00 6.179D+00
1.0050D+00 6.141D+00
1.0151D+00 5.951D+00
1.0303D+00 5.717D+00
1.0406D+00 5.564D+00
1.0992D+00 4.913D+00
1.1102D+00 4.836D+00
1.1213D+00 4.805D+00
1.1269D+00 4.788D+00
1.1611D+00 4.520D+00
1.2265D+00 3.982D+00
1.2387D+00 3.924D+00
1.2763D+00 3.721D+00
1.3020D+00 3.588D+00
1.3215D+00 3.477D+00
1.3481D+00 3.337D+00
1.3616D+00 3.270D+00
1.3890D+00 3.141D+00
1.4099D+00 3.045D+00
1.4672D+00 2.815D+00
1.5117D+00 2.660D+00
1.5192D+00 2.633D+00
1.5421D+00 2.553D+00
1.5575D+00 2.498D+00
1.6452D+00 2.179D+00
1.6534D+00 2.147D+00
1.7465D+00 1.823D+00
1.8448D+00 1.546D+00
1.9486D+00 1.312D+00
2.0584D+00 1.113D+00
2.1742D+00 9.446D-01
2.2966D+00 8.014D-01
2.4259D+00 6.800D-01
2.5625D+00 5.770D-01
2.7067D+00 4.896D-01
2.8591D+00 4.154D-01
3.0200D+00 3.525D-01
3.1900D+00 2.990D-01
3.3695D+00 2.538D-01
3.5593D+00 2.153D-01
3.7596D+00 1.827D-01
3.9713D+00 1.550D-01
4.1948D+00 1.315D-01
4.4309D+00 1.116D-01
4.6803D+00 9.468D-02
4.9438D+00 8.034D-02
5.2221D+00 6.817D-02
5.5161D+00 5.784D-02
5.8265D+00 4.908D-02
6.1546D+00 4.164D-02
6.5010D+00 3.534D-02
6.8670D+00 2.998D-02
7.2535D+00 2.544D-02
7.5482D+00 2.257D-02
3d32He                                  !Configuration name
20                                      !Type of cross-section
61                                      !Number of cross-section points
1.0000D+00 1.238D+00
1.0050D+00 1.301D+00
1.0151D+00 1.701D+00
1.0201D+00 1.902D+00
1.0252D+00 2.022D+00
1.0303D+00 2.039D+00
