**************************************************************************************************************************
**************************************************************************************************************************
 
Collision strengths (Omega[i,k]) for NIII. The collisional excitation rate
is defined by
 
           C(i,k)=8.63D-08 OMEGA(i,k) EXP(-U0) / Gi /sqrt(T_4).
 
	   We also use the same definition for the ionization collision strength.
	   For ionization of low lying levels we expect OMEGA(i,i) to be propotional to T.

 Reference: R.P. Stafford, K.L. Bell and A. Hibbert 1994, MNRAS,266 715
 
 [Reference] N\,{\sc iii} collision strengths for transitions amongst the first 20 levels are from \citep{SBH94_NIII_col}.

**************************************************************************************************************************
**************************************************************************************************************************
 
187                             !Number of transitions
20                              !Number of T values OMEGA tabulated at
1.0                             !Scaling factor for OMEGA (non-FILE values).
0.01                            !Value for OMEGA if f=0

2s2_2p_2Po[1/2]-2s2_3d_2De[3/2]        1.39051     0.90243     0.75112     0.67849     0.63672     0.58583     0.56533     0.55681     0.55415     0.55471     0.55720     0.56536     0.57566     0.58692     0.59855     0.61157     0.64480     0.66684     0.68800     0.75563
2s2_2p_2Po[1/2]-2s2_3d_2De[5/2]        0.68215     0.35456     0.27499     0.24093     0.22270     0.20201     0.19411     0.19067     0.18919     0.18865     0.18859     0.18906     0.18973     0.19030     0.19069     0.19087     0.19022     0.18901     0.18735     0.17933
2s2_2p_2Po[3/2]-2s_2p2_4Pe[1/2]        0.10510     0.10854     0.11369     0.11830     0.12222     0.12961     0.13457     0.13794     0.14021     0.14170     0.14260     0.14316     0.14263     0.14142     0.13976     0.13759     0.13113     0.12643     0.12177     0.10667
2s2_2p_2Po[3/2]-2s_2p2_4Pe[3/2]        0.29505     0.30280     0.31408     0.32397     0.33225     0.34741     0.35718     0.36349     0.36748     0.36982     0.37096     0.37076     0.36840     0.36472     0.36021     0.35461     0.33873     0.32749     0.31646     0.28104
2s2_2p_2Po[3/2]-2s_2p2_4Pe[5/2]        0.65176     0.66796     0.68786     0.70453     0.71803     0.74167     0.75586     0.76424     0.76882     0.77076     0.77084     0.76721     0.76041     0.75176     0.74201     0.73045     0.69917     0.67768     0.65685     0.59081
2s2_2p_2Po[3/2]-2s_2p2_2De[5/2]        3.00774     3.17136     3.25470     3.30989     3.35115     3.42437     3.47638     3.51765     3.55242     3.58281     3.61007     3.65792     3.69958     3.73692     3.77105     3.80604     3.88662     3.93608     3.98175     4.12101
2s2_2p_2Po[3/2]-2s_2p2_2De[3/2]        0.77833     0.84577     0.87590     0.89272     0.90306     0.91573     0.91994     0.92052     0.91930     0.91709     0.91434     0.90806     0.90143     0.89481     0.88836     0.88148     0.86502     0.85478     0.84535     0.81739
2s2_2p_2Po[3/2]-2s_2p2_2Se[1/2]        1.79176     1.57792     1.49651     1.45408     1.42876     1.39777     1.38627     1.38280     1.38325     1.38584     1.38965     1.39916     1.40974     1.42059     1.43135     1.44303     1.47153     1.48965     1.50656     1.55805
2s2_2p_2Po[3/2]-2s_2p2_2Pe[1/2]        1.01475     0.99827     0.99279     0.99103     0.99098     0.99409     0.99901     1.00453     1.01020     1.01587     1.02145     1.03225     1.04251     1.05227     1.06156     1.07139     1.09493     1.10983     1.12381     1.16726
2s2_2p_2Po[3/2]-2s_2p2_2Pe[3/2]        4.83672     4.65514     4.58570     4.55339     4.53832     4.53411     4.55015     4.57408     4.60146     4.63034     4.65978     4.71855     4.77594     4.83142     4.88491     4.94207     5.08072     5.16951     5.25341     5.51720
