
******************************************************************************

       Energy levels and statistical weights for FeVI  

 Data is from K Butler, Private Comm. Feb 95
 Date data calculated: 10-Jun-1989                             

 This data file was written by the program:
 Uhaul:/export/home1/users/dlmiller/atomic/create/mk_data_file.f
 See the comments in this routine for more information.  DLM

  Config           Statistical   Energy  Ionization
                     Weight      (cm-1)  Energy(eV)
******************************************************************************

28-Jun-1995                             !Date
80                                      !Number of energy levels
799000.0000                             !Ionization energy (cm-1)
6.0                                     !Screened nuclear charge
867                                     !Number of transitions

3d3(3)4Fe[3/2]         4.         0.0000   99.05912
3d3(3)4Fe[5/2]         6.       511.3000   98.99573
3d3(3)4Fe[7/2]         8.      1188.3000   98.91180
3d3(3)4Fe[9/2]        10.      2000.6000   98.81109
3d3(3)4Pe[1/2]         2.     18738.3000   96.73597
3d3(3)4Pe[3/2]         4.     18942.0000   96.71072
3d3(3)4Pe[5/2]         6.     19610.8000   96.62780
3d3(3)2Ge[7/2]         8.     20616.4000   96.50313
3d3(3)2Ge[9/2]        10.     21315.0000   96.41651
3d3(3)2Pe[1/2]         2.     26214.9000   95.80903
3d3(3)2Pe[3/2]         4.     26495.5000   95.77424
3d3(3)2De[5/2]         6.     28484.3000   95.52767
3d3(3)2De[3/2]         4.     28627.9000   95.50987
3d3(3)2He[9/2]        10.     28724.3000   95.49792
3d3(3)2He[11/2]       12.     29202.9000   95.43858
3d3(3)2Fe[7/2]         8.     46217.3000   93.32916
3d3(3)2Fe[5/2]         6.     46603.7000   93.28125
3d3(1)2De[5/2]         6.     71707.6000   90.16890
3d3(1)2De[3/2]         4.     72048.9000   90.12658
3d2(3FE)4s4Fe[3/2]     4.    261841.4000   66.59632
3d2(3FE)4s4Fe[5/2]     6.    262368.4000   66.53098
3d2(3FE)4s4Fe[7/2]     8.    263135.9000   66.43583
3d2(3FE)4s4Fe[9/2]    10.    264118.3000   66.31403
3d2(3FE)4s2Fe[5/2]     6.    269140.2000   65.69142
3d2(3FE)4s2Fe[7/2]     8.    270672.6000   65.50144
3d2(1DE)4s2De[5/2]     6.    280901.5000   64.23327
