
********************************************************************************

                 Dielectronic Transitions for OV (Singlets and Triplets).
                 LTDR transitions with ALPHA(DIE) < 1.00E-02 (*10^-12) ignored.

********************************************************************************

01-Sep-1989                                      !Date
918702.0000                                      !Ionization energy
5.0                                              !Screened nuclear charge
211                                              !Number of dielectronic transitions

  Transition            f           A          Lam(A)     Gu      v(exc)          a(10^4)   a(2x10^4)  a(3x10^4)

2p3d1Fo-2p7f1Ge     2.320E-02   7.325E+08      405.40     9.0   1.2270E+00       1.890E-03  1.270E-02  1.844E-02    79
2s7f1Fo-2p7f1Ge     1.011E-01   4.850E+08     1039.94     9.0   1.2270E+00       1.251E-03  8.406E-03  1.221E-02    80
2p2p1De-2p7d1Fo     6.819E-02   1.722E+10      137.36     7.0   1.2295E+00       3.414E-02  2.307E-01  3.358E-01    81
2p3p1De-2p7d1Fo     4.796E-02   1.575E+09      380.88     7.0   1.2295E+00       3.123E-03  2.110E-02  3.072E-02    82
2p4p1De-2p7d1Fo     7.516E-02   5.318E+08      820.60     7.0   1.2295E+00       1.054E-03  7.126E-03  1.037E-02    83
2s2p1Po-2p7f1De     1.019E-02   2.617E+09      124.81     5.0   1.2377E+00       3.564E-03  2.456E-02  3.598E-02    84
2p3d1Po-2p7f1De     3.683E-02   8.542E+08      415.43     5.0   1.2377E+00       1.163E-03  8.018E-03  1.175E-02    85
2p2p3Pe-2p6s3Po     5.243E-03   1.804E+09      139.23     9.0   3.9783E-01       2.490E-01  2.287E-01  1.711E-01     1
2p3p3De-2p6s3Po     3.552E-03   2.558E+08      392.89     9.0   3.9783E-01       3.531E-02  3.243E-02  2.427E-02     2
2p3p3Pe-2p6s3Po     9.088E-03   3.561E+08      412.60     9.0   3.9783E-01       4.915E-02  4.514E-02  3.378E-02     3
2p4p3De-2p6s3Po     1.810E-02   2.046E+08      991.71     9.0   3.9783E-01       2.824E-02  2.594E-02  1.941E-02     4
2p4p3Se-2p6s3Po     1.612E-01   3.577E+08     1000.98     9.0   3.9783E-01       4.937E-02  4.535E-02  3.393E-02     5
2p4p3Pe-2p6s3Po     3.375E-02   2.115E+08     1031.74     9.0   3.9783E-01       2.919E-02  2.681E-02  2.006E-02     6
2s6s3Se-2p6s3Po     6.771E-02   1.412E+08     1032.57     9.0   3.9783E-01       1.949E-02  1.790E-02  1.339E-02     7
2p5p3De-2p6s3Po     1.389E-01   1.629E+08     3078.74     9.0   3.9783E-01       2.248E-02  2.065E-02  1.545E-02     8
2p5p3Pe-2p6s3Po     2.360E-01   1.502E+08     3237.42     9.0   3.9783E-01       2.073E-02  1.904E-02  1.425E-02     9
2s2p3Po-2p6p3Se     3.368E-03   4.910E+09      117.16     3.0   5.1155E-01       1.309E-01  1.579E-01  1.294E-01    10
2p3s3Po-2p6p3Se     2.637E-03   4.212E+08      353.96     3.0   5.1155E-01       1.123E-02  1.355E-02  1.110E-02    11
2s6p3Po-2p6p3Se     3.558E-02   6.754E+08     1026.77     3.0   5.1155E-01       1.800E-02  2.172E-02  1.780E-02    12
2s2p3Po-2p6p3De     7.477E-03   2.180E+09      117.16    15.0   5.1158E-01       2.905E-01  3.506E-01  2.873E-01    13
2p3s3Po-2p6p3De     1.503E-02   4.802E+08      353.96    15.0   5.1158E-01       6.399E-02  7.722E-02  6.329E-02    14
2p4s3Po-2p6p3De     4.340E-02   2.382E+08      853.96    15.0   5.1158E-01       3.174E-02  3.831E-02  3.139E-02    15
2s6p3Po-2p6p3De     1.214E-01   4.610E+08     1026.76    15.0   5.1158E-01       6.144E-02  7.414E-02  6.076E-02    16
2p5s3Po-2p6p3De     1.402E-01   1.025E+08     2339.34    15.0   5.1158E-01       1.366E-02  1.648E-02  1.351E-02    17
2p5d3Fo-2p6p3De     8.549E-02   9.076E+07     2965.79    15.0   5.1158E-01       1.210E-02  1.460E-02  1.196E-02    18
2s2p3Po-2p6p3Pe     3.832E-03   1.866E+09      117.04     9.0   5.3736E-01   #   1.318E-01  1.692E-01  1.416E-01    19
2p3s3Po-2p6p3Pe     8.227E-03   4.407E+08      352.88     9.0   5.3736E-01   #   3.114E-02  3.997E-02  3.344E-02    20
2p4s3Po-2p6p3Pe     1.769E-02   1.642E+08      847.74     9.0   5.3736E-01   #   1.160E-02  1.489E-02  1.246E-02    21
2s6p3Po-2p6p3Pe     7.304E-02   4.703E+08     1017.78     9.0   5.3736E-01   #   3.323E-02  4.266E-02  3.569E-02    22
2p3p3De-2p6d3Fo     3.496E-02   1.123E+09      385.13    21.0   5.5169E-01       1.728E-01  2.296E-01  1.943E-01    23
2p4p3De-2p6d3Fo     9.839E-02   5.264E+08      943.68    21.0   5.5169E-01       8.101E-02  1.076E-01  9.109E-02    24
2s6d3De-2p6d3Fo     8.466E-02   3.723E+08     1040.90    21.0   5.5169E-01       5.730E-02  7.613E-02  6.443E-02    25
2p5p3De-2p6d3Fo     3.213E-01   2.166E+08     2658.66    21.0   5.5169E-01       3.333E-02  4.429E-02  3.748E-02    26
