
********************************************************************************

                 Dielectronic Transitions for OV (Singlets and Triplets).
                 LTDR transitions with ALPHA(DIE) < 1.00E-02 (*10^-12) ignored.

********************************************************************************

01-Sep-1989                                      !Date
918702.0000                                      !Ionization energy
5.0                                              !Screened nuclear charge
211                                              !Number of dielectronic transitions

  Transition            f           A          Lam(A)     Gu      v(exc)          a(10^4)   a(2x10^4)  a(3x10^4)

2p3d3Do-2p7f3Fe     2.310E-02   7.149E+08      392.35    21.0   1.2125E+00   #   4.615E-03  2.994E-02  4.298E-02    97
2p4d3Do-2p7f3Fe     6.271E-02   4.154E+08      848.08    21.0   1.2125E+00   #   2.682E-03  1.740E-02  2.498E-02    98
2s7f3Fo-2p7f3Fe     7.330E-02   4.536E+08     1038.21    21.0   1.2125E+00   #   2.928E-03  1.900E-02  2.727E-02    99
2p5d3Do-2p7f3Fe     1.676E-01   2.410E+08     1820.45    21.0   1.2125E+00   #   1.556E-03  1.009E-02  1.449E-02   100
2p4f3Fe-2p7g3Go     5.418E-02   3.898E+08      849.17    27.0   1.2152E+00   #   3.193E-03  2.085E-02  3.000E-02   101
2s7g3Ge-2p7g3Go     7.240E-02   4.492E+08     1036.89    27.0   1.2152E+00   #   3.679E-03  2.403E-02  3.457E-02   102
2p5f3Fe-2p7g3Go     2.086E-01   3.197E+08     1839.68    27.0   1.2152E+00   #   2.618E-03  1.710E-02  2.461E-02   103
2s7h3Ho-2p7h3He     7.609E-02   4.746E+08     1034.12    33.0   1.2174E+00   #   4.703E-03  3.087E-02  4.449E-02   104
2p5g3Go-2p7h3He     1.937E-01   3.099E+08     1846.88    33.0   1.2174E+00   #   3.071E-03  2.016E-02  2.905E-02   105
2s7i3Ie-2p7i3Io     7.485E-02   4.668E+08     1034.21    39.0   1.2184E+00   #   5.438E-03  3.579E-02  5.163E-02   106
2p3d3Fo-2p7f3Ge     2.004E-02   7.383E+08      375.25    27.0   1.2186E+00       5.949E-03  3.917E-02  5.652E-02   107
2p4d3Fo-2p7f3Ge     4.684E-02   3.639E+08      817.21    27.0   1.2186E+00       2.932E-03  1.931E-02  2.786E-02   108
2s7f3Fo-2p7f3Ge     8.379E-02   4.050E+08     1036.01    27.0   1.2186E+00       3.264E-03  2.149E-02  3.100E-02   109
2p5d3Fo-2p7f3Ge     1.583E-01   2.697E+08     1745.13    27.0   1.2186E+00       2.173E-03  1.431E-02  2.065E-02   110
2s7i3Ie-2p7i3Jo     6.204E-02   3.358E+08     1033.47    45.0   1.2205E+00       4.469E-03  2.956E-02  4.271E-02   111
2s7h3Ho-2p7h3Ie     6.015E-02   3.182E+08     1032.90    39.0   1.2208E+00       3.666E-03  2.426E-02  3.506E-02   112
2p5g3Ho-2p7h3Ie     1.996E-01   3.238E+08     1865.10    39.0   1.2208E+00       3.730E-03  2.469E-02  3.568E-02   113
2s6g3Ge-2p7g3Ho     1.593E-02   1.236E+08      838.76    33.0   1.2210E+00       1.204E-03  7.970E-03  1.152E-02   114
2p4f3Ge-2p7g3Ho     2.357E-02   1.667E+08      878.46    33.0   1.2210E+00       1.624E-03  1.075E-02  1.554E-02   115
2s7g3Ge-2p7g3Ho     7.543E-02   3.844E+08     1034.84    33.0   1.2210E+00       3.744E-03  2.479E-02  3.583E-02   116
2p5f3Ge-2p7g3Ho     2.164E-01   3.418E+08     1858.79    33.0   1.2210E+00       3.329E-03  2.204E-02  3.186E-02   117
2s7i3Ie-2p7i3Ho     7.113E-02   5.252E+08     1033.23    33.0   1.2212E+00       5.110E-03  3.385E-02  4.894E-02   118
2s7h3Ho-2p7h3Ge     7.009E-02   5.361E+08     1032.42    27.0   1.2221E+00       4.248E-03  2.820E-02  4.081E-02   119
2p5g3Fo-2p7h3Ge     2.034E-01   3.017E+08     1870.41    27.0   1.2221E+00       2.391E-03  1.587E-02  2.297E-02   120
2p4f3De-2p7g3Fo     6.165E-02   3.879E+08      870.17    21.0   1.2243E+00       2.366E-03  1.579E-02  2.289E-02   121
2s7g3Ge-2p7g3Fo     6.628E-02   5.320E+08     1033.64    21.0   1.2243E+00       3.244E-03  2.166E-02  3.139E-02   122
2p5f3De-2p7g3Fo     2.374E-01   3.201E+08     1879.58    21.0   1.2243E+00       1.952E-03  1.303E-02  1.889E-02   123
2p3d3Po-2p7f3De     3.066E-02   7.766E+08      397.47    15.0   1.2273E+00       3.336E-03  2.242E-02  3.257E-02   124
2p4d3Po-2p7f3De     6.938E-02   3.767E+08      858.54    15.0   1.2273E+00       1.618E-03  1.088E-02  1.580E-02   125
2s7f3Fo-2p7f3De     6.221E-02   5.445E+08     1032.93    15.0   1.2273E+00       2.339E-03  1.572E-02  2.284E-02   126
