!
! List of lines calculated by Lemke or by Keith Butler and Schoningberg.
! For hydrogen the Lemke values are used when available, otherwise we
! use the values of Butler and Schoningberg.
!
! In the first line, 5 and 16 refer to NL and NUP respectively.
! They are the same as in the table file HHE_STARKPRO, and hence can be
! utilized for a consistency check.
!
10-Jul-2001               !Creation date
21-Nov-2000               !Formation date
148                       !Number of transitions
!
HeI  [VW]=1.0E-04     [TYPE]=GARB    [NL]=5  [NUP]=16  [PID]=0   2   4   2p_1Po-4d_1D
HeI  [VW]=1.0e+20     [TYPE]=GARB    [NL]=5  [NUP]=16  [PID]=0   2   4   2p_1Po-4d_1D
HeI  [AW]=4921.93     [TYPE]=BS_HHE  [NL]=5  [NUP]=16  [PID]=1   2   4   2p_1Po-4d_1D
HeI  [AW]=4388.15     [TYPE]=BS_HHE  [NL]=5  [NUP]=24  [PID]=2   2   5   2p_1Po-5d_1D (4387.93)
HeI  [AW]=4471.50     [TYPE]=BS_HHE  [NL]=4  [NUP]=15  [PID]=3   2   4   2p_3Po-4d_3D
HeI  [AW]=4026.21     [TYPE]=BS_HHE  [NL]=4  [NUP]=23  [PID]=4   3   5   2p_3Po-5d_3D
HI   [AW]=3673.76     [TYPE]=BS_HHE  [NL]=2  [NUP]=23  [PID]=29  2  23
HI   [AW]=3671.48     [TYPE]=BS_HHE  [NL]=2  [NUP]=24  [PID]=30  2  24
HI   [AW]=3669.46     [TYPE]=BS_HHE  [NL]=2  [NUP]=25  [PID]=31  2  25
HI   [AW]=3667.68     [TYPE]=BS_HHE  [NL]=2  [NUP]=26  [PID]=32  2  26
HI   [AW]=3666.09     [TYPE]=BS_HHE  [NL]=2  [NUP]=27  [PID]=33  2  27
HI   [AW]=3664.68     [TYPE]=BS_HHE  [NL]=2  [NUP]=28  [PID]=34  2  28
HI   [AW]=3663.40     [TYPE]=BS_HHE  [NL]=2  [NUP]=29  [PID]=35  2  29
HI   [AW]=3662.26     [TYPE]=BS_HHE  [NL]=2  [NUP]=30  [PID]=36  2  30
He2  [VW]=1640.42     [TYPE]=BS_HHE  [NL]=2  [NUP]=3   [PID]=37  2   3
He2  [VW]=1215.13     [TYPE]=BS_HHE  [NL]=2  [NUP]=4   [PID]=38  2   4
He2  [AW]=4685.70     [TYPE]=BS_HHE  [NL]=3  [NUP]=4   [PID]=39  3   4
