!
! Photoioization cross-sections. Fits are from the Verner atomic
! data site. These are to be used for handling X-rays. We need to
! be carefull that we don't include these cross-sections twice
! (once in regular photoionizations, and once via X-ray ionization).
!
! Ref:
!     Verner, D., Yakovlev, D.G., A\&A, 1995???
!     Analytic fits for partial photoinization cross-sections.
!
! Data format is
! 	 IZ,INE,PQN,ANG,Fitting parameters
! where fitting parameters are:
!	     E_THRESH,E_0,SIG,Y_A,P,Y_W,E_EJ
!
! E_THRESH is in eV, and the cross-section is in Megabarns.
! E_EJ is the number of electrons ejected (1 or 2)
!
! IZ  = Atomic number of species
! INE = Number of electrons in species being photoioized.
! PQN = Principal quantum number
! AGN = Agular monentum quantum number
!
! Format date: 29-Mar-2011
!
   7   5   1   0     447.300D0  1.2200E+02  5.2350E+01  9.4280E+01  1.3350E+00  0.0000E+00    2
   7   4   2   0      77.470D0  6.2250E+00  1.1100E+02  1.7330E+01  6.7190E+00  0.0000E+00    1
   7   4   1   0     475.300D0  1.0700E+02  7.0460E+01  5.3420E+01  1.5520E+00  0.0000E+00    2
   7   3   2   0      97.890D0  1.8620E+01  3.4470E+01  4.2310E+01  3.6060E+00  0.0000E+00    1
   7   3   1   0     504.300D0  1.0600E+02  7.3040E+01  5.5470E+01  1.5380E+00  0.0000E+00    1
   7   2   1   0     552.100D0  6.9430E+01  1.5190E+02  2.6270E+01  2.3150E+00  0.0000E+00    1
   7   1   1   0     667.100D0  2.1080E+01  1.1170E+03  3.2880E+01  2.9630E+00  0.0000E+00    1
   8   8   2   1      13.620D0  1.3910E+01  1.2200E+05  1.3640E+00  1.1400E+01  4.1030E-01    1
   8   8   2   0      28.480D0  1.9940E+01  2.4150E+02  3.2410E+00  8.0370E+00  0.0000E+00    1
   8   8   1   0     538.000D0  1.7740E+02  3.2370E+01  3.8120E+02  1.0830E+00  0.0000E+00    2
   8   7   2   1      35.120D0  1.7450E+01  5.1860E+02  1.7280E+01  4.9950E+00  2.1820E-02    1
   8   7   2   0      45.990D0  1.7590E+01  1.9620E+02  4.0200E+00  7.9990E+00  0.0000E+00    1
   8   7   1   0     558.100D0  1.6900E+02  3.5840E+01  1.8940E+02  1.1850E+00  0.0000E+00    2
   8   6   2   1      54.940D0  2.0670E+01  2.3180E+02  7.1360E+01  3.6180E+00  5.5380E-02    1
   8   6   2   0      65.510D0  1.5940E+01  1.2170E+02  6.1560E+00  7.2710E+00  0.0000E+00    1
   8   6   1   0     584.000D0  1.6200E+02  3.9390E+01  1.1040E+02  1.2890E+00  0.0000E+00    2
   8   5   2   1      77.410D0  1.9370E+01  1.6190E+02  7.3120E+01  3.6480E+00  3.7600E-02    1
   8   5   2   0      87.370D0  7.9420E+00  1.0630E+02  9.7080E+00  8.1830E+00  0.0000E+00    1
   8   5   1   0     614.400D0  1.5930E+02  4.1230E+01  1.1410E+02  1.2870E+00  0.0000E+00    2
   8   4   2   0     113.900D0  8.4670E+00  9.6410E+01  2.2870E+01  6.0610E+00  0.0000E+00    1
