
******************************************************************************

       Photoionization cross-sections for Fe V

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

          21 - Opacity Project: scaled, smoothed [number of data pairs] 

******************************************************************************

24-May-1996                             !Date
80                                      !Number of energy levels
1                                       !Number of photoionization routes
5.0                                     !Screened nuclear charge
3d34Fe/3d3(3)4Fe                        !Final state in ion
0.0                                     !Excitation energy of final state
28.0                                    !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
9339                                    !Total number of data pairs

3d45De                                  !Configuration name
5.8557D+00 2.983D-02
6.1852D+00 2.531D-02
6.5335D+00 2.148D-02
6.9012D+00 1.822D-02
7.2898D+00 1.546D-02
7.7000D+00 1.312D-02
8.0129D+00 1.164D-02
3d4b3Fe                                 !Configuration name
20                                      !Type of cross-section
72                                      !Number of cross-section points
1.0000D+00 4.690D+00
1.0050D+00 4.816D+00
1.0151D+00 5.571D+00
1.0201D+00 5.883D+00
1.0252D+00 6.006D+00
1.0303D+00 5.975D+00
1.0355D+00 5.915D+00
1.0406D+00 5.894D+00
1.0510D+00 5.922D+00
1.0563D+00 5.926D+00
1.0616D+00 5.918D+00
1.0669D+00 5.903D+00
1.0829D+00 5.816D+00
1.1102D+00 5.668D+00
1.1158D+00 5.639D+00
1.1439D+00 5.511D+00
1.1496D+00 5.500D+00
1.1611D+00 5.490D+00
1.1669D+00 5.479D+00
1.1786D+00 5.423D+00
1.1844D+00 5.394D+00
1.1963D+00 5.357D+00
1.2023D+00 5.336D+00
1.2204D+00 5.208D+00
1.2449D+00 5.033D+00
1.2511D+00 5.005D+00
1.2574D+00 4.990D+00
1.2637D+00 4.987D+00
1.2699D+00 4.988D+00
1.2763D+00 4.983D+00
1.2827D+00 4.963D+00
1.2955D+00 4.895D+00
1.3414D+00 4.702D+00
1.3821D+00 4.535D+00
1.4099D+00 4.415D+00
1.4240D+00 4.354D+00
1.4599D+00 4.224D+00
1.4745D+00 4.177D+00
1.4967D+00 4.108D+00
1.5498D+00 3.910D+00
1.6370D+00 3.600D+00
1.6534D+00 3.547D+00
1.7465D+00 3.193D+00
1.7640D+00 3.101D+00
1.8633D+00 2.631D+00
1.9681D+00 2.233D+00
2.0790D+00 1.894D+00
2.1960D+00 1.608D+00
2.3196D+00 1.364D+00
2.4501D+00 1.157D+00
2.5881D+00 9.820D-01
2.7338D+00 8.332D-01
2.8877D+00 7.070D-01
3.0502D+00 5.999D-01
3.2219D+00 5.089D-01
3.4033D+00 4.319D-01
3.5949D+00 3.664D-01
3.7972D+00 3.109D-01
4.0110D+00 2.638D-01
4.2367D+00 2.239D-01
4.4753D+00 1.899D-01
4.7271D+00 1.612D-01
4.9933D+00 1.367D-01
5.2743D+00 1.160D-01
5.5713D+00 9.846D-02
5.8848D+00 8.353D-02
6.2162D+00 7.087D-02
6.5660D+00 6.013D-02
6.9357D+00 5.103D-02
7.3261D+00 4.329D-02
7.7385D+00 3.673D-02
8.0129D+00 3.308D-02
3d43Ge                                  !Configuration name
20                                      !Type of cross-section
25                                      !Number of cross-section points
1.0000D+00 5.755D+00
2.3899D+00 1.275D+00
2.5244D+00 1.082D+00
2.6666D+00 9.180D-01
2.8166D+00 7.789D-01
2.9752D+00 6.609D-01
3.1427D+00 5.608D-01
3.3196D+00 4.758D-01
3.5065D+00 4.037D-01
3.7039D+00 3.425D-01
3.9123D+00 2.906D-01
4.1326D+00 2.466D-01
4.3652D+00 2.093D-01
4.6110D+00 1.776D-01
4.8705D+00 1.506D-01
5.1447D+00 1.278D-01
5.4342D+00 1.084D-01
5.7402D+00 9.203D-02
6.0633D+00 7.809D-02
6.4047D+00 6.625D-02
6.7651D+00 5.622D-02
7.1460D+00 4.770D-02
7.5482D+00 4.047D-02
