************************************************************************************************************************
 
                 Energy Levels and statistical weights for CaX
 
                    g        E(cm^-1)    10^15 Hz     eV       Lam(A)       ID      ARAD       GAM2        GAM4
************************************************************************************************************************
 
17-Oct-2000                                      !Format date
30-Mar-2002                                      !Date
79                                               !Number of energy levels
1704047.0000                                     !Ionization energy
10.0                                             !Screened nuclear charge
1941                                             !Number of transitions
 
9f_2Fo[5/2]        6.0   1568390.0000     4.06689   16.819    7.372E+02      50   1.518E+10   0.000E+00   0.000E+00
9f_2Fo[7/2]        8.0   1568490.0000     4.06390   16.807    7.377E+02      51   1.518E+10   0.000E+00   0.000E+00
9z_2Z            130.0   1568570.6898     4.06148   16.797    7.381E+02     -52   3.740E+09   0.000E+00   0.000E+00
10s_2Se            2.0   1583986.9380     3.59931   14.886    8.329E+02     -53   8.636E+09   0.000E+00   0.000E+00
10p_2Po            6.0   1587581.0370     3.49156   14.440    8.586E+02     -54   6.837E+09   0.000E+00   0.000E+00
10d_2De[3/2]       4.0   1592260.0000     3.35129   13.860    8.946E+02      55   8.392E+09   0.000E+00   0.000E+00
10d_2De[5/2]       6.0   1592260.0000     3.35129   13.860    8.946E+02      56   8.330E+09   0.000E+00   0.000E+00
10f_2Fo[7/2]       8.0   1594230.0000     3.29223   13.616    9.106E+02      57   1.117E+10   0.000E+00   0.000E+00
10z_2Z           168.0   1594311.1888     3.28980   13.606    9.113E+02     -58   2.389E+09   0.000E+00   0.000E+00
10f_2Fo[5/2]       6.0   1594330.0000     3.28923   13.603    9.114E+02      59   1.119E+10   0.000E+00   0.000E+00
11w_2W           242.0   1613356.2469     2.71884   11.244    1.103E+03     -60   2.295E+09   0.000E+00   0.000E+00
12w_2W           288.0   1627841.5755     2.28458    9.448    1.312E+03     -61   1.555E+09   0.000E+00   0.000E+00
13w_2W           338.0   1639114.5673     1.94663    8.051    1.540E+03     -62   1.089E+09   0.000E+00   0.000E+00
14w_2W           392.0   1648059.3412     1.67847    6.942    1.786E+03     -63   7.829E+08   0.000E+00   0.000E+00
15w_2W           450.0   1655275.5283     1.46213    6.047    2.050E+03     -64   5.751E+08   0.000E+00   0.000E+00
16w_2W           512.0   1661181.4487     1.28508    5.315    2.333E+03     -65   4.306E+08   0.000E+00   0.000E+00
17w_2W           578.0   1666076.1311     1.13834    4.708    2.634E+03     -66   3.278E+08   0.000E+00   0.000E+00
18w_2W           648.0   1670177.9225     1.01537    4.199    2.953E+03     -67   2.533E+08   0.000E+00   0.000E+00
19w_2W           722.0   1673649.2684     0.91130    3.769    3.290E+03     -68   1.984E+08   0.000E+00   0.000E+00
20w_2W           800.0   1676613.0472     0.82245    3.401    3.645E+03     -69   1.572E+08   0.000E+00   0.000E+00
21w_2W           882.0   1679163.5961     0.74599    3.085    4.019E+03     -70   1.260E+08   0.000E+00   0.000E+00
22w_2W           968.0   1681374.3117     0.67971    2.811    4.411E+03     -71   1.019E+08   0.000E+00   0.000E+00
23w_2W          1058.0   1683302.9903     0.62189    2.572    4.821E+03     -72   8.323E+07   0.000E+00   0.000E+00
24w_2W          1152.0   1684995.6439     0.57115    2.362    5.249E+03     -73   6.853E+07   0.000E+00   0.000E+00
25w_2W          1250.0   1686489.2702     0.52637    2.177    5.695E+03     -74   5.686E+07   0.000E+00   0.000E+00
