3d2 3F<2> --> 2D
1.6366e+00 1.6252e-18    1.6366e+00 2.5719e-18 
1.8465e+00 1.4337e-18    1.8465e+00 2.2680e-18 
2.0833e+00 1.2457e-18    2.0833e+00 1.9697e-18 
2.3504e+00 1.0660e-18    2.3505e+00 1.6849e-18 
2.6519e+00 8.9802e-19    2.6519e+00 1.4188e-18 
2.9920e+00 7.4429e-19    2.9920e+00 1.1754e-18 
3.3757e+00 6.0660e-19    3.3757e+00 9.5758e-19 
3.8086e+00 4.8589e-19    3.8086e+00 7.6669e-19 
4.2970e+00 3.8228e-19    4.2971e+00 6.0296e-19 
4.8482e+00 2.9531e-19    4.8481e+00 4.6558e-19 
5.4698e+00 2.2393e-19    5.4700e+00 3.5290e-19 
6.1716e+00 1.6667e-19    6.1712e+00 2.6255e-19 
6.9629e+00 1.2179e-19    6.9631e+00 1.9176e-19 
7.8559e+00 8.7400e-20    7.8559e+00 1.3757e-19 
8.8633e+00 6.1645e-20    8.8634e+00 9.6993e-20 
9.9998e+00 4.2773e-20    1.0000e+01 6.7274e-20 

3d 4s --> 3d 
1.0100e+00 9.7204e-20 
1.1395e+00 9.9070e-20 
1.2857e+00 9.6253e-20 
1.4505e+00 9.0434e-20 
1.6366e+00 8.2953e-20 
1.8465e+00 7.4778e-20 
2.0833e+00 6.6566e-20 
2.3504e+00 5.8721e-20 
2.6519e+00 5.1468e-20 
2.9920e+00 4.4909e-20 
3.3757e+00 3.9064e-20 
3.8086e+00 3.3904e-20 
4.2971e+00 2.9377e-20 
4.8480e+00 2.5414e-20 
5.4700e+00 2.1951e-20 
6.1715e+00 1.8924e-20 
6.9629e+00 1.6278e-20 
7.8559e+00 1.3966e-20 
8.8633e+00 1.1941e-20 i

3d 4s --> 4s
1.0100e+00 3.2247e-18 
1.1395e+00 3.0052e-18 
1.2857e+00 2.7023e-18 
1.4505e+00 2.3624e-18 
1.6366e+00 2.0164e-18 
1.8465e+00 1.6848e-18 
2.0833e+00 1.3799e-18 
2.3505e+00 1.1089e-18 
2.6519e+00 8.7505e-19 
2.9920e+00 6.7836e-19 
3.3757e+00 5.1691e-19 
3.8087e+00 3.8730e-19 
4.2970e+00 2.8537e-19 
4.8480e+00 2.0683e-19 
5.4700e+00 1.4750e-19 
6.1715e+00 1.0357e-19 
6.9629e+00 7.1665e-20 
7.8558e+00 4.8889e-20 
8.8634e+00 3.2910e-20 
1.0000e+01 2.1894e-20
1.0000e+01 1.0160e-20


















