 
**************************************************************************************************
 
       Photoionization cross-sections for Mg I
 
>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec
 
          Types of cross sections included:
         -----------------------------------

         2  -  Hydrogenic (n,l)
         3  -  Hydrogenic (n)
        20  -  Opacity project

 [Reference] Photoioization cross-sections for Mg I are from \cite{BKM93_Mg_seq}.

**************************************************************************************************
 
24-May-1996                             !Date
134                                     !Number of energy levels
1                                       !Number of photoionization routes
1.0                                     !Screened nuclear charge
3s2Se/3s_2Se                            !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
13178                                   !Total number of data pairs
 
3s21Se                                  !Configuration name
20                                      !Type of cross-section
194                                     !Number of cross-section points
1.0000D+00 2.626D+00
1.0151D+00 2.297D+00
1.1102D+00 7.318D-01
1.1669D+00 2.271D-01
1.1963D+00 6.490D-02
1.2023D+00 4.397D-02
1.2083D+00 3.004D-02
1.2143D+00 2.490D-02
1.2204D+00 3.341D-02
1.2265D+00 6.038D-02
1.2326D+00 1.154D-01
1.2449D+00 3.405D-01
1.2574D+00 7.198D-01
1.2699D+00 1.067D+00
1.2763D+00 1.147D+00
1.2827D+00 1.141D+00
1.2891D+00 1.065D+00
1.3020D+00 8.009D-01
1.3282D+00 3.516D-01
1.3481D+00 1.755D-01
1.3549D+00 1.381D-01
1.3616D+00 1.163D-01
1.3684D+00 1.168D-01
1.3752D+00 1.476D-01
1.3821D+00 1.978D-01
1.3890D+00 2.409D-01
1.3960D+00 2.585D-01
1.4029D+00 2.608D-01
1.4099D+00 2.814D-01
1.4240D+00 3.920D-01
1.4311D+00 4.051D-01
1.4383D+00 3.581D-01
1.4454D+00 2.698D-01
1.4527D+00 1.834D-01
1.4599D+00 1.341D-01
1.4672D+00 1.283D-01
1.4819D+00 1.880D-01
1.4893D+00 2.008D-01
1.4967D+00 1.920D-01
1.5042D+00 1.760D-01
1.5117D+00 1.676D-01
1.5192D+00 1.684D-01
1.5268D+00 1.707D-01
1.5344D+00 1.686D-01
1.5498D+00 1.525D-01
1.5575D+00 1.446D-01
1.5653D+00 1.406D-01
1.5731D+00 1.402D-01
1.5810D+00 1.413D-01
1.5889D+00 1.421D-01
1.5968D+00 1.416D-01
1.6370D+00 1.327D-01
1.6783D+00 1.242D-01
1.6867D+00 1.233D-01
1.7036D+00 1.223D-01
1.7206D+00 1.217D-01
1.7292D+00 1.215D-01
1.7378D+00 1.214D-01
1.7465D+00 1.214D-01
1.7552D+00 1.217D-01
1.7640D+00 1.224D-01
1.7816D+00 1.253D-01
1.7905D+00 1.278D-01
1.7994D+00 1.320D-01
1.8084D+00 1.394D-01
1.8356D+00 1.950D-01
1.8448D+00 2.175D-01
1.8540D+00 2.280D-01
1.8633D+00 2.229D-01
1.8819D+00 1.827D-01
1.8913D+00 1.647D-01
1.9008D+00 1.529D-01
1.9102D+00 1.466D-01
1.9198D+00 1.433D-01
1.9293D+00 1.418D-01
1.9390D+00 1.413D-01
1.9486D+00 1.419D-01
1.9584D+00 1.442D-01
1.9878D+00 1.614D-01
1.9978D+00 1.658D-01
2.0077D+00 1.667D-01
2.0278D+00 1.631D-01
2.0380D+00 1.621D-01
2.0481D+00 1.633D-01
2.0893D+00 1.820D-01
2.0998D+00 1.875D-01
2.1102D+00 1.911D-01
2.1208D+00 1.922D-01
2.1313D+00 1.911D-01
2.1420D+00 1.892D-01
2.1527D+00 1.881D-01
2.1634D+00 1.889D-01
2.1851D+00 1.952D-01
2.1960D+00 1.983D-01
2.2069D+00 2.004D-01
2.2290D+00 2.025D-01
2.2513D+00 2.049D-01
2.2625D+00 2.061D-01
2.2966D+00 2.110D-01
2.3311D+00 2.202D-01
2.3545D+00 2.250D-01
2.3663D+00 2.260D-01
2.3780D+00 2.265D-01
2.3899D+00 2.271D-01
2.4139D+00 2.294D-01
2.4501D+00 2.327D-01
2.4994D+00 2.378D-01
2.5371D+00 2.414D-01
2.6270D+00 2.458D-01
2.7474D+00 2.514D-01
2.7749D+00 2.527D-01
2.7887D+00 2.533D-01
2.8027D+00 2.540D-01
2.8307D+00 2.553D-01
2.8733D+00 2.572D-01
2.9021D+00 2.586D-01
2.9311D+00 2.599D-01
2.9458D+00 2.606D-01
2.9752D+00 2.620D-01
3.0050D+00 2.633D-01
3.0655D+00 2.661D-01
3.0807D+00 2.669D-01
3.1584D+00 2.702D-01
3.1741D+00 2.706D-01
3.1900D+00 2.707D-01
3.2059D+00 2.706D-01
3.3362D+00 2.650D-01
3.3528D+00 2.642D-01
3.4545D+00 2.595D-01
3.4891D+00 2.578D-01
3.5065D+00 2.570D-01
3.5415D+00 2.554D-01
3.5593D+00 2.545D-01
3.7039D+00 2.484D-01
3.8736D+00 2.459D-01
3.9713D+00 2.447D-01
4.0310D+00 2.439D-01
4.1948D+00 2.415D-01
4.3870D+00 2.338D-01
4.6110D+00 2.244D-01
4.7508D+00 2.188D-01
4.7983D+00 2.168D-01
4.8464D+00 2.148D-01
4.8948D+00 2.128D-01
4.9684D+00 2.098D-01
5.0182D+00 2.077D-01
5.0684D+00 2.056D-01
5.1447D+00 2.025D-01
5.1703D+00 2.015D-01
5.2743D+00 1.972D-01
5.3007D+00 1.962D-01
6.7316D+00 1.445D-01
7.0752D+00 1.343D-01
7.1460D+00 1.328D-01
7.1816D+00 1.325D-01
7.2175D+00 1.325D-01
7.2898D+00 1.329D-01
7.3261D+00 1.330D-01
7.3627D+00 1.330D-01
7.3994D+00 1.326D-01
7.5482D+00 1.300D-01
9.5858D+00 9.757D-02
1.2173D+01 7.182D-02
1.5460D+01 5.211D-02
1.9633D+01 3.741D-02
2.4932D+01 2.663D-02
3.1663D+01 1.884D-02
4.0210D+01 1.326D-02
5.1064D+01 9.299D-03
6.4849D+01 6.502D-03
8.2354D+01 4.535D-03
1.0459D+02 3.158D-03
1.3282D+02 2.195D-03
1.6867D+02 1.524D-03
2.1420D+02 1.058D-03
2.7203D+02 7.331D-04
3.4546D+02 5.078D-04
4.3871D+02 3.515D-04
5.5714D+02 2.432D-04
7.0753D+02 1.682D-04
8.9853D+02 1.163D-04
1.1411D+03 8.034D-05
1.4491D+03 5.549D-05
1.8403D+03 3.830D-05
2.3371D+03 2.643D-05
2.9679D+03 1.823D-05
3.7691D+03 1.256D-05
4.7865D+03 8.652D-06
6.0786D+03 5.955D-06
7.7195D+03 4.096D-06
9.8034D+03 2.814D-06
1.2450D+04 1.932D-06
1.2827D+04 1.843D-06
1.3085D+04 1.774D-06

3s3p3Po                                 !Configuration name
20                                      !Type of cross-section
149                                     !Number of cross-section points
1.0000D+00 1.536D+01
1.0355D+00 1.377D+01
1.0510D+00 1.307D+01
1.0563D+00 1.283D+01
1.1382D+00 9.757D+00
1.1496D+00 9.402D+00
1.1553D+00 9.222D+00
1.1611D+00 9.043D+00
1.1669D+00 8.862D+00
1.2574D+00 6.577D+00
1.2637D+00 6.448D+00
1.3616D+00 4.869D+00
1.4099D+00 4.318D+00
1.4311D+00 4.186D+00
1.4454D+00 4.132D+00
1.4527D+00 4.120D+00
1.4599D+00 4.132D+00
1.4672D+00 4.183D+00
1.4745D+00 4.313D+00
1.4819D+00 4.571D+00
1.4967D+00 5.628D+00
1.5042D+00 6.144D+00
1.5117D+00 6.218D+00
1.5192D+00 5.583D+00
1.5268D+00 4.469D+00
1.5344D+00 3.364D+00
1.5421D+00 2.636D+00
1.5498D+00 2.353D+00
1.5575D+00 2.280D+00
1.5653D+00 2.242D+00
1.5810D+00 2.109D+00
1.5889D+00 2.059D+00
1.5968D+00 2.032D+00
1.6048D+00 2.017D+00
1.6370D+00 1.989D+00
1.6452D+00 1.989D+00
1.6534D+00 1.999D+00
1.6617D+00 2.020D+00
1.6700D+00 2.040D+00
1.6783D+00 2.024D+00
1.6867D+00 1.941D+00
1.7036D+00 1.630D+00
1.7120D+00 1.508D+00
1.7206D+00 1.444D+00
1.7292D+00 1.432D+00
1.7378D+00 1.441D+00
1.7465D+00 1.447D+00
1.7552D+00 1.432D+00
1.7728D+00 1.333D+00
1.8084D+00 1.182D+00
1.8174D+00 1.150D+00
1.8356D+00 1.093D+00
1.8448D+00 1.075D+00
1.8633D+00 1.054D+00
1.8819D+00 1.025D+00
1.9102D+00 9.467D-01
2.0584D+00 6.241D-01
2.1313D+00 5.219D-01
2.1420D+00 5.120D-01
2.1527D+00 5.083D-01
2.1634D+00 5.118D-01
2.1742D+00 5.203D-01
2.1851D+00 5.267D-01
2.1960D+00 5.231D-01
2.2290D+00 4.618D-01
2.2513D+00 4.242D-01
2.2966D+00 3.829D-01
2.3196D+00 3.693D-01
2.3428D+00 3.603D-01
2.3663D+00 3.502D-01
2.3899D+00 3.332D-01
2.4380D+00 3.013D-01
2.4501D+00 2.960D-01
2.4624D+00 2.927D-01
2.4747D+00 2.925D-01
2.4870D+00 2.961D-01
2.4994D+00 3.030D-01
2.5119D+00 3.093D-01
2.5244D+00 3.097D-01
2.5371D+00 3.025D-01
2.5497D+00 2.902D-01
2.5752D+00 2.688D-01
2.5881D+00 2.630D-01
2.6140D+00 2.561D-01
2.6402D+00 2.491D-01
2.7067D+00 2.383D-01
2.7202D+00 2.368D-01
2.7338D+00 2.359D-01
2.7474D+00 2.358D-01
2.7611D+00 2.363D-01
2.7749D+00 2.364D-01
2.7887D+00 2.350D-01
2.8166D+00 2.297D-01
2.8307D+00 2.275D-01
2.8448D+00 2.263D-01
2.8591D+00 2.255D-01
2.8877D+00 2.239D-01
2.9021D+00 2.231D-01
2.9166D+00 2.227D-01
2.9311D+00 2.229D-01
2.9604D+00 2.246D-01
2.9752D+00 2.253D-01
2.9901D+00 2.253D-01
3.0200D+00 2.239D-01
3.0351D+00 2.233D-01
3.0502D+00 2.233D-01
3.0807D+00 2.246D-01
3.1115D+00 2.258D-01
3.1271D+00 2.261D-01
3.1427D+00 2.262D-01
3.1584D+00 2.261D-01
3.1900D+00 2.257D-01
3.2059D+00 2.257D-01
3.2219D+00 2.257D-01
