                                                                                
********************************************************************************
                                                                                
                 Energy Levels and statistical weights for Mg I                 
	Super level assignments:
	   Lower level bsed on terms
	   Upper levels based on " l " values.                                                                               
                                                                                
********************************************************************************
                                                                                
19-May-1998                            !Date
152                                    !Number of energy levels
6                                      !Entry number of link to super level
  
3s8g3Ge                        27.0      59951.7183     0.0515   5.816E+04    36     0     80
3s8z3Z                        117.0      59956.4432     0.0514   5.832E+04    37     0     81
3s8z1Z                         39.0      59956.4432     0.0514   5.832E+04    37     0     82
3s10s3Se                        3.0      60104.0000     0.0470   6.381E+04    29     0     83
3s9d1De                         5.0      60127.2390     0.0463   6.477E+04    31     0     84
3s10s1Se                        1.0      60143.2300     0.0458   6.545E+04    30     0     85
3s9d3De                        15.0      60263.5830     0.0422   7.105E+04    32     0     86
3s9f3Fo                        21.0      60301.2830     0.0411   7.301E+04    34     0     87
3s10p1Po                        3.0      60302.3000     0.0410   7.306E+04    35     0     88
3s10p3Po                        9.0      60302.3435     0.0410   7.306E+04    33     0     89
3s9f1Fo                         7.0      60302.3435     0.0410   7.306E+04    34     0     90
3s9g1Ge                         9.0      60312.6790     0.0407   7.362E+04    36     0     91
3s9g3Ge                        27.0      60312.9812     0.0407   7.363E+04    36     0     92
3s9z3Z                        168.0      60316.2989     0.0406   7.381E+04    37     0     93
3s9z1Z                         56.0      60316.2989     0.0406   7.381E+04    37     0     94
3s11s3Se                        3.0      60420.8700     0.0375   7.999E+04    29     0     95
3s10d1De                        5.0      60435.0990     0.0371   8.091E+04    31     0     96
3s11s1Se                        1.0      60448.7009     0.0366   8.181E+04    30     0     97
3s10d3De                       15.0      60535.3400     0.0340   8.805E+04    32     0     98
3s10f3Fo                       21.0      60562.6370     0.0332   9.022E+04    34     0     99
3s11p1Po                        3.0      60563.3500     0.0332   9.028E+04    35     0    100
3s10f1Fo                        7.0      60563.5359     0.0332   9.029E+04    34     0    101
3s11p3Po                        9.0      60563.5359     0.0332   9.029E+04    33     0    102
3s10g1Ge                        9.0      60571.0633     0.0330   9.091E+04    36     0    103
3s10g3Ge                       27.0      60571.2835     0.0330   9.093E+04    36     0    104
3s10z3Z                       225.0      60573.7016     0.0329   9.113E+04    37     0    105
3s10z1Z                        75.0      60573.7016     0.0329   9.113E+04    37     0    106
3s11d1De                        5.0      60659.6900     0.0303   9.888E+04    31     0    107
3s11d3De                       15.0      60735.3800     0.0281   1.069E+05    32     0    108
3s11f3Fo                       21.0      60755.7640     0.0274   1.093E+05    34     0    109
3s11z3Z                       288.0      60764.1505     0.0272   1.103E+05    37     0    110
