**************************************************************************************************************************
**************************************************************************************************************************

Collision strengths (Omega[i,k]) for OIII. The collisional excitation rate
is defined by

           C(i,k)=8.63D-08 OMEGA(i,k) EXP(-U0) / Gi /sqrt(T_4).

We also use the same definition for the ionization collision strength.
For ionization of low lying levels we expect OMEGA(i,i) to be propotional to T.

 Collision rates for the lowest 3 states are from Keith Butler (2012)
 Values in Butler which are 0. set to 1.d-4

 [Reference] O\,{\sc iii} collision strengths (Keith Butler, private communication, 2012)

**************************************************************************************************************************
**************************************************************************************************************************

1224                            !Number of transitions
10                              !Number of T values OMEGA tabulated at
1.0                             !Scaling factor for OMEGA (non-FILE values).
0.01                            !Value for OMEGA if f=0

Transition\T                                0.180     0.450     0.900     1.800     4.500     9.000    18.000    45.000    90.000   180.000

2s2_2p2_3Pe-2s2_2p_4p_1Pe                  0.0730    0.0610    0.0530    0.0460    0.0360    0.0300    0.0240    0.0190    0.0160    0.0120
2s2_2p2_3Pe-2s2_2p_4p_3De                  0.7610    0.7210    0.6590    0.6000    0.5300    0.4740    0.4210    0.3530    0.2860    0.2200
2s2_2p2_3Pe-2s2_2p_4p_3Se                  0.0540    0.0500    0.0450    0.0400    0.0330    0.0280    0.0240    0.0210    0.0180    0.0150
2s2_2p2_3Pe-2s_2p2(4Pe)3p_5Po              0.1550    0.1470    0.1350    0.1230    0.1040    0.0850    0.0650    0.0420    0.0290    0.0190
2s2_2p2_3Pe-2s2_2p_4p_3Pe                  1.0110    0.9890    0.9730    0.9740    1.0110    1.0710    1.1480    1.2240    1.2680    1.3250
2s2_2p2_3Pe-2s2_2p_4p_1De                  0.3850    0.3760    0.3710    0.3690    0.3730    0.3810    0.3920    0.4120    0.4320    0.4480
2s2_2p2_3Pe-2s_2p2(4Pe)3p_3Do              0.5150    0.5040    0.4860    0.4430    0.3630    0.3110    0.2870    0.3300    0.4240    0.5800
2s2_2p2_3Pe-2s_2p2(4Pe)3p_5So              0.1210    0.1200    0.1150    0.1060    0.0940    0.0870    0.0820    0.0700    0.0530    0.0350
2s2_2p2_3Pe-2s2_2p_4p_1Se                  0.0250    0.0230    0.0220    0.0220    0.0220    0.0220    0.0200    0.0170    0.0130    0.0090
2s2_2p2_3Pe-2s_2p2(4Pe)3p_3Po              0.2560    0.2600    0.2510    0.2290    0.1890    0.1600    0.1430    0.1580    0.2040    0.2810
