           
******************************************************************************

       Identification of Super-Levels with actual model levels for FeV.
       Taken from Hubeny and Lanz (ApJ, 1995, 439, 875)
       Only the first and last columns are significant.

  Config           Statistical   Energy  Ionization
                     Weight      (cm-1)  Energy(eV)
******************************************************************************

28-Jun-1995                             !Date
280                                     !Number of energy levels
5					!Entry number of link to super level

3d4(1G4)4s2Ge[7/2]     8.    167795.9200   33.99551           10     0
3d4(1I4)4s2Ie[13/2]   14.    168526.3700   33.90495           10     0
3d4(1I4)4s2Ie[11/2]   12.    168566.4300   33.89999           10     0
3d4(1S4)4s2Se[1/2]     2.    170729.4900   33.63181           10     0
3d4(3D4)4s2De[5/2]     6.    171345.3300   33.55546           10     0
3d4(1D4)4s2De[3/2]     4.    171476.3900   33.53921           10     0
3d4(1D4)4s2De[5/2]     6.    177005.9700   32.85366           11     0
3d4(3D4)4s2De[3/2]     4.    177066.7200   32.84613           11     0
3d4(1F4)4s2Fe[5/2]     6.    183159.6100   32.09074           11     0
3d4(1F4)4s2Fe[7/2]     8.    183164.4900   32.09014           11     0
3d4(5D4)4p6Fo[1/2]     2.    187878.8100   31.50566           12     0
3d4(5D4)4p6Fo[3/2]     4.    188086.0500   31.47997           12     0
3d4(5D4)4p6Fo[5/2]     6.    188428.7800   31.43748           12     0
3d4(5D4)4p6Fo[7/2]     8.    188904.5500   31.37849           12     0
3d4(5D4)4p6Fo[9/2]    10.    189515.8800   31.30270           12     0
3d4(5D4)4p6Po[3/2]     4.    189885.1100   31.25692           12     0
3d4(3P2)4s4Pe[5/2]     6.    189975.0100   31.24578           13     0
3d4(5D4)4p6Po[5/2]     6.    190008.2800   31.24165           12     0
3d4(5D4)4p6Po[7/2]     8.    190226.8700   31.21455           12     0
3d4(5D4)4p6Fo[11/2]   12.    190276.8500   31.20835           12     0
3d4(3F2)4s4Fe[9/2]    10.    190318.3400   31.20321           13     0
3d4(3F2)4s4Fe[3/2]     4.    190406.4500   31.19229           13     0
3d4(3F2)4s4Fe[7/2]     8.    190424.1400   31.19009           13     0
3d4(3F2)4s4Fe[5/2]     6.    190435.4700   31.18869           13     0
3d4(3P2)4s4Pe[3/2]     4.    190811.7900   31.14203           13     0
3d4(5D4)4p4Po[1/2]     2.    191021.1800   31.11607           12     0
3d4(3P2)4s4Pe[1/2]     2.    191337.8200   31.07682           13     0
3d4(5D4)4p4Po[3/2]     4.    191694.1100   31.03264           12     0
3d4(5D4)4p6Do[1/2]     2.    192595.2800   30.92092           12     0
3d4(5D4)4p6Do[3/2]     4.    193120.3400   30.85582           12     0
3d4(5D4)4p6Do[5/2]     6.    193271.2700   30.83711           12     0
3d4(5D4)4p6Do[7/2]     8.    193386.1700   30.82286           12     0
3d4(5D4)4p4Po[5/2]     6.    193549.2500   30.80265           12     0
3d4(5D4)4p6Do[9/2]    10.    193789.1900   30.77290           12     0
3d4(3P2)4s2Pe[3/2]     4.    195864.1500   30.51565           13     0
3d4(3F2)4s2Fe[7/2]     8.    196131.1900   30.48254           13     0
3d4(5D4)4p4Fo[3/2]     4.    196186.8800   30.47564           12     0
3d4(3F2)4s2Fe[5/2]     6.    196220.7100   30.47144           13     0
3d4(5D4)4p4Fo[5/2]     6.    196334.6300   30.45732           12     0
3d4(5D4)4p4Fo[7/2]     8.    196549.5900   30.43067           12     0
3d4(5D4)4p4Fo[9/2]    10.    196846.8200   30.39382           12     0
3d4(3P2)4s2Pe[1/2]     2.    196875.6200   30.39025           13     0
3d4(1G2)4s2Ge[9/2]    10.    201178.0500   29.85684           13     0
3d4(1G2)4s2Ge[7/2]     8.    201212.2200   29.85260           13     0
3d4(5D4)4p4Do[1/2]     2.    201919.3800   29.76493           14     0
3d4(5D4)4p4Do[3/2]     4.    202085.2200   29.74437           14     0
3d4(5D4)4p4Do[5/2]     6.    202328.5300   29.71420           14     0
3d4(5D4)4p4Do[7/2]     8.    202608.3300   29.67951           14     0
3d4(3H4)4p4Ho[7/2]     8.    212135.7900   28.49831           15     0
3d4(3H4)4p4Ho[9/2]    10.    212374.0400   28.46877           15     0
3d4(3H4)4p4Ho[11/2]   12.    212714.3700   28.42658           15     0
3d4(3P4)4p4Do[1/2]     2.    212812.6600   28.41439           15     0
3d4(3H4)4p4Ho[13/2]   14.    213162.5900   28.37101           15     0
3d4(3P4)4p4Do[3/2]     4.    213445.0500   28.33599           15     0
3d4(3P4)4p4Do[5/2]     6.    214317.2100   28.22786           15     0
3d4(3H4)4p4Go[5/2]     6.    214821.7400   28.16531           15     0
3d4(3H4)4p4Go[7/2]     8.    215033.8100   28.13901           15     0
3d4(3H4)4p4Io[9/2]    10.    215155.6900   28.12390           15     0
3d4(3G4)4p2Go[7/2]     8.    215220.6700   28.11585           15     0
3d4(3F4)4p4Go[9/2]    10.    215385.2300   28.09545           15     0
3d4(3H4)4p4Io[11/2]   12.    215808.9100   28.04292           15     0
3d4(3P4)4p4Po[1/2]     2.    215860.5000   28.03652           15     0
3d4(3F4)4p4Go[11/2]   12.    216002.7200   28.01889           15     0
3d4(3H4)4p2Go[7/2]     8.    216111.6900   28.00538           15     0
3d4(3H4)4p4Io[13/2]   14.    216367.8000   27.97363           15     0
3d4(3H4)4p2Go[9/2]    10.    216428.4400   27.96611           15      0
3d4(3H4)4p4Io[15/2]   16.    216877.8300   27.91039           15      0
3d4(3P4)4p4Po[3/2]     4.    217031.8900   27.89129           15      0
3d4(3F4)4p4Fo[3/2]     4.    217466.1900   27.83745           15      0
3d4(3P4)4p2So[1/2]     2.    217607.7100   27.81990           15      0
3d4(3F4)4p4Go[5/2]     6.    217845.2900   27.79045           15      0
3d4(3G4)4p4Fo[5/2]     6.    218023.8100   27.76832           15      0
3d4(3F4)4p4Go[7/2]     8.    218159.7700   27.75146           15     0
3d4(3F4)4p4Fo[5/2]     6.    218195.6600   27.74701           15     0
3d4(3H4)4p4Go[9/2]    10.    218238.5100   27.74170           15     0
3d4(3H4)4p2Io[11/2]   12.    218375.1200   27.72476           15     0
3d4(3F4)4p4Fo[7/2]     8.    218478.3600   27.71196           15     0
3d4(3F4)4p4Fo[9/2]    10.    218601.0300   27.69675           15     0
3d4(3F4)4p2Do[3/2]     4.    218613.8800   27.69516           15     0
3d4(3G4)4p2Fo[5/2]     6.    218871.2100   27.66326           15     0
3d4(3P4)4p4So[3/2]     4.    219091.6700   27.63592           15     0
3d4(3F4)4p4Do[1/2]     2.    219333.9000   27.60589           15     0
3d4(3H4)4p4Go[11/2]   12.    219564.4600   27.57731           15     0
3d4(3F4)4p2Do[5/2]     6.    219590.8400   27.57404           15     0
3d4(3H4)4p2Io[13/2]   14.    219640.7600   27.56785           15     0
3d4(3G4)4p4Ho[7/2]     8.    219700.5300   27.56044           15     0
3d4(3F4)4p4Do[3/2]     4.    219826.6100   27.54481           15     0
3d4(1S4)4p2Po[1/2]     2.    220059.3300   27.51596           15     0
3d4(3F4)4p4Do[5/2]     6.    220197.2500   27.49886           15     0
3d4(3P4)4p2Po[3/2]     4.    220360.4400   27.47862           15     0
3d4(3H4)4p2Ho[9/2]    10.    220461.3300   27.46612           15     0
3d4(3F4)4p2Go[7/2]     8.    220649.2200   27.44282           15     0
3d4(3G4)4p4Fo[7/2]     8.    220658.0400   27.44173           15     0
3d4(3G4)4p4Ho[9/2]    10.    221104.1700   27.38642           15     0
3d4(3H4)4p2Ho[11/2]   12.    221161.0200   27.37937           15     0
3d4(3G4)4p4Fo[3/2]     4.    221219.2900   27.37214           15     0
3d4(3G4)4p4Fo[9/2]    10.    221239.2100   27.36968           15     0
