
******************************************************************************

       Energy levels and statistical weights for FeVII 

 Data is from K Butler, Priv. Com. Feb 95   
 Date data calculated: 14-Mar-1994                             

 This data file was written by the program:
 Uhaul:/export/home1/users/dlmiller/atomic/create/mk_data_file.f
 See the comments in this routine for more information.  DLM

  Config       Statistical   Energy  Ionization
                 Weight      (cm-1)  Energy(eV)
******************************************************************************

28-Jun-1995                             !Date
153                                     !Number of energy levels
1008000.0000                            !Ionization energy (cm-1)
7.0                                     !Screened nuclear charge
1898                                    !Number of transitions

3p63d23Fe[2]       5.         0.0000  124.97071
3p63d23Fe[3]       7.      1051.5000  124.84035
3p63d23Fe[4]       9.      2331.5000  124.68165
3p63d21De[2]       5.     17475.5000  122.80412
3p63d23Pe[0]       1.     20040.3000  122.48614
3p63d23Pe[1]       3.     20430.1000  122.43781
3p63d23Pe[2]       5.     21278.6000  122.33261
3p63d21Ge[4]       9.     28927.3000  121.38434
3p63d21Se[0]       1.     67078.3000  116.65442
3p63d4s3De[1]      3.    344463.3000   82.26454
3p63d4s3De[2]      5.    345028.7000   82.19444
3p63d4s3De[3]      7.    346262.2000   82.04151
3p63d4s1De[2]      5.    350332.6000   81.53687
3p53d35So[2]       5.    373435.0000   78.67266
3p53d3(1)5Do[2]    5.    378643.0000   78.02698
3p53d3(1)5Do[3]    7.    378738.0000   78.01520
3p53d3(1)5Do[1]    3.    378753.0000   78.01334
3p53d3(1)5Do[0]    1.    378882.0000   77.99734
3p53d3(1)5Do[4]    9.    379287.0000   77.94713
3p53d35Fo[5]      11.    386415.0000   77.06341
3p53d35Fo[4]       9.    387557.0000   76.92183
3p53d35Fo[1]       3.    387569.0000   76.92034
3p53d35Fo[2]       5.    387819.0000   76.88935
3p53d35Fo[3]       7.    387903.0000   76.87893
3p53d35Go[6]      13.    397691.0000   75.66543
3p53d35Go[5]      11.    400473.0000   75.32052
3p53d35Go[4]       9.    402526.0000   75.06599
3p53d35Go[3]       7.    403897.0000   74.89601
3p53d35Go[2]       5.    404221.0000   74.85584
3p53d3(1)3Fo[2]    5.    410380.0000   74.09226
