********************************************************************************
                                                                                
                 Super level assignments for C2
                 E%LS option with /\E=1%, then cleaned by hand.
                                                                                
                              g        E(cm^-1)    10^15 Hz     eV       Lam(A) 
********************************************************************************
                                                                                
18-Jul-2001                            !Date
338                                    !Number of energy levels
6                                      !Entry number of link to super level
 
2s2_7f_2Fo[5/2]               6.0     187641.6000     0.2705   1.108E+04    28     0     68
2s2_7g_2Ge[7/2]               8.0     187691.4000     0.2690   1.114E+04    29     0     69
2s2_7g_2Ge[9/2]              10.0     187691.4000     0.2690   1.114E+04    29     0     70
2s2_7z_2Z                    48.0     187706.9616     0.2685   1.116E+04    30     0     71
2s2_8s_2Se                    2.0     188510.9495     0.2444   1.226E+04    32     0     72
2s_2p(3Po)3p_2De[3/2]         4.0     188581.2500     0.2423   1.237E+04    33     0     73
2s_2p(3Po)3p_2De[5/2]         6.0     188615.0700     0.2413   1.242E+04    33     0     74
2s2_8p_2Po                    6.0     189168.4418     0.2247   1.334E+04    34     0     75
2s2_8d_2De                   10.0     189570.2342     0.2127   1.410E+04    35     0     76
2s2_8f_2Fo                   14.0     189762.6732     0.2069   1.449E+04    36     0     77
2s2_8g_2Ge[7/2]               8.0     189794.2000     0.2060   1.455E+04    37     0     78
2s2_8g_2Ge[9/2]              10.0     189794.2000     0.2060   1.455E+04    37     0     79
2s2_8z_2Z                    78.0     189806.4315     0.2056   1.458E+04    38     0     80
2s2_9s_2Se                    2.0     190349.6782     0.1893   1.584E+04    32     0     81
2s2_9p_2Po                    6.0     190801.1392     0.1758   1.705E+04    34     0     82
2s2_9d_2De                   10.0     191080.4045     0.1674   1.791E+04    35     0     83
2s2_9f_2Fo                   14.0     191215.1047     0.1634   1.835E+04    36     0     84
2s2_9g_2Ge                   18.0     191237.2613     0.1627   1.842E+04    37     0     85
2s2_9z_2Z                   112.0     191245.8212     0.1625   1.845E+04    38     0     86
2s2_10s_2Se                   2.0     191629.9288     0.1509   1.986E+04    39     0     87
2s2_10p_2Po                   6.0     191953.1931     0.1412   2.122E+04    40     0     88
2s2_10d_2De                  10.0     192155.0935     0.1352   2.217E+04    41     0     89
2s2_10f_2Fo                  14.0     192253.0253     0.1323   2.267E+04    42     0     90
2s2_10g_2Ge                  18.0     192269.1687     0.1318   2.275E+04    43     0     91
2s2_10z_2Z                  150.0     192275.4082     0.1316   2.278E+04    44     0     92
2s2_11s_2Se                   2.0     192556.9366     0.1231   2.434E+04    39     0     93
2s2_11p_2Po                   6.0     192796.2932     0.1160   2.585E+04    40     0     94
2s2_11d_2De                  10.0     192946.9598     0.1115   2.690E+04    41     0     95
2s2_11f_2Fo                  14.0     193020.3754     0.1093   2.744E+04    42     0     96
2s2_11g_2Ge                  18.0     193032.4988     0.1089   2.753E+04    43     0     97
2s2_11z_2Z                  192.0     193037.1861     0.1088   2.757E+04    44     0     98
2s2_12s_2Se                   2.0     193249.6414     0.1024   2.928E+04    39     0     99
2s2_12p_2Po                   6.0     193431.7908     0.0969   3.093E+04    40     0    100
2s2_12d_2De                  10.0     193547.1909     0.0935   3.208E+04    41     0    101
2s2_12f_2Fo                  14.0     193603.6359     0.0918   3.267E+04    42     0    102
2s2_12g_2Ge                  18.0     193612.9705     0.0915   3.277E+04    43     0    103
2s2_12z_2Z                  238.0     193616.5807     0.0914   3.281E+04    44     0    104
2s2_13w_2W                  338.0     194067.4859     0.0779   3.850E+04    45     0    105
2s2_14w_2W                  392.0     194425.2654     0.0671   4.465E+04    45     0    106
2s2_15w_2W                  450.0     194713.9036     0.0585   5.126E+04    45     0    107
2s2_16w_2W                  512.0     194950.1329     0.0514   5.832E+04    45     0    108
2s2_17w_2W                  578.0     195145.9139     0.0455   6.584E+04    46     0    109
2s2_18w_2W                  648.0     195309.9803     0.0406   7.382E+04    46     0    110
2s2_19w_2W                  722.0     195448.8297     0.0365   8.225E+04    46     0    111
2s2_20w_2W                  800.0     195567.3770     0.0329   9.113E+04    46     0    112
2s2_21w_2W                  882.0     195669.3957     0.0298   1.005E+05    47     0    113
2s_2p(3Po)3d_4Fo[3/2]         4.0     195752.5800     0.0273   1.096E+05    48     0    114
2s2_22w_2W                  968.0     195757.8215     0.0272   1.103E+05    47     0    115
2s_2p(3Po)3d_4Fo[5/2]         6.0     195765.8500     0.0269   1.113E+05    48     0    116
2s_2p(3Po)3d_4Fo[7/2]         8.0     195785.7400     0.0264   1.138E+05    48     0    117
