
********************************************************************************

                 Energy Levels and statistical weights for           

********************************************************************************

18-DEC-1996                                      !Date
48                                               !Number of energy levels
382587.0000                                      !Ionization energy
3.0                                              !Screened nuclear charge
407                                              !Number of transitions

2s2s2p2Po[1/2]       2.0          0.00000000    11.469670     2.61378E+02       1
2s2s2p2Po[3/2]       4.0        174.50000000    11.464438     2.61498E+02       2
2s2p2p4Pe[1/2]       2.0      57192.10000000     9.755094     3.07319E+02       3
2s2p2p4Pe[3/2]       4.0      57252.00000000     9.753298     3.07375E+02       4
2s2p2p4Pe[5/2]       6.0      57333.20000000     9.750864     3.07452E+02       5
2s2p2p2De[5/2]       6.0     101023.80000000     8.441052     3.55160E+02       6
2s2p2p2De[3/2]       4.0     101031.50000000     8.440822     3.55170E+02       7
2s2p2p2Se[1/2]       2.0     131003.50000000     7.542284     3.97482E+02       8
2s2p2p2Pe[1/2]       2.0     145876.10000000     7.096414     4.22456E+02       9
2s2p2p2Pe[3/2]       4.0     145986.50000000     7.093105     4.22653E+02      10
2p2p2p2Do[5/2]       6.0     203072.20000000     5.381718     5.57057E+02      11
2p2p2p2Do[3/2]       4.0     203088.90000000     5.381218     5.57109E+02      12
2s2s3s2Se[1/2]       2.0     221302.40000000     4.835191     6.20022E+02      13
2p2p2p2Po[1/2]       2.0     230404.50000000     4.562317     6.57106E+02      14
2p2p2p2Po[3/2]       4.0     230408.60000000     4.562194     6.57123E+02      15
2s2s3p2Po[1/2]       2.0     245665.70000000     4.104797     7.30347E+02      16
2s2s3p2Po[3/2]       4.0     245701.70000000     4.103718     7.30539E+02      17
2s2s3d2De[3/2]       4.0     267238.50000000     3.458061     8.66938E+02      18
2s2s3d2De[5/2]       6.0     267244.50000000     3.457881     8.66983E+02      19
2s2p3s2Po[1/2]       2.0     297150.20000000     2.561331     1.17046E+03      20
2s2p3s2Po[3/2]       4.0     297263.10000000     2.557946     1.17200E+03      21
2s2s4s2Se[1/2]       2.0     301072.50000000     2.443743     1.22678E+03      22
2s2p3p2Pe[1/2]       2.0     309132.60000000     2.202108     1.36139E+03      23
2s2p3p2Pe[3/2]       4.0     309185.80000000     2.200513     1.36238E+03      24
2s2s4p2Po[1/2]       2.0     311691.30000000     2.125400     1.41052E+03      25
2s2s4p2Po[3/2]       4.0     311716.10000000     2.124656     1.41102E+03      26
2s2s4d2De[3/2]       4.0     317750.80000000     1.943740     1.54235E+03      27
2s2s4d2De[5/2]       6.0     317781.80000000     1.942811     1.54309E+03      28
2s2s4f2Fo           14.0     320287.50000000     1.867692     1.60515E+03      29
2s2p3p2De[3/2]       4.0     320975.80000000     1.847057     1.62308E+03      30
2s2p3p2De[5/2]       6.0     321061.70000000     1.844482     1.62535E+03      31
2s2p3p2Se[1/2]       2.0     326942.00000000     1.668195     1.79711E+03      32
2s2s5s2Se[1/2]       2.0     333596.00000000     1.468713     2.04119E+03      33
2s2p3d2Do[3/2]       4.0     334441.00000000     1.443381     2.07702E+03      34
2s2p3d2Do[5/2]       6.0     334441.00000000     1.443381     2.07702E+03      35
2s2s5p2Po            6.0     338159.33000000     1.331908     2.25085E+03      36
2s2p3d2Fo           14.0     339808.33000000     1.282472     2.33761E+03      37
2s2s5d2De           10.0     341948.33000000     1.218317     2.46071E+03      38
2s2p3d2Po            6.0     342715.33000000     1.195323     2.50805E+03      39
2s2s5f2Fo           14.0     342749.33000000     1.194303     2.51019E+03      40
2s2s5g2Ge           18.0     343117.33000000     1.183271     2.53359E+03      41
2s2p3s'2Po           6.0     353442.33000000     0.873735     3.43116E+03      42
2s2p4p2Se            2.0     370365.33000000     0.366396     8.18219E+03      43
2s2p4s2Po            6.0     372537.33000000     0.301282     9.95058E+03      44
2s2p3p'2De          10.0     373364.00000000     0.276499     1.08425E+04      45
2s2p4p2Pe            6.0     374785.33000000     0.233888     1.28178E+04      46
2s2p3p'2Pe           6.0     377599.33000000     0.149527     2.00494E+04      47
2s2p4p2De           10.0     381473.33000000     0.033387     8.97932E+04      48


********************************************************************************

                        Oscillator strengths for           
             Wavelengths in air for lambda > 2000 Ang, else vacuum

********************************************************************************

  Transition                          f           A          Lam(A)      i-j    Trans. #

2s2s2p2Po[1/2]-2s2p2p4Pe[1/2]     1.554E-07   3.391E+02     1748.49      1-  3      1
2s2s2p2Po[1/2]-2s2p2p4Pe[3/2]     8.188E-09   8.950E+00     1746.66      1-  4      2
2s2s2p2Po[1/2]-2s2p2p2De[3/2]     1.291E-01   4.395E+08      989.79      1-  7      3
2s2s2p2Po[1/2]-2s2p2p2Se[1/2]     9.133E-02   1.045E+09      763.34      1-  8      4
2s2s2p2Po[1/2]-2s2p2p2Pe[1/2]     2.653E-01   3.766E+09      685.51      1-  9      5
2s2s2p2Po[1/2]-2s2p2p2Pe[3/2]     1.326E-01   9.425E+08      684.99      1- 10      6
2s2s2p2Po[1/2]-2s2s3s2Se[1/2]     3.402E-02   1.111E+09      451.87      1- 13      7
2s2s2p2Po[1/2]-2s2s3d2De[3/2]     4.647E-01   1.107E+10      374.20      1- 18      8
2s2s2p2Po[1/2]-2s2s4s2Se[1/2]     7.817E-03   4.726E+08      332.15      1- 22      9
2s2s2p2Po[1/2]-2s2p3p2Pe[1/2]     4.078E-02   2.599E+09      323.49      1- 23     10
2s2s2p2Po[1/2]-2s2p3p2Pe[3/2]     2.039E-02   6.501E+08      323.43      1- 24     11
2s2s2p2Po[1/2]-2s2s4d2De[3/2]     1.848E-01   6.223E+09      314.71      1- 27     12
2s2s2p2Po[1/2]-2s2p3p2De[3/2]     3.748E-02   1.288E+09      311.55      1- 30     13
2s2s2p2Po[1/2]-2s2p3p2Se[1/2]     2.046E-03   1.459E+08      305.86      1- 32     14
2s2s2p2Po[1/2]-2s2s5s2Se[1/2]     1.266E-02   9.398E+08      299.76      1- 33     15
2s2s2p2Po[1/2]-2s2s5d2De          7.114E-02   1.110E+09      292.44      1- 38     16
2s2s2p2Po[1/2]-2s2p4p2Se          8.614E-03   7.881E+08      270.00      1- 43     17
2s2s2p2Po[1/2]-2s2p3p'2De         4.374E-02   8.134E+08      267.84      1- 45     18
2s2s2p2Po[1/2]-2s2p4p2Pe          9.429E-03   2.945E+08      266.82      1- 46     19
2s2s2p2Po[1/2]-2s2p3p'2Pe         2.542E-02   8.059E+08      264.83      1- 47     20
2s2s2p2Po[1/2]-2s2p4p2De          1.251E-04   2.429E+06      262.14      1- 48     21
2s2s2p2Po[3/2]-2s2p2p4Pe[1/2]     8.394E-08   3.640E+02     1753.84      2-  3     22
2s2s2p2Po[3/2]-2s2p2p4Pe[3/2]     2.716E-08   5.902E+01     1752.00      2-  4     23
2s2s2p2Po[3/2]-2s2p2p4Pe[5/2]     3.245E-07   4.714E+02     1749.51      2-  5     24
2s2s2p2Po[3/2]-2s2p2p2De[5/2]     1.162E-01   5.255E+08      991.58      2-  6     25
2s2s2p2Po[3/2]-2s2p2p2De[3/2]     1.291E-02   8.760E+07      991.50      2-  7     26
2s2s2p2Po[3/2]-2s2p2p2Se[1/2]     9.133E-02   2.085E+09      764.36      2-  8     27
2s2s2p2Po[3/2]-2s2p2p2Pe[1/2]     6.632E-02   1.878E+09      686.33      2-  9     28
2s2s2p2Po[3/2]-2s2p2p2Pe[3/2]     3.316E-01   4.703E+09      685.81      2- 10     29
2s2s2p2Po[3/2]-2s2s3s2Se[1/2]     3.402E-02   2.219E+09      452.23      2- 13     30
2s2s2p2Po[3/2]-2s2s3d2De[3/2]     4.647E-02   2.211E+09      374.44      2- 18     31
2s2s2p2Po[3/2]-2s2s3d2De[5/2]     4.182E-01   1.326E+10      374.43      2- 19     32
2s2s2p2Po[3/2]-2s2s4s2Se[1/2]     7.817E-03   9.442E+08      332.34      2- 22     33
2s2s2p2Po[3/2]-2s2p3p2Pe[1/2]     1.020E-02   1.299E+09      323.67      2- 23     34
2s2s2p2Po[3/2]-2s2p3p2Pe[3/2]     5.098E-02   3.247E+09      323.61      2- 24     35
2s2s2p2Po[3/2]-2s2s4d2De[3/2]     1.848E-02   1.243E+09      314.88      2- 27     36
2s2s2p2Po[3/2]-2s2s4d2De[5/2]     1.663E-01   7.460E+09      314.85      2- 28     37
2s2s2p2Po[3/2]-2s2p3p2De[3/2]     3.748E-03   2.573E+08      311.72      2- 30     38
