********************************************************************************

            Dielectronic Transitions for NIIIDOUB  
            LTDR transitions with ALPHA(DIE) < 1.00E-02 (*10^-12) ignored
	    Core configurations are:
                                   2s^2
	                           2s2p (3Po)
                                   2s2p (1Po) : Denoted by '
                                   2p^2 (3Pe) : Denoted by ''
                                   2p^2 (1De) : Denoted by '''
                                   2p^2 (1Se) : Denoted by *
	    Some of the '', ''' levels may be incorrectly identified.

********************************************************************************

01-Sep-1989                                      !Date
382587.0000                                      !Ionization energy
3.0                                              !Screened nuclear charge
132                                              !Number of dielectronic transitions

  Transition                      f           A          Lam(A)     Gu      v(exc)          a(10^4)   a(2x10^4)  a(3x10^4)

2s2s3p2Po   -2s2p3p'2Se       3.981E-02   1.697E+09      685.13     2.0   2.6805E-01       1.941E-01  1.306E-01  8.806E-02    33
2s2p3s2Po   -2s2p3p'2Se       5.458E-03   9.737E+07     1059.09     2.0   2.6805E-01       1.114E-02  7.491E-03  5.052E-03    34
2s2p3s'2Po  -2s2p3p'2Se       7.173E-02   2.095E+08     2617.60     2.0   2.6805E-01       2.396E-02  1.612E-02  1.087E-02    35
2s2p2p2De   -2s2p3d'2Fo       1.548E-01   6.372E+09      340.19    14.0   3.6773E-01       3.161E+00  2.701E+00  1.973E+00    36
2s2s3d2De   -2s2p3d'2Fo       3.037E-01   2.361E+09      782.89    14.0   3.6773E-01       1.171E+00  1.001E+00  7.312E-01    37
2s2s5d2De   -2s2p3d'2Fo       2.436E-02   3.263E+07     1886.00    14.0   3.6773E-01       1.619E-02  1.383E-02  1.011E-02    38
2s2p2p2De   -2s2p3d'2Do       4.237E-02   2.469E+09      338.34    10.0   4.1606E-01   #   6.939E-01  6.658E-01  5.055E-01    39
2s2p2p2Pe   -2s2p3d'2Do       3.591E-01   9.028E+09      398.98    10.0   4.1606E-01   #   2.537E+00  2.434E+00  1.848E+00    40
2s2s3d2De   -2s2p3d'2Do       1.573E-01   1.755E+09      773.14    10.0   4.1606E-01   #   4.932E-01  4.733E-01  3.593E-01    41
2s2p3p2De   -2s2p3d'2Do       1.329E-02   5.059E+07     1323.59    10.0   4.1606E-01   #   1.422E-02  1.364E-02  1.036E-02    42
2s2p4p2Pe   -2s2p3d'2Do       2.051E-01   3.900E+07     4587.88    10.0   4.1606E-01   #   1.096E-02  1.052E-02  7.985E-03    43
2s2p2p2De   -2s2p3d'2Po       1.559E-03   1.565E+08      332.78     6.0   5.6416E-01       1.296E-02  1.775E-02  1.517E-02    44
2s2p2p2Se   -2s2p3d'2Po       2.053E-01   3.341E+09      369.65     6.0   5.6416E-01       2.767E-01  3.789E-01  3.238E-01    45
2s2p2p2Pe   -2s2p3d'2Po       1.813E-01   7.898E+09      391.27     6.0   5.6416E-01       6.542E-01  8.956E-01  7.656E-01    46
2s2s3d2De   -2s2p3d'2Po       1.380E-01   2.767E+09      744.69     6.0   5.6416E-01       2.292E-01  3.138E-01  2.682E-01    47
2s2p2p2De   -2s2p5s2Po        1.172E-02   1.184E+09      331.67     6.0   5.9408E-01       8.496E-02  1.250E-01  1.094E-01    48
2s2p2p2Se   -2s2p5s2Po        2.720E-02   4.458E+08      368.29     6.0   5.9408E-01       3.199E-02  4.705E-02  4.119E-02    49
2s2p3p2Pe   -2s2p5s2Po        1.780E-02   1.035E+08     1071.19     6.0   5.9408E-01       7.426E-03  1.092E-02  9.564E-03    50
2s2p3p2De   -2s2p5s2Po        3.401E-02   2.511E+08     1227.14     6.0   5.9408E-01       1.802E-02  2.650E-02  2.320E-02    51
2s2p3p'2De  -2s2p5s2Po        1.210E-01   1.143E+08     3429.86     6.0   5.9408E-01       8.201E-03  1.206E-02  1.056E-02    52
2s2s2p2Po   -2s2p5p2Pe        2.000E-02   2.162E+09      248.40     6.0   5.9885E-01   #   1.516E-01  2.256E-01  1.983E-01    53
2p2p2p2Do   -2s2p5p2Pe        2.870E-02   1.271E+09      500.99     6.0   5.9885E-01   #   8.913E-02  1.326E-01  1.165E-01    54
2p2p2p2Po   -2s2p5p2Pe        1.765E-02   3.495E+08      580.47     6.0   5.9885E-01   #   2.451E-02  3.647E-02  3.205E-02    55
2s2p3s2Po   -2s2p5p2Pe        7.132E-02   5.290E+08      948.27     6.0   5.9885E-01   #   3.710E-02  5.520E-02  4.851E-02    56
2s2s4p2Po   -2s2p5p2Pe        2.168E-02   1.197E+08     1099.22     6.0   5.9885E-01   #   8.395E-03  1.249E-02  1.098E-02    57
2s2s2p2Po   -2s2p5p2De        3.051E-02   2.014E+09      246.23    10.0   7.0522E-01       1.413E-01  2.713E-01  2.596E-01    58
2p2p2p2Do   -2s2p5p2De        1.700E-02   4.680E+08      492.24    10.0   7.0522E-01       3.283E-02  6.305E-02  6.033E-02    59
2s2s4p2Po   -2s2p5p2De        2.223E-02   7.950E+07     1057.96    10.0   7.0522E-01       5.577E-03  1.071E-02  1.025E-02    60
2s2p3d2Fo   -2s2p5p2De        2.663E-02   1.097E+08     1505.58    10.0   7.0522E-01       7.696E-03  1.478E-02  1.414E-02    61
2p2p2p2Po   -2s2p5p2Se        1.982E-02   1.253E+09      562.67     2.0   7.6224E-01       1.337E-02  2.945E-02  2.949E-02    62
2p2p2p2Do   -2s2p5f2Fe        4.993E-03   1.016E+08      483.87    14.0   8.1063E-01   #   6.017E-03  1.488E-02  1.549E-02    63
2s2p3d2Do   -2s2p5f2Fe        9.876E-02   2.660E+08     1330.02    14.0   8.1063E-01   #   1.575E-02  3.896E-02  4.056E-02    64
2s2p2p2De   -2s2p5d2Do        4.972E-03   3.162E+08      323.85    10.0   8.1243E-01   #   1.326E-02  3.294E-02  3.434E-02    65
2s2p2p2Pe   -2s2p5d2Do        3.372E-01   9.396E+09      378.99    10.0   8.1243E-01   #   3.940E-01  9.788E-01  1.020E+00    66
2s2s3d2De   -2s2p5d2Do        5.757E-02   7.805E+08      701.44    10.0   8.1243E-01   #   3.273E-02  8.130E-02  8.476E-02    67
2s2p3p2Pe   -2s2p5d2Do        2.938E-02   1.191E+08      993.67    10.0   8.1243E-01   #   4.994E-03  1.241E-02  1.293E-02    68
2s2p2p2De   -2s2p5d2Fo        2.445E-01   1.115E+10      323.25    14.0   8.2967E-01       6.026E-01  1.560E+00  1.649E+00    69
2s2s3d2De   -2s2p5d2Fo        2.405E-02   2.348E+08      698.62    14.0   8.2967E-01       1.269E-02  3.285E-02  3.473E-02    70
2s2p3p2De   -2s2p5d2Fo        1.173E-01   4.462E+08     1119.22    14.0   8.2967E-01       2.412E-02  6.243E-02  6.599E-02    71
2s2s2p2Po   -2s2p5f2De        1.919E-03   1.294E+08      243.62    10.0   8.3575E-01       4.852E-03  1.275E-02  1.354E-02    72
2s2p3d2Po   -2s2p5f2De        1.377E-01   2.538E+08     1473.48    10.0   8.3575E-01       9.516E-03  2.500E-02  2.655E-02    73
2s2p3d2Fo   -2s2p5f2Ge        1.502E-01   3.909E+08     1411.94    18.0   8.3728E-01       2.619E-02  6.905E-02  7.343E-02    74
2s2p2p2De   -2s2p5d2Po        6.303E-03   6.728E+08      322.72     6.0   8.4478E-01       1.449E-02  3.891E-02  4.163E-02    75
2s2p2p2Se   -2s2p5d2Po        3.258E-01   5.674E+09      357.29     6.0   8.4478E-01       1.222E-01  3.281E-01  3.511E-01    76
2s2p2p2Pe   -2s2p5d2Po        2.266E-02   1.061E+09      377.45     6.0   8.4478E-01       2.286E-02  6.136E-02  6.565E-02    77
2s2p3p2Se   -2s2p5d2Po        1.470E-01   2.297E+08     1192.96     6.0   8.4478E-01       4.948E-03  1.328E-02  1.421E-02    78
2s2s2p2Po   -2p2p3s''2Pe      6.981E-03   8.144E+08      239.11     6.0   1.0679E+00   #   6.012E-03  2.757E-02  3.526E-02    79
