 
******************************************************************************
 
       Photoionization cross-sections for S VI
 
>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width  500 km/sec
 
          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         
 
******************************************************************************
 
29-Jan-2003                             !Date
57                                      !Number of energy levels
1                                       !Number of photoionization routes
6.0                                     !Screened nuclear charge
2s2_2p6_1Se                             !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
500.0                                   !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
1113                                    !Total number of data pairs
 
3s_2Se                                  !Configuration name
1.14119E+01 7.350E-03
1.26014E+01 6.287E-03
1.39149E+01 5.376E-03
1.53653E+01 4.598E-03
1.69811E+01 3.928E-03
1.88137E+01 3.342E-03
2.07056E+01 2.873E-03
2.29402E+01 2.446E-03
2.52471E+01 2.102E-03
2.79718E+01 1.788E-03
3.07846E+01 1.537E-03
3.39935E+01 1.314E-03
3.75368E+01 1.124E-03
4.14494E+01 9.615E-04
4.59610E+01 8.173E-04
5.07517E+01 6.989E-04
5.58088E+01 6.014E-04
6.16260E+01 5.144E-04
6.83907E+01 4.367E-04
7.52054E+01 3.757E-04
8.30444E+01 3.222E-04
4p_2Po                                  !Configuration name
20                                      !Type of cross-section
44                                      !Number of cross-section points
1.00000E+00 5.414E-01
1.25856E+00 3.990E-01
1.51554E+00 3.039E-01
1.64586E+00 2.673E-01
1.77551E+00 2.366E-01
2.03040E+00 1.888E-01
2.24204E+00 1.607E-01
2.46134E+00 1.380E-01
2.72243E+00 1.172E-01
2.98623E+00 1.008E-01
3.30025E+00 8.567E-02
3.62306E+00 7.357E-02
4.00404E+00 6.254E-02
4.39569E+00 5.371E-02
4.85792E+00 4.566E-02
5.35535E+00 3.896E-02
5.90372E+00 3.325E-02
6.49740E+00 2.844E-02
7.15674E+00 2.431E-02
7.85677E+00 2.087E-02
8.65406E+00 1.783E-02
9.53226E+00 1.524E-02
1.04996E+01 1.302E-02
1.15650E+01 1.113E-02
1.27386E+01 9.504E-03
1.40313E+01 8.121E-03
1.54552E+01 6.939E-03
1.70236E+01 5.929E-03
1.88294E+01 5.034E-03
2.06539E+01 4.329E-03
2.28448E+01 3.675E-03
2.51631E+01 3.140E-03
2.77166E+01 2.683E-03
3.04276E+01 2.304E-03
3.35154E+01 1.969E-03
3.68857E+01 1.684E-03
4.06627E+01 1.437E-03
4.49011E+01 1.223E-03
4.93341E+01 1.050E-03
5.43405E+01 8.965E-04
5.98548E+01 7.660E-04
6.61489E+01 6.512E-04
7.26191E+01 5.592E-04
7.99217E+01 4.793E-04
4d_2De                                  !Configuration name
20                                      !Type of cross-section
39                                      !Number of cross-section points
1.00000E+00 1.244E+00
1.15505E+00 8.616E-01
1.30556E+00 6.224E-01
1.45856E+00 4.602E-01
1.61193E+00 3.482E-01
1.76371E+00 2.697E-01
1.91696E+00 2.121E-01
2.06969E+00 1.696E-01
2.22344E+00 1.373E-01
2.35894E+00 1.157E-01
2.50479E+00 9.723E-02
2.65744E+00 8.193E-02
2.82174E+00 6.888E-02
2.99370E+00 5.804E-02
3.17880E+00 4.879E-02
3.37253E+00 4.111E-02
3.58104E+00 3.455E-02
3.79928E+00 2.912E-02
4.03418E+00 2.448E-02
4.28004E+00 2.063E-02
4.54466E+00 1.734E-02
4.82163E+00 1.462E-02
5.13255E+00 1.219E-02
5.43175E+00 1.035E-02
5.78684E+00 8.621E-03
6.14462E+00 7.248E-03
6.51909E+00 6.107E-03
6.89912E+00 5.180E-03
7.31958E+00 4.365E-03
7.76565E+00 3.678E-03
8.24578E+00 3.092E-03
8.74831E+00 2.606E-03
9.32021E+00 2.171E-03
9.89645E+00 1.825E-03
1.04646E+01 1.552E-03
1.11024E+01 1.307E-03
1.18282E+01 1.089E-03
1.25177E+01 9.238E-04
1.32806E+01 7.817E-04
4f_2Fo                                  !Configuration name
20                                      !Type of cross-section
33                                      !Number of cross-section points
1.00000E+00 1.527E-02
1.16181E+00 9.602E-03
1.32198E+00 6.327E-03
1.48183E+00 4.323E-03
1.64175E+00 3.039E-03
1.80234E+00 2.186E-03
1.96221E+00 1.607E-03
2.12031E+00 1.208E-03
2.27592E+00 9.280E-04
2.39060E+00 7.760E-04
2.51106E+00 6.491E-04
2.63539E+00 5.447E-04
2.76818E+00 4.556E-04
2.90524E+00 3.823E-04
3.05163E+00 3.197E-04
3.21342E+00 2.652E-04
3.37815E+00 2.213E-04
3.53362E+00 1.877E-04
3.71786E+00 1.562E-04
3.90845E+00 1.303E-04
4.10539E+00 1.090E-04
4.29433E+00 9.249E-05
4.50695E+00 7.760E-05
4.73405E+00 6.491E-05
4.96844E+00 5.446E-05
5.21880E+00 4.557E-05
5.49548E+00 3.779E-05
5.77239E+00 3.162E-05
6.04307E+00 2.676E-05
6.34229E+00 2.245E-05
6.67854E+00 1.862E-05
6.99171E+00 1.576E-05
7.33789E+00 1.327E-05
5s_2Se                                  !Configuration name
20                                      !Type of cross-section
44                                      !Number of cross-section points
1.00000E+00 4.282E-01
1.19420E+00 3.273E-01
1.38743E+00 2.584E-01
1.58002E+00 2.094E-01
1.76960E+00 1.738E-01
1.96058E+00 1.466E-01
2.15414E+00 1.252E-01
2.53840E+00 9.465E-02
2.80066E+00 8.025E-02
3.06437E+00 6.891E-02
3.37815E+00 5.850E-02
3.69624E+00 5.025E-02
4.07472E+00 4.266E-02
4.47701E+00 3.640E-02
4.92312E+00 3.102E-02
5.40917E+00 2.647E-02
5.93825E+00 2.261E-02
6.52453E+00 1.929E-02
7.13888E+00 1.658E-02
7.84369E+00 1.414E-02
8.61808E+00 1.207E-02
9.46893E+00 1.030E-02
1.04038E+01 8.786E-03
1.14214E+01 7.508E-03
1.25490E+01 6.406E-03
1.37880E+01 5.466E-03
1.51492E+01 4.664E-03
