
******************************************************************************

       Photoionization cross-sections for Ar VIII

>> Data is from the Opacity project
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

14-Feb-2001                             !Date
57                                      !Number of energy levels
1                                       !Number of photoionization routes
8.0                                     !Screened nuclear charge
2p6_1Se                                 !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
1053                                    !Total number of data pairs

3s_2Se                                  !Configuration name
 3.230D+01 9.135D-04
 3.807D+01 6.840D-04
 4.247D+01 5.624D-04
 4.646D+01 4.799D-04
 5.081D+01 4.095D-04
 5.585D+01 3.463D-04
 6.109D+01 3.008D-04
4d_2De                                  !Configuration name
20                                      !Type of cross-section
35                                      !Number of cross-section points
 1.000D+00 6.816D-01
 1.155D+00 4.788D-01
 1.302D+00 3.479D-01
 1.453D+00 2.577D-01
 1.605D+00 1.949D-01
 1.764D+00 1.488D-01
 1.910D+00 1.182D-01
 2.038D+00 9.835D-02
 2.174D+00 8.197D-02
 2.320D+00 6.833D-02
 2.462D+00 5.775D-02
 2.614D+00 4.881D-02
 2.775D+00 4.125D-02
 2.946D+00 3.486D-02
 3.127D+00 2.946D-02
 3.320D+00 2.490D-02
 3.524D+00 2.104D-02
 3.760D+00 1.754D-02
 3.991D+00 1.482D-02
 4.237D+00 1.252D-02
 4.498D+00 1.059D-02
 4.774D+00 8.950D-03
 5.222D+00 6.969D-03
 5.740D+00 5.328D-03
 6.185D+00 4.321D-03
 6.799D+00 3.312D-03
 7.326D+00 2.681D-03
 7.816D+00 2.234D-03
 8.297D+00 1.888D-03
 8.808D+00 1.596D-03
 9.586D+00 1.260D-03
 1.048D+01 9.778D-04
 1.124D+01 8.030D-04
 1.242D+01 6.080D-04
 1.345D+01 4.921D-04
4f_2Fo                                  !Configuration name
20                                      !Type of cross-section
31                                      !Number of cross-section points
 1.000D+00 8.274D-03
 1.161D+00 5.263D-03
 1.328D+00 3.378D-03
 1.497D+00 2.251D-03
 1.662D+00 1.560D-03
 1.782D+00 1.216D-03
 1.978D+00 8.321D-04
 2.069D+00 7.104D-04
 2.174D+00 5.965D-04
 2.285D+00 5.008D-04
 2.402D+00 4.206D-04
 2.524D+00 3.532D-04
 2.640D+00 3.018D-04
 2.775D+00 2.533D-04
 2.917D+00 2.127D-04
 3.065D+00 1.787D-04
 3.303D+00 1.377D-04
 3.577D+00 1.039D-04
 3.816D+00 8.289D-05
 4.112D+00 6.378D-05
 4.365D+00 5.167D-05
 4.611D+00 4.263D-05
 4.846D+00 3.579D-05
 5.094D+00 3.006D-05
 5.354D+00 2.524D-05
 5.827D+00 1.878D-05
 6.216D+00 1.494D-05
 6.533D+00 1.255D-05
 7.146D+00 9.169D-06
 7.436D+00 7.988D-06
 7.624D+00 7.539D-06
5s_2Se                                  !Configuration name
20                                      !Type of cross-section
37                                      !Number of cross-section points
 1.000D+00 3.282D-01
 1.202D+00 2.448D-01
 1.403D+00 1.883D-01
 1.621D+00 1.467D-01
 1.836D+00 1.180D-01
 2.008D+00 1.006D-01
 2.263D+00 8.154D-02
 2.653D+00 6.155D-02
 3.127D+00 4.621D-02
 3.524D+00 3.746D-02
 4.112D+00 2.860D-02
 4.634D+00 2.318D-02
 5.380D+00 1.785D-02
 6.003D+00 1.471D-02
 6.599D+00 1.246D-02
 7.253D+00 1.056D-02
 7.934D+00 9.025D-03
 8.677D+00 7.712D-03
 9.491D+00 6.591D-03
 1.038D+01 5.633D-03
 1.135D+01 4.815D-03
 1.248D+01 4.078D-03
 1.365D+01 3.486D-03
 1.493D+01 2.979D-03
 1.633D+01 2.546D-03
 1.896D+01 1.965D-03
 2.169D+01 1.549D-03
 2.518D+01 1.194D-03
 2.824D+01 9.749D-04
 3.104D+01 8.259D-04
 3.395D+01 7.059D-04
 4.001D+01 5.299D-04
 4.442D+01 4.406D-04
 4.883D+01 3.733D-04
 5.341D+01 3.191D-04
 5.870D+01 2.703D-04
 6.421D+01 2.346D-04
5p_2Po                                  !Configuration name
20                                      !Type of cross-section
36                                      !Number of cross-section points
 1.000D+00 5.029D-01
 1.220D+00 3.686D-01
 1.438D+00 2.794D-01
 1.670D+00 2.156D-01
 1.901D+00 1.712D-01
 2.079D+00 1.450D-01
 2.331D+00 1.173D-01
 2.720D+00 8.889D-02
 3.050D+00 7.236D-02
 3.559D+00 5.482D-02
 3.991D+00 4.465D-02
 4.634D+00 3.414D-02
 5.196D+00 2.778D-02
 6.003D+00 2.147D-02
 6.698D+00 1.760D-02
 7.363D+00 1.485D-02
 8.053D+00 1.264D-02
 8.808D+00 1.076D-02
 9.634D+00 9.159D-03
 1.048D+01 7.866D-03
 1.147D+01 6.696D-03
 1.254D+01 5.700D-03
 1.372D+01 4.853D-03
 1.500D+01 4.131D-03
 1.760D+01 3.108D-03
 1.983D+01 2.505D-03
 2.291D+01 1.936D-03
 2.556D+01 1.586D-03
 2.810D+01 1.338D-03
 3.058D+01 1.150D-03
 3.345D+01 9.787D-04
 3.922D+01 7.364D-04
 4.376D+01 6.038D-04
 4.786D+01 5.140D-04
 5.613D+01 3.867D-04
 6.232D+01 3.236D-04
5d_2De                                  !Configuration name
20                                      !Type of cross-section
32                                      !Number of cross-section points
 1.000D+00 9.659D-01
 1.251D+00 5.821D-01
 1.497D+00 3.762D-01
 1.746D+00 2.551D-01
 1.958D+00 1.893D-01
 2.196D+00 1.399D-01
 2.438D+00 1.054D-01
 2.614D+00 8.771D-02
 2.803D+00 7.318D-02
 2.990D+00 6.183D-02
 3.190D+00 5.225D-02
 3.403D+00 4.415D-02
 3.631D+00 3.731D-02
 3.874D+00 3.152D-02
 4.133D+00 2.664D-02
 4.409D+00 2.251D-02
 4.704D+00 1.902D-02
 5.018D+00 1.607D-02
 5.627D+00 1.195D-02
 6.155D+00 9.452D-03
 6.833D+00 7.212D-03
 7.399D+00 5.852D-03
 7.934D+00 4.881D-03
 8.464D+00 4.124D-03
 9.030D+00 3.485D-03
 9.634D+00 2.945D-03
 1.080D+01 2.190D-03
 1.170D+01 1.777D-03
 1.254D+01 1.482D-03
 1.413D+01 1.087D-03
 1.493D+01 9.449D-04
 1.531D+01 9.081D-04
5f_2Fo                                  !Configuration name
20                                      !Type of cross-section
31                                      !Number of cross-section points
 1.000D+00 2.537D-02
 1.025D+00 2.449D-02
 1.251D+00 1.327D-02
 1.497D+00 7.590D-03
 1.746D+00 4.615D-03
 1.998D+00 2.954D-03
 2.251D+00 1.966D-03
 2.524D+00 1.320D-03
 2.653D+00 1.117D-03
 2.789D+00 9.455D-04
 2.931D+00 8.006D-04
 3.081D+00 6.781D-04
 3.254D+00 5.648D-04
 3.420D+00 4.783D-04
 3.613D+00 3.984D-04
 3.797D+00 3.374D-04
 3.991D+00 2.859D-04
 4.322D+00 2.195D-04
 4.704D+00 1.652D-04
 5.043D+00 1.311D-04
 5.434D+00 1.021D-04
 5.769D+00 8.358D-05
 6.124D+00 6.846D-05
 6.437D+00 5.798D-05
 6.765D+00 4.910D-05
 7.146D+00 4.090D-05
 7.777D+00 3.089D-05
 8.338D+00 2.444D-05
 8.808D+00 2.035D-05
 9.586D+00 1.537D-05
 1.028D+01 1.239D-05
6s_2Se                                  !Configuration name
20                                      !Type of cross-section
36                                      !Number of cross-section points
 1.000D+00 4.158D-01
 1.302D+00 2.663D-01
 1.605D+00 1.837D-01
 1.901D+00 1.356D-01
 2.207D+00 1.035D-01
 2.524D+00 8.100D-02
 2.845D+00 6.513D-02
 3.320D+00 4.925D-02
 3.704D+00 4.039D-02
 4.301D+00 3.086D-02
 4.822D+00 2.505D-02
 5.380D+00 2.060D-02
 6.185D+00 1.597D-02
 6.833D+00 1.334D-02
 7.473D+00 1.134D-02
 8.174D+00 9.641D-03
 8.940D+00 8.198D-03
 9.779D+00 6.972D-03
 1.064D+01 5.980D-03
 1.164D+01 5.086D-03
 1.267D+01 4.364D-03
 1.386D+01 3.711D-03
 1.515D+01 3.155D-03
 1.777D+01 2.369D-03
 1.993D+01 1.923D-03
 2.314D+01 1.470D-03
 2.582D+01 1.204D-03
 2.824D+01 1.023D-03
 3.088D+01 8.702D-04
 3.361D+01 7.467D-04
 3.676D+01 6.349D-04
 4.102D+01 5.216D-04
 4.692D+01 4.092D-04
