 Collision strengths (Omega[i,k]) for OSIX. The collisional excitation rate
 is defined by

           C(i,k)=8.63D-08 OMEGA(i,k) EXP(-U0) / Gi /sqrt(T_4).

 We also use the same definition for the ionization collision strength.
 For ionization of low lying levels we expect OMEGA(i,i) to be propotional to T.
 T is units of 10^4 K.

 [Reference] Collision strengths for O\,{\sc vi} for $n < 6$ are from \citep{LB11_Li_like}.

**************************************************************************************************************************
**************************************************************************************************************************

196                             !Number of transitions
13                              !Number of T values OMEGA tabulated at
1.0                             !Scaling factor for OMEGA (non-FILE values).
0.01                            !Value for OMEGA if f=0

2p_2Po[1/2]-3s_2Se[1/2]        4.220E-01  4.120E-01  3.410E-01  2.410E-01  1.390E-01  9.210E-02  6.600E-02  5.430E-02  5.840E-02  7.090E-02  9.640E-02  1.210E-01  1.480E-01
2p_2Po[1/2]-3p_2Po[1/2]        4.310E-01  3.310E-01  2.710E-01  2.350E-01  2.120E-01  2.050E-01  2.060E-01  2.150E-01  2.240E-01  2.330E-01  2.420E-01  2.460E-01  2.490E-01
2p_2Po[1/2]-3p_2Po[3/2]        5.460E-01  3.560E-01  2.420E-01  1.730E-01  1.220E-01  9.460E-02  7.450E-02  5.820E-02  5.240E-02  5.040E-02  5.060E-02  5.130E-02  5.200E-02
2p_2Po[1/2]-3d_2De[3/2]        6.040E-01  6.200E-01  6.250E-01  6.380E-01  6.830E-01  7.550E-01  8.860E-01  1.190E+00  1.530E+00  1.960E+00  2.630E+00  3.210E+00  3.820E+00
2p_2Po[1/2]-3d_2De[5/2]        2.090E-01  1.880E-01  1.720E-01  1.660E-01  1.550E-01  1.350E-01  1.110E-01  8.340E-02  6.910E-02  6.030E-02  5.490E-02  5.350E-02  5.300E-02
2p_2Po[1/2]-4s_2Se[1/2]        8.120E-02  6.920E-02  5.360E-02  3.970E-02  2.630E-02  1.950E-02  1.490E-02  1.170E-02  1.120E-02  1.220E-02  1.510E-02  1.820E-02  2.170E-02
2p_2Po[1/2]-4p_2Po[1/2]        8.580E-02  6.960E-02  6.100E-02  5.490E-02  4.860E-02  4.530E-02  4.350E-02  4.300E-02  4.360E-02  4.460E-02  4.600E-02  4.680E-02  4.730E-02
2p_2Po[1/2]-4p_2Po[3/2]        8.890E-02  6.730E-02  5.630E-02  4.750E-02  3.620E-02  2.880E-02  2.270E-02  1.690E-02  1.410E-02  1.250E-02  1.160E-02  1.130E-02  1.120E-02
2p_2Po[1/2]-4d_2De[3/2]        1.360E-01  1.290E-01  1.280E-01  1.310E-01  1.400E-01  1.520E-01  1.720E-01  2.150E-01  2.630E-01  3.230E-01  4.160E-01  4.950E-01  5.800E-01
2p_2Po[1/2]-4d_2De[5/2]        7.670E-02  6.600E-02  6.150E-02  5.680E-02  4.760E-02  3.990E-02  3.200E-02  2.270E-02  1.730E-02  1.380E-02  1.140E-02  1.050E-02  1.020E-02
2p_2Po[1/2]-4f_2Fo[5/2]        7.530E-02  6.820E-02  6.400E-02  5.890E-02  4.960E-02  4.400E-02  4.130E-02  4.300E-02  4.730E-02  5.280E-02  5.940E-02  6.290E-02  6.530E-02
2p_2Po[1/2]-5s_2Se[1/2]        3.230E-02  2.280E-02  1.750E-02  1.390E-02  1.050E-02  8.420E-03  6.720E-03  5.210E-03  4.750E-03  4.850E-03  5.620E-03  6.550E-03  7.680E-03
2p_2Po[1/2]-5p_2Po[1/2]        3.600E-02  2.910E-02  2.600E-02  2.380E-02  2.150E-02  2.000E-02  1.870E-02  1.750E-02  1.710E-02  1.700E-02  1.730E-02  1.750E-02  1.770E-02
2p_2Po[1/2]-5p_2Po[3/2]        3.060E-02  2.460E-02  2.180E-02  1.950E-02  1.650E-02  1.390E-02  1.130E-02  8.290E-03  6.690E-03  5.660E-03  4.950E-03  4.690E-03  4.560E-03
2p_2Po[1/2]-5d_2De[3/2]        4.710E-02  4.860E-02  5.050E-02  5.320E-02  5.800E-02  6.290E-02  6.960E-02  8.310E-02  9.830E-02  1.180E-01  1.480E-01  1.740E-01  2.020E-01
2p_2Po[1/2]-5d_2De[5/2]        2.080E-02  2.080E-02  2.070E-02  2.050E-02  1.910E-02  1.710E-02  1.420E-02  1.010E-02  7.600E-03  5.880E-03  4.630E-03  4.190E-03  3.970E-03
2p_2Po[1/2]-5z_2Z              4.410E-02  4.392E-02  4.287E-02  4.112E-02  3.744E-02  3.401E-02  3.109E-02  2.915E-02  2.971E-02  3.131E-02  3.380E-02  3.527E-02  3.645E-02
2p_2Po[3/2]-3s_2Se[1/2]        8.740E-01  8.550E-01  7.080E-01  5.020E-01  2.870E-01  1.890E-01  1.350E-01  1.100E-01  1.180E-01  1.430E-01  1.940E-01  2.430E-01  2.980E-01
2p_2Po[3/2]-3p_2Po[1/2]        5.130E-01  3.400E-01  2.330E-01  1.680E-01  1.200E-01  9.370E-02  7.400E-02  5.810E-02  5.230E-02  5.040E-02  5.070E-02  5.150E-02  5.220E-02
2p_2Po[3/2]-3p_2Po[3/2]        1.580E+00  1.160E+00  8.720E-01  6.940E-01  5.690E-01  5.180E-01  4.930E-01  4.910E-01  5.030E-01  5.190E-01  5.360E-01  5.450E-01  5.510E-01
2p_2Po[3/2]-3d_2De[3/2]        3.690E-01  3.490E-01  3.310E-01  3.270E-01  3.230E-01  3.130E-01  3.100E-01  3.380E-01  3.880E-01  4.640E-01  5.930E-01  7.050E-01  8.270E-01
2p_2Po[3/2]-3d_2De[5/2]        1.270E+00  1.270E+00  1.270E+00  1.280E+00  1.360E+00  1.470E+00  1.690E+00  2.210E+00  2.810E+00  3.580E+00  4.800E+00  5.830E+00  6.940E+00
2p_2Po[3/2]-4s_2Se[1/2]        1.680E-01  1.410E-01  1.080E-01  7.970E-02  5.270E-02  3.900E-02  2.980E-02  2.340E-02  2.250E-02  2.440E-02  3.030E-02  3.650E-02  4.380E-02
