
******************************************************************************

       Photoionization cross-sections for 

>> Verner high energy tail included for gnd level
>> Opacity project data smoothed by phot_smooth.f
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         
           2 - Hydrogenic: Split l (z states, n > 11)
           3 - Hydrogenic: Pure n level (all l, n >= 13)

 [Reference] Mg\,{\sc iv} photoioinization cross-sections are from the opacity project
 [Reference] \citep{Sea87_op}, and were retrieved from Topbase \citep{Topbase93}.

******************************************************************************

24-May-1996                             !Date
57                                      !Number of energy levels
1                                       !Number of photoionization routes
3.0                                     !Screened nuclear charge
2s2_2p6_1Se / 2s22p61Se                 !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
3944                                    !Total number of data pairs

3s2Se                                   !Configuration name
1.0406D+00 3.548D-01
1.0458D+00 3.538D-01
1.0510D+00 3.528D-01
1.0722D+00 3.487D-01
1.0776D+00 3.477D-01
1.1158D+00 3.401D-01
1.1326D+00 3.366D-01
1.1382D+00 3.354D-01
1.1611D+00 3.307D-01
1.1727D+00 3.283D-01
1.1963D+00 3.235D-01
1.2143D+00 3.197D-01
1.2265D+00 3.172D-01
1.2387D+00 3.147D-01
1.2449D+00 3.134D-01
1.2891D+00 3.043D-01
1.3348D+00 2.952D-01
1.3821D+00 2.858D-01
1.4240D+00 2.779D-01
1.4311D+00 2.766D-01
1.4819D+00 2.672D-01
1.5344D+00 2.579D-01
1.5889D+00 2.486D-01
1.6452D+00 2.395D-01
1.7036D+00 2.305D-01
1.7640D+00 2.216D-01
1.8265D+00 2.130D-01
1.8913D+00 2.045D-01
1.9584D+00 1.962D-01
2.0278D+00 1.881D-01
2.0998D+00 1.803D-01
2.1742D+00 1.726D-01
2.2513D+00 1.652D-01
2.3311D+00 1.580D-01
2.4139D+00 1.511D-01
2.4994D+00 1.445D-01
2.5881D+00 1.380D-01
2.6799D+00 1.318D-01
2.7749D+00 1.258D-01
2.8733D+00 1.201D-01
2.9752D+00 1.149D-01
3.0351D+00 1.122D-01
3.0502D+00 1.115D-01
3.0655D+00 1.108D-01
3.1741D+00 1.058D-01
3.1900D+00 1.051D-01
3.2219D+00 1.036D-01
3.2704D+00 1.014D-01
3.2867D+00 1.007D-01
3.4033D+00 9.550D-02
3.5240D+00 9.134D-02
3.5770D+00 8.959D-02
3.6489D+00 8.721D-02
3.7223D+00 8.478D-02
3.8544D+00 8.029D-02
3.8736D+00 7.950D-02

4p2Po                                   !Configuration name
20                                      !Type of cross-section
55                                      !Number of cross-section points
1.0000D+00 5.350D-01
1.0050D+00 5.344D-01
1.0406D+00 5.151D-01
1.0458D+00 5.120D-01
1.0616D+00 5.024D-01
1.0722D+00 4.959D-01
1.0776D+00 4.927D-01
1.1213D+00 4.677D-01
1.1669D+00 4.496D-01
1.1727D+00 4.473D-01
1.1904D+00 4.405D-01
1.2387D+00 4.229D-01
1.2891D+00 4.089D-01
1.2955D+00 4.071D-01
1.3020D+00 4.054D-01
1.3549D+00 3.916D-01
1.4029D+00 3.814D-01
1.4099D+00 3.799D-01
1.4672D+00 3.682D-01
1.5192D+00 3.591D-01
1.5268D+00 3.578D-01
1.5889D+00 3.473D-01
1.6289D+00 3.413D-01
1.6370D+00 3.401D-01
1.7036D+00 3.302D-01
1.7728D+00 3.208D-01
1.8448D+00 3.114D-01
1.9198D+00 3.021D-01
1.9780D+00 2.952D-01
1.9978D+00 2.929D-01
2.0790D+00 2.836D-01
2.1634D+00 2.744D-01
2.2513D+00 2.652D-01
2.3428D+00 2.560D-01
2.4380D+00 2.467D-01
2.5371D+00 2.374D-01
2.6402D+00 2.281D-01
2.7474D+00 2.188D-01
2.8591D+00 2.096D-01
2.9752D+00 2.003D-01
3.0961D+00 1.912D-01
3.2219D+00 1.822D-01
3.3528D+00 1.735D-01
3.4891D+00 1.654D-01
3.6128D+00 1.580D-01
3.6309D+00 1.569D-01
3.6672D+00 1.547D-01
3.7409D+00 1.503D-01
3.7596D+00 1.492D-01
3.9123D+00 1.404D-01
4.0713D+00 1.330D-01
4.1326D+00 1.302D-01
4.3005D+00 1.225D-01
4.4753D+00 1.140D-01
4.4976D+00 1.126D-01

4d2De                                   !Configuration name
20                                      !Type of cross-section
72                                      !Number of cross-section points
1.0000D+00 4.680D+00
1.0050D+00 4.670D+00
1.0406D+00 4.368D+00
1.0458D+00 4.318D+00
1.0883D+00 3.912D+00
1.1102D+00 3.703D+00
1.1158D+00 3.650D+00
1.1844D+00 3.099D+00
1.2143D+00 2.918D+00
1.2326D+00 2.808D+00
1.2387D+00 2.771D+00
1.2449D+00 2.734D+00
1.2574D+00 2.659D+00
1.2637D+00 2.621D+00
1.3414D+00 2.218D+00
1.3752D+00 2.083D+00
1.3890D+00 2.028D+00
1.4029D+00 1.973D+00
1.4169D+00 1.917D+00
1.5042D+00 1.619D+00
1.5344D+00 1.537D+00
1.5653D+00 1.452D+00
1.6617D+00 1.223D+00
1.6951D+00 1.159D+00
1.7120D+00 1.126D+00
1.8174D+00 9.462D-01
1.8540D+00 8.949D-01
1.8633D+00 8.819D-01
1.9780D+00 7.389D-01
2.0998D+00 6.173D-01
2.2290D+00 5.162D-01
2.3663D+00 4.312D-01
2.5119D+00 3.593D-01
2.6666D+00 2.987D-01
2.8307D+00 2.478D-01
3.0050D+00 2.054D-01
3.1900D+00 1.700D-01
3.3864D+00 1.408D-01
3.5949D+00 1.163D-01
3.8162D+00 9.611D-02
4.0511D+00 7.947D-02
4.3005D+00 6.793D-02
4.5201D+00 5.872D-02
4.6803D+00 5.200D-02
4.7037D+00 5.102D-02
4.9933D+00 4.138D-02
5.1191D+00 3.867D-02
5.2743D+00 3.533D-02
5.4073D+00 3.246D-02
5.4342D+00 3.188D-02
5.7688D+00 2.581D-02
5.9143D+00 2.400D-02
6.0936D+00 2.178D-02
6.1546D+00 2.102D-02
6.1852D+00 2.064D-02
6.5660D+00 1.661D-02
6.7316D+00 1.532D-02
6.8328D+00 1.454D-02
6.9012D+00 1.401D-02
6.9357D+00 1.374D-02
7.3627D+00 1.089D-02
7.5482D+00 9.940D-03
7.5860D+00 9.748D-03
7.6237D+00 9.556D-03
7.7385D+00 8.972D-03
8.2150D+00 6.960D-03
8.3802D+00 6.395D-03
8.4641D+00 6.108D-03
8.9851D+00 4.595D-03
9.1659D+00 4.176D-03
9.2115D+00 4.070D-03
9.4908D+00 3.458D-03

4f2Fo                                   !Configuration name
20                                      !Type of cross-section
74                                      !Number of cross-section points
1.0000D+00 5.195D-02
1.0510D+00 4.566D-02
1.0829D+00 4.186D-02
1.1102D+00 3.860D-02
1.1213D+00 3.727D-02
1.1844D+00 3.100D-02
1.2143D+00 2.894D-02
1.2511D+00 2.642D-02
1.2637D+00 2.556D-02
1.2699D+00 2.513D-02
1.2763D+00 2.470D-02
1.2827D+00 2.426D-02
1.3549D+00 2.025D-02
1.3821D+00 1.911D-02
1.4029D+00 1.824D-02
1.4169D+00 1.765D-02
1.4240D+00 1.735D-02
1.5042D+00 1.437D-02
1.5344D+00 1.356D-02
1.5421D+00 1.335D-02
1.5498D+00 1.315D-02
1.5653D+00 1.273D-02
1.5731D+00 1.252D-02
1.5810D+00 1.231D-02
1.6700D+00 1.020D-02
1.7292D+00 9.139D-03
1.7378D+00 8.984D-03
1.8356D+00 7.437D-03
1.8819D+00 6.865D-03
1.8913D+00 6.750D-03
1.9978D+00 5.577D-03
2.0380D+00 5.225D-03
2.0584D+00 5.047D-03
2.1742D+00 4.167D-03
2.1960D+00 4.029D-03
2.2069D+00 3.959D-03
2.3311D+00 3.257D-03
2.4624D+00 2.670D-03
2.6010D+00 2.186D-03
2.7474D+00 1.785D-03
2.9021D+00 1.452D-03
3.0655D+00 1.177D-03
3.2380D+00 9.498D-04
3.4203D+00 7.639D-04
3.6128D+00 6.128D-04
3.8162D+00 4.899D-04
4.0310D+00 3.907D-04
4.2579D+00 3.177D-04
4.4089D+00 2.864D-04
4.6339D+00 2.401D-04
4.7037D+00 2.257D-04
4.7271D+00 2.209D-04
4.7983D+00 2.063D-04
4.8222D+00 2.014D-04
5.0937D+00 1.579D-04
5.2482D+00 1.453D-04
5.4073D+00 1.324D-04
5.5713D+00 1.191D-04
5.5990D+00 1.169D-04
5.9143D+00 9.687D-05
6.0936D+00 9.052D-05
6.2471D+00 8.509D-05
6.3096D+00 8.288D-05
6.3412D+00 8.177D-05
6.6981D+00 7.094D-05
6.9012D+00 6.713D-05
7.0051D+00 6.519D-05
7.0752D+00 6.388D-05
7.1460D+00 6.257D-05
7.5482D+00 5.585D-05
7.7000D+00 5.377D-05
7.7771D+00 5.271D-05
7.8942D+00 5.111D-05
8.1741D+00 4.720D-05

5s2Se                                   !Configuration name
20                                      !Type of cross-section
67                                      !Number of cross-section points
1.0000D+00 4.195D-01
1.0050D+00 4.192D-01
1.0406D+00 4.108D-01
1.0458D+00 4.094D-01
1.0992D+00 3.951D-01
1.1047D+00 3.937D-01
1.1213D+00 3.892D-01
1.1326D+00 3.862D-01
1.1904D+00 3.711D-01
1.2143D+00 3.650D-01
1.2204D+00 3.634D-01
1.2265D+00 3.619D-01
1.2699D+00 3.508D-01
1.2827D+00 3.476D-01
1.2891D+00 3.459D-01
1.3549D+00 3.297D-01
1.4029D+00 3.189D-01
1.4311D+00 3.126D-01
1.4454D+00 3.094D-01
1.4527D+00 3.077D-01
1.5268D+00 2.917D-01
1.5810D+00 2.812D-01
1.5968D+00 2.781D-01
1.6048D+00 2.766D-01
1.6208D+00 2.735D-01
1.7036D+00 2.583D-01
1.7378D+00 2.526D-01
1.7465D+00 2.512D-01
1.7552D+00 2.497D-01
1.7816D+00 2.453D-01
1.8726D+00 2.310D-01
1.9102D+00 2.257D-01
1.9198D+00 2.243D-01
1.9293D+00 2.229D-01
1.9486D+00 2.202D-01
2.0481D+00 2.069D-01
2.0893D+00 2.019D-01
2.0998D+00 2.006D-01
2.2069D+00 1.881D-01
2.2625D+00 1.823D-01
2.2739D+00 1.811D-01
2.3899D+00 1.696D-01
2.5119D+00 1.586D-01
2.6402D+00 1.483D-01
2.7749D+00 1.386D-01
2.9166D+00 1.293D-01
3.0655D+00 1.205D-01
3.2219D+00 1.124D-01
3.3864D+00 1.046D-01
3.5593D+00 9.732D-02
3.7409D+00 9.052D-02
3.9319D+00 8.415D-02
4.1326D+00 7.821D-02
4.3436D+00 7.269D-02
4.5426D+00 6.861D-02
4.5653D+00 6.817D-02
4.5880D+00 6.773D-02
4.7744D+00 6.410D-02
4.7983D+00 6.364D-02
4.8948D+00 6.176D-02
4.9933D+00 5.985D-02
5.0433D+00 5.888D-02
5.3007D+00 5.447D-02
5.4614D+00 5.243D-02
5.6834D+00 4.963D-02
5.7977D+00 4.818D-02
6.0633D+00 4.458D-02

5p2Po                                   !Configuration name
20                                      !Type of cross-section
79                                      !Number of cross-section points
1.0000D+00 8.229D-01
1.0050D+00 8.216D-01
1.0406D+00 7.795D-01
1.0458D+00 7.725D-01
1.0938D+00 7.088D-01
1.0992D+00 7.016D-01
1.1326D+00 6.572D-01
1.1439D+00 6.422D-01
1.1553D+00 6.270D-01
1.2143D+00 5.616D-01
1.2511D+00 5.365D-01
1.2955D+00 5.065D-01
1.3020D+00 5.022D-01
1.3150D+00 4.933D-01
1.3348D+00 4.800D-01
1.3481D+00 4.709D-01
1.4169D+00 4.323D-01
1.4599D+00 4.153D-01
1.4893D+00 4.037D-01
1.4967D+00 4.007D-01
1.5042D+00 3.978D-01
1.5192D+00 3.918D-01
1.5268D+00 3.888D-01
1.6048D+00 3.611D-01
1.6617D+00 3.464D-01
1.6867D+00 3.399D-01
1.7036D+00 3.356D-01
1.7206D+00 3.312D-01
1.8084D+00 3.109D-01
1.8448D+00 3.043D-01
1.8540D+00 3.026D-01
1.8633D+00 3.009D-01
1.8819D+00 2.975D-01
1.8913D+00 2.958D-01
1.9008D+00 2.940D-01
1.9978D+00 2.775D-01
2.0380D+00 2.719D-01
2.0584D+00 2.690D-01
2.0790D+00 2.662D-01
2.0893D+00 2.647D-01
2.0998D+00 2.633D-01
2.1102D+00 2.618D-01
2.2179D+00 2.483D-01
2.2739D+00 2.420D-01
2.2852D+00 2.408D-01
2.4018D+00 2.285D-01
2.4501D+00 2.240D-01
2.4624D+00 2.229D-01
2.4747D+00 2.218D-01
2.4870D+00 2.206D-01
2.6140D+00 2.096D-01
2.6533D+00 2.065D-01
2.6666D+00 2.054D-01
2.8027D+00 1.951D-01
2.9458D+00 1.852D-01
3.0961D+00 1.758D-01
3.2542D+00 1.667D-01
3.4203D+00 1.578D-01
3.5949D+00 1.493D-01
3.7784D+00 1.410D-01
3.9713D+00 1.329D-01
4.1740D+00 1.251D-01
4.3870D+00 1.175D-01
4.6110D+00 1.102D-01
4.8464D+00 1.031D-01
5.0937D+00 9.700D-02
5.1447D+00 9.579D-02
5.3804D+00 9.021D-02
5.4073D+00 8.957D-02
5.4614D+00 8.829D-02
5.6270D+00 8.437D-02
5.6551D+00 8.370D-02
5.9437D+00 7.744D-02
6.1546D+00 7.393D-02
6.4047D+00 6.978D-02
6.4688D+00 6.871D-02
6.5010D+00 6.818D-02
6.5660D+00 6.710D-02
6.8328D+00 6.241D-02

5d2De                                   !Configuration name
20                                      !Type of cross-section
104                                     !Number of cross-section points
1.0000D+00 6.696D+00
1.0510D+00 6.114D+00
1.0938D+00 5.645D+00
1.1047D+00 5.525D+00
1.1102D+00 5.464D+00
1.1158D+00 5.403D+00
1.1213D+00 5.342D+00
1.1269D+00 5.281D+00
1.1326D+00 5.219D+00
1.1382D+00 5.157D+00
1.1669D+00 4.842D+00
1.1904D+00 4.584D+00
1.2023D+00 4.453D+00
1.2449D+00 4.015D+00
1.3020D+00 3.662D+00
1.3684D+00 3.277D+00
1.3752D+00 3.237D+00
1.3821D+00 3.197D+00
1.3960D+00 3.117D+00
1.4099D+00 3.036D+00
1.4240D+00 2.954D+00
1.4383D+00 2.871D+00
1.5344D+00 2.430D+00
1.5575D+00 2.352D+00
1.6128D+00 2.165D+00
1.6208D+00 2.138D+00
1.6370D+00 2.083D+00
1.6617D+00 2.000D+00
1.6700D+00 1.972D+00
1.7816D+00 1.662D+00
1.8174D+00 1.586D+00
1.8540D+00 1.510D+00
1.8633D+00 1.490D+00
1.8726D+00 1.471D+00
