
******************************************************************************

       Photoionization cross-sections for S VI

>> Verner high energy tail included for gnd level
>> Opacity project data smoothed by phot_smooth.f
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

08-Jul-99                               !Date
31                                      !Number of energy levels
1                                       !Number of photoionization routes
6.0                                     !Screened nuclear charge
1Se                                     !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
4806                                    !Total number of data pairs

3s2Se                                   !Configuration name
8.6558D+01 7.021D-04
8.6991D+01 6.973D-04
9.3735D+01 6.321D-04
9.4204D+01 6.282D-04
9.4673D+01 6.242D-04
9.6099D+01 6.122D-04
9.7061D+01 6.041D-04
9.8032D+01 5.960D-04
1.0511D+02 5.439D-04
1.0563D+02 5.405D-04
1.0616D+02 5.371D-04
1.0776D+02 5.268D-04
1.0884D+02 5.199D-04
1.0938D+02 5.164D-04
1.1786D+02 4.680D-04
1.1845D+02 4.651D-04
1.1904D+02 4.622D-04
1.2083D+02 4.533D-04
1.2204D+02 4.474D-04
1.2326D+02 4.413D-04
1.3216D+02 4.027D-04
1.3282D+02 4.002D-04
1.3348D+02 3.977D-04
1.3549D+02 3.901D-04
1.3753D+02 3.824D-04
1.3821D+02 3.798D-04
1.5042D+02 3.401D-04
1.5269D+02 3.335D-04
1.5421D+02 3.290D-04
1.5498D+02 3.268D-04
1.6700D+02 2.963D-04
1.6784D+02 2.945D-04
1.6867D+02 2.926D-04
1.7121D+02 2.869D-04
1.7292D+02 2.831D-04
1.7379D+02 2.812D-04
1.8914D+02 2.518D-04
1.9103D+02 2.486D-04
1.9390D+02 2.436D-04
2.0178D+02 2.289D-04
3p2Po                                !Configuration name
20                                      !Type of cross-section
201                                     !Number of cross-section points
1.0000D+00 4.474D-01
1.0303D+00 4.327D-01
1.1553D+00 3.747D-01
1.2955D+00 3.192D-01
1.4527D+00 2.669D-01
1.6048D+00 2.278D-01
1.6208D+00 2.242D-01
1.7465D+00 1.992D-01
1.7552D+00 1.977D-01
1.7640D+00 1.962D-01
1.7905D+00 1.916D-01
1.9293D+00 1.702D-01
1.9390D+00 1.689D-01
1.9486D+00 1.676D-01
1.9584D+00 1.663D-01
1.9681D+00 1.650D-01
1.9780D+00 1.637D-01
2.1313D+00 1.454D-01
2.1420D+00 1.443D-01
2.1527D+00 1.432D-01
2.1634D+00 1.421D-01
2.1742D+00 1.410D-01
2.1851D+00 1.398D-01
2.3545D+00 1.243D-01
2.3663D+00 1.233D-01
2.3780D+00 1.224D-01
2.3899D+00 1.214D-01
2.4018D+00 1.204D-01
2.4139D+00 1.195D-01
2.6010D+00 1.062D-01
2.6140D+00 1.054D-01
2.6270D+00 1.045D-01
2.6402D+00 1.037D-01
2.6533D+00 1.029D-01
2.6666D+00 1.021D-01
2.8733D+00 9.071D-02
2.8877D+00 9.001D-02
2.9021D+00 8.932D-02
2.9166D+00 8.862D-02
2.9311D+00 8.792D-02
2.9458D+00 8.721D-02
3.2059D+00 7.631D-02
3.2219D+00 7.571D-02
3.2380D+00 7.511D-02
3.2542D+00 7.451D-02
3.5415D+00 6.520D-02
3.5593D+00 6.469D-02
3.5770D+00 6.417D-02
3.5949D+00 6.365D-02
3.8736D+00 5.658D-02
3.8930D+00 5.614D-02
3.9515D+00 5.483D-02
3.9910D+00 5.394D-02
4.2791D+00 4.834D-02
4.3005D+00 4.796D-02
4.3219D+00 4.759D-02
4.3870D+00 4.646D-02
4.7037D+00 4.161D-02
4.7271D+00 4.130D-02
4.7508D+00 4.098D-02
4.7744D+00 4.066D-02
4.7983D+00 4.034D-02
4.8464D+00 3.969D-02
5.1962D+00 3.555D-02
5.2221D+00 3.528D-02
5.2482D+00 3.501D-02
5.2743D+00 3.474D-02
5.3007D+00 3.446D-02
5.3538D+00 3.391D-02
5.7402D+00 3.038D-02
5.7688D+00 3.015D-02
5.7977D+00 2.991D-02
5.8265D+00 2.968D-02
5.8557D+00 2.945D-02
5.8848D+00 2.921D-02
6.3412D+00 2.596D-02
6.3728D+00 2.576D-02
6.4047D+00 2.556D-02
6.4366D+00 2.536D-02
6.4688D+00 2.516D-02
6.5010D+00 2.496D-02
7.0051D+00 2.218D-02
7.0400D+00 2.201D-02
