************************************************************************************************************************
 
 [Reference] C\,{\sc ii} oscillator strengths from \cite{DSK00_CII_recom} 
 [Reference]             (\& Peter Storey, private communication] 
 [Reference] Hydrogenic values used to expand atom.
 [Reference] NIST \cite[][2012-10-15]{NIST_V5} values used when available.

                 Energy Levels and statistical weights for C2
 
                              g        E(cm^-1)    10^15 Hz     eV       Lam(A)       ID      ARAD         C4          C6
************************************************************************************************************************
 
17-Oct-2000                                      !Format date
16-Oct-2012                                      !Date
338                                              !Number of energy levels
196664.7000                                      !Ionization energy
2.0                                              !Screened nuclear charge
8017                                             !Number of transitions
 
2s2_5f_2Fo[7/2]              8.0     178955.940000     0.53090     2.196    5.647E+03      39   1.351E+08   0.000E+00   0.000E+00
2s2_5g_2Ge[9/2]             10.0     179073.050000     0.52738     2.181    5.685E+03      40   6.993E+07   0.000E+00   0.000E+00
2s2_5g_2Ge[7/2]              8.0     179073.050000     0.52738     2.181    5.685E+03      41   6.994E+07   0.000E+00   0.000E+00
2s2_6s_2Se[1/2]              2.0     181264.240000     0.46169     1.909    6.493E+03      42   1.575E+08   0.000E+00   0.000E+00
2s_2p(3Po)3p_4De[1/2]        2.0     181696.660000     0.44873     1.856    6.681E+03      43   3.642E+07   0.000E+00   0.000E+00
2s_2p(3Po)3p_4De[3/2]        4.0     181711.030000     0.44830     1.854    6.687E+03      44   3.639E+07   0.000E+00   0.000E+00
2s_2p(3Po)3p_4De[5/2]        6.0     181736.050000     0.44755     1.851    6.699E+03      45   3.652E+07   0.000E+00   0.000E+00
2s_2p(3Po)3p_4De[7/2]        8.0     181772.410000     0.44646     1.846    6.715E+03      46   3.650E+07   0.000E+00   0.000E+00
2s_2p(3Po)3p_2Pe[1/2]        2.0     182023.860000     0.43892     1.815    6.830E+03      47   4.588E+08   0.000E+00   0.000E+00
2s_2p(3Po)3p_2Pe[3/2]        4.0     182043.410000     0.43834     1.813    6.839E+03      48   4.605E+08   0.000E+00   0.000E+00
2s2_6p_2Po[1/2]              2.0     182993.230000     0.40986     1.695    7.315E+03      49   3.374E+07   0.000E+00   0.000E+00
2s2_6p_2Po[3/2]              4.0     182993.660000     0.40985     1.695    7.315E+03      50   3.372E+07   0.000E+00   0.000E+00
2s2_6d_2De[3/2]              4.0     184074.590000     0.37744     1.561    7.943E+03      51   5.204E+08   0.000E+00   0.000E+00
2s2_6d_2De[5/2]              6.0     184075.280000     0.37742     1.561    7.943E+03      52   5.201E+08   0.000E+00   0.000E+00
