
******************************************************************************

       Photoionization cross-sections for Ne VIII

>> Data is from the Opacity project
>>   Smoothed with a gausian of width 2999 km/sec

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

19-Jun-2001                             !Date
53                                      !Number of energy levels
1                                       !Number of photoionization routes
8.0                                     !Screened nuclear charge
1s2_1Se                                 !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
918                                     !Total number of data pairs

2s_2Se                                  !Configuration name
 2.174D+00 1.050D-01
 2.426D+00 8.407D-02
 2.680D+00 6.848D-02
 2.990D+00 5.452D-02
 3.336D+00 4.336D-02
 3.667D+00 3.550D-02
 4.031D+00 2.908D-02
 4.365D+00 2.448D-02
 4.727D+00 2.065D-02
 5.145D+00 1.718D-02
 5.914D+00 1.268D-02
 6.373D+00 1.076D-02
 6.867D+00 9.117D-03
 7.816D+00 6.834D-03
 8.808D+00 5.222D-03
 9.876D+00 4.027D-03
 1.086D+01 3.250D-03
 1.193D+01 2.614D-03
 1.305D+01 2.126D-03
 1.399D+01 1.807D-03
 1.500D+01 1.537D-03
 1.699D+01 1.146D-03
 1.877D+01 9.052D-04
 2.013D+01 7.669D-04
 2.291D+01 5.620D-04
 2.444D+01 4.807D-04
 2.543D+01 4.434D-04
4p_2Po                                  !Configuration name
20                                      !Type of cross-section
33                                      !Number of cross-section points
 1.000D+00 6.235D-01
 1.133D+00 4.814D-01
 1.257D+00 3.807D-01
 1.396D+00 2.992D-01
 1.550D+00 2.351D-01
 1.687D+00 1.927D-01
 1.817D+00 1.609D-01
 1.988D+00 1.297D-01
 2.153D+00 1.066D-01
 2.331D+00 8.761D-02
 2.524D+00 7.180D-02
 2.720D+00 5.940D-02
 2.917D+00 4.965D-02
 3.112D+00 4.200D-02
 3.320D+00 3.550D-02
 3.524D+00 3.027D-02
 3.778D+00 2.516D-02
 4.258D+00 1.818D-02
 4.727D+00 1.363D-02
 5.274D+00 1.006D-02
 5.798D+00 7.684D-03
 6.341D+00 5.936D-03
 6.867D+00 4.701D-03
 7.363D+00 3.829D-03
 7.855D+00 3.152D-03
 8.380D+00 2.596D-03
 9.258D+00 1.912D-03
 1.008D+01 1.472D-03
 1.075D+01 1.212D-03
 1.135D+01 1.025D-03
 1.236D+01 7.854D-04
 1.299D+01 6.714D-04
 1.331D+01 6.345D-04
4d_2De                                  !Configuration name
20                                      !Type of cross-section
33                                      !Number of cross-section points
 1.000D+00 5.522D-01
 1.110D+00 4.208D-01
 1.202D+00 3.348D-01
 1.295D+00 2.692D-01
 1.389D+00 2.194D-01
 1.482D+00 1.806D-01
 1.581D+00 1.486D-01
 1.670D+00 1.254D-01
 1.791D+00 1.012D-01
 1.901D+00 8.376D-02
 2.018D+00 6.925D-02
 2.131D+00 5.809D-02
 2.251D+00 4.866D-02
 2.378D+00 4.062D-02
 2.499D+00 3.448D-02
 2.627D+00 2.920D-02
 2.888D+00 2.117D-02
 3.174D+00 1.526D-02
 3.455D+00 1.141D-02
 3.741D+00 8.583D-03
 4.031D+00 6.567D-03
 4.301D+00 5.190D-03
 4.565D+00 4.166D-03
 4.846D+00 3.344D-03
 5.094D+00 2.775D-03
 5.327D+00 2.344D-03
 5.571D+00 1.973D-03
 5.973D+00 1.510D-03
 6.405D+00 1.154D-03
 6.698D+00 9.688D-04
 7.253D+00 7.079D-04
 7.624D+00 5.814D-04
 7.855D+00 5.273D-04
5s_2Se                                  !Configuration name
20                                      !Type of cross-section
33                                      !Number of cross-section points
 1.000D+00 6.473D-01
 1.173D+00 4.810D-01
 1.341D+00 3.690D-01
 1.504D+00 2.942D-01
 1.704D+00 2.289D-01
 1.920D+00 1.804D-01
 2.153D+00 1.431D-01
 2.426D+00 1.120D-01
 2.720D+00 8.869D-02
 3.005D+00 7.221D-02
 3.336D+00 5.817D-02
 3.667D+00 4.780D-02
 4.011D+00 3.955D-02
 4.365D+00 3.310D-02
 4.774D+00 2.742D-02
 5.222D+00 2.265D-02
 5.683D+00 1.888D-02
 6.155D+00 1.591D-02
 6.665D+00 1.337D-02
 7.548D+00 1.021D-02
 8.634D+00 7.626D-03
 9.682D+00 5.925D-03
 1.080D+01 4.643D-03
 1.187D+01 3.763D-03
 1.292D+01 3.105D-03
 1.399D+01 2.595D-03
 1.515D+01 2.167D-03
 1.725D+01 1.622D-03
 1.905D+01 1.292D-03
 2.043D+01 1.102D-03
 2.325D+01 8.178D-04
 2.481D+01 7.038D-04
 2.595D+01 6.430D-04
5p_2Po                                  !Configuration name
20                                      !Type of cross-section
33                                      !Number of cross-section points
 1.000D+00 8.490D-01
 1.155D+00 6.327D-01
 1.295D+00 4.930D-01
 1.438D+00 3.912D-01
 1.589D+00 3.129D-01
 1.755D+00 2.502D-01
 1.939D+00 1.996D-01
 2.110D+00 1.640D-01
 2.320D+00 1.310D-01
 2.575D+00 1.027D-01
 2.789D+00 8.470D-02
 3.035D+00 6.906D-02
 3.287D+00 5.681D-02
 3.524D+00 4.784D-02
 3.778D+00 4.020D-02
 4.051D+00 3.374D-02
 4.344D+00 2.823D-02
 4.657D+00 2.364D-02
 5.222D+00 1.754D-02
 5.856D+00 1.292D-02
 6.501D+00 9.783D-03
 7.146D+00 7.558D-03
 7.777D+00 5.981D-03
 8.380D+00 4.855D-03
 8.985D+00 3.985D-03
 9.538D+00 3.359D-03
 1.013D+01 2.825D-03
 1.124D+01 2.083D-03
 1.223D+01 1.622D-03
 1.312D+01 1.315D-03
 1.456D+01 9.570D-04
 1.546D+01 7.966D-04
 1.593D+01 7.507D-04
5d_2De                                  !Configuration name
20                                      !Type of cross-section
34                                      !Number of cross-section points
 1.000D+00 8.283D-01
 1.127D+00 6.255D-01
 1.233D+00 4.960D-01
 1.348D+00 3.921D-01
 1.467D+00 3.127D-01
 1.589D+00 2.517D-01
 1.712D+00 2.053D-01
 1.817D+00 1.737D-01
 1.958D+00 1.405D-01
 2.100D+00 1.150D-01
 2.263D+00 9.279D-02
 2.414D+00 7.664D-02
 2.575D+00 6.319D-02
 2.734D+00 5.281D-02
 2.902D+00 4.398D-02
 3.096D+00 3.601D-02
 3.437D+00 2.599D-02
 3.816D+00 1.855D-02
 4.237D+00 1.322D-02
 4.611D+00 9.980D-03
 5.018D+00 7.506D-03
 5.407D+00 5.816D-03
 5.798D+00 4.568D-03
 6.185D+00 3.642D-03
 6.533D+00 3.002D-03
 6.901D+00 2.463D-03
 7.218D+00 2.098D-03
 7.586D+00 1.751D-03
 8.297D+00 1.254D-03
 8.940D+00 9.519D-04
 9.397D+00 7.881D-04
 1.023D+01 5.696D-04
 1.075D+01 4.708D-04
 1.102D+01 4.424D-04
6s_2Se                                  !Configuration name
20                                      !Type of cross-section
31                                      !Number of cross-section points
 1.000D+00 8.335D-01
 1.167D+00 6.229D-01
 1.335D+00 4.756D-01
 1.534D+00 3.594D-01
 1.738D+00 2.793D-01
 1.958D+00 2.191D-01
 2.207D+00 1.720D-01
 2.499D+00 1.338D-01
 2.803D+00 1.055D-01
 3.096D+00 8.598D-02
 3.420D+00 6.996D-02
 3.741D+00 5.809D-02
 4.112D+00 4.766D-02
 4.498D+00 3.953D-02
 4.895D+00 3.310D-02
 5.354D+00 2.739D-02
 5.856D+00 2.265D-02
 6.799D+00 1.647D-02
 7.739D+00 1.246D-02
 8.808D+00 9.446D-03
 9.926D+00 7.286D-03
 1.097D+01 5.864D-03
 1.211D+01 4.711D-03
 1.331D+01 3.822D-03
 1.449D+01 3.171D-03
 1.546D+01 2.744D-03
 1.760D+01 2.055D-03
 1.954D+01 1.625D-03
 2.201D+01 1.237D-03
 2.456D+01 9.749D-04
 2.700D+01 7.964D-04
6p_2Po                                  !Configuration name
20                                      !Type of cross-section
36                                      !Number of cross-section points
 1.000D+00 1.092D+00
 1.161D+00 8.096D-01
 1.308D+00 6.259D-01
 1.460D+00 4.927D-01
 1.637D+00 3.835D-01
 1.827D+00 3.010D-01
 2.038D+00 2.362D-01
 2.274D+00 1.840D-01
 2.537D+00 1.434D-01
 2.761D+00 1.177D-01
 3.035D+00 9.471D-02
 3.303D+00 7.762D-02
 3.613D+00 6.277D-02
 3.912D+00 5.183D-02
 4.237D+00 4.275D-02
 4.588D+00 3.525D-02
 4.919D+00 2.965D-02
 5.327D+00 2.430D-02
 5.712D+00 2.044D-02
 6.094D+00 1.734D-02
 6.501D+00 1.469D-02
 7.290D+00 1.090D-02
 8.134D+00 8.187D-03
 8.985D+00 6.275D-03
 9.876D+00 4.860D-03
 1.070D+01 3.910D-03
 1.152D+01 3.173D-03
 1.236D+01 2.612D-03
 1.318D+01 2.177D-03
 1.399D+01 1.835D-03
 1.561D+01 1.336D-03
 1.691D+01 1.055D-03
 1.813D+01 8.593D-04
 2.013D+01 6.269D-04
 2.147D+01 5.150D-04
 2.235D+01 4.632D-04
6d_2De                                  !Configuration name
20                                      !Type of cross-section
37                                      !Number of cross-section points
 1.000D+00 1.110D+00
 1.144D+00 8.239D-01
 1.276D+00 6.312D-01
 1.410D+00 4.936D-01
 1.550D+00 3.895D-01
 1.695D+00 3.101D-01
 1.854D+00 2.456D-01
 2.028D+00 1.935D-01
 2.240D+00 1.483D-01
 2.414D+00 1.208D-01
 2.627D+00 9.590D-02
 2.831D+00 7.779D-02
 3.035D+00 6.382D-02
 3.254D+00 5.222D-02
 3.472D+00 4.326D-02
 3.741D+00 3.469D-02
 3.991D+00 2.860D-02
 4.258D+00 2.349D-02
 4.543D+00 1.930D-02
 4.774D+00 1.651D-02
 5.274D+00 1.212D-02
 5.827D+00 8.805D-03
 6.405D+00 6.475D-03
 6.970D+00 4.894D-03
 7.548D+00 3.741D-03
 8.093D+00 2.955D-03
 8.677D+00 2.321D-03
 9.258D+00 1.851D-03
 9.779D+00 1.527D-03
 1.018D+01 1.326D-03
 1.119D+01 9.416D-04
 1.205D+01 7.169D-04
 1.279D+01 5.736D-04
 1.345D+01 4.759D-04
 1.456D+01 3.522D-04
 1.508D+01 3.086D-04
