  Transition                  f           A          Lam(A)      i-j    Trans. #

2s2p2p2Se -2s2p3s2Po      1.224E-01   1.799E+08     1230.11      4- 19     47
2s2p2p2Se -2s2s6p2Po      4.546E-03   7.563E+06     1156.08      4- 26     48
2s2p2p2Se -2s2s7p2Po      5.664E-04   1.026E+06     1108.01      4- 33     49
2s2p2p2Se -2s2s8p2Po      1.290E-04   2.466E+05     1078.51      4- 39     50
2s2p2p2Se -2s2s9p2Po      3.619E-05   7.163E+04     1059.90      4- 44     51
2s2p2p2Se -2s2s10p2Po     1.093E-05   2.216E+04     1047.13      4- 49     52
2s2p2p2Pe -2s2s3p2Po      2.323E-04   6.885E+04     4742.51      5-  7     53
2s2p2p2Pe -2p2p2p2Do      8.547E-02   5.422E+07     2511.06      5- 10     54
2s2p2p2Pe -2s2s4p2Po      6.458E-03   1.159E+07     1927.88      5- 12     55
2s2p2p2Pe -2p2p2p2Po      1.468E-01   3.304E+08     1721.46      5- 15     56
2s2p2p2Pe -2s2s5p2Po      1.919E-02   5.348E+07     1547.02      5- 18     57
2s2p2p2Pe -2s2p3s2Po      1.242E-02   3.734E+07     1489.53      5- 19     58
2s2p2p2Pe -2s2s6p2Po      3.033E-06   1.059E+04     1382.33      5- 26     59
2s2p2p2Pe -2s2s7p2Po      3.737E-05   1.443E+05     1314.16      5- 33     60
2s2p2p2Pe -2s2s8p2Po      2.962E-05   1.219E+05     1272.87      5- 39     61
2s2p2p2Pe -2s2s9p2Po      2.111E-05   9.055E+04     1247.03      5- 44     62
2s2p2p2Pe -2s2s10p2Po     1.523E-05   6.721E+04     1229.39      5- 49     63
2s2s3s2Se -2s2s3p2Po      7.053E-01   3.620E+07     6579.64      6-  7     64
2s2s3s2Se -2s2s4p2Po      4.900E-02   2.304E+07     2173.95      6- 12     65
2s2s3s2Se -2p2p2p2Po      6.411E-03   3.885E+06     1915.55      6- 15     66
2s2s3s2Se -2s2s5p2Po      1.277E-02   9.802E+06     1701.99      6- 18     67
2s2s3s2Se -2s2p3s2Po      5.057E-04   4.218E+05     1632.66      6- 19     68
2s2s3s2Se -2s2s6p2Po      8.664E-03   8.507E+06     1504.76      6- 26     69
2s2s3s2Se -2s2s7p2Po      5.874E-03   6.438E+06     1424.33      6- 33     70
2s2s3s2Se -2s2s8p2Po      3.977E-03   4.671E+06     1375.95      6- 39     71
2s2s3s2Se -2s2s9p2Po      2.795E-03   3.431E+06     1345.81      6- 44     72
2s2s3s2Se -2s2s10p2Po     2.035E-03   2.576E+06     1325.29      6- 49     73
2s2s3p2Po -2s2s3d2De      5.521E-01   4.219E+07     7234.77      7-  9     74
2s2s3p2Po -2s2s4s2Se      1.464E-01   1.905E+08     3920.10      7- 11     75
2s2s3p2Po -2s2s4d2De      9.858E-02   5.225E+07     2747.02      7- 14     76
2s2s3p2Po -2s2s5s2Se      2.218E-02   7.687E+07     2402.19      7- 17     77
2s2s3p2Po -2s2s5d2De      5.107E-02   4.470E+07     2137.74      7- 20     78
2s2s3p2Po -2s2s6s2Se      8.054E-03   3.954E+07     2018.23      7- 23     79
2s2s3p2Po -2s2p3p2Pe      1.131E-02   1.909E+07     1987.87      7- 25     80
2s2s3p2Po -2s2s6d2De      3.067E-02   3.363E+07     1910.47      7- 27     81
2s2s3p2Po -2s2s7s2Se      3.882E-03   2.265E+07     1851.81      7- 31     82
2s2s3p2Po -2s2s7d2De      2.572E-02   3.195E+07     1794.91      7- 34     83
2s2s3p2Po -2s2s8s2Se      2.140E-03   1.383E+07     1759.79      7- 37     84
2s2s3p2Po -2s2p3p2De      3.041E-02   3.936E+07     1758.40      7- 38     85
2s2s3p2Po -2s2s8d2De      5.228E-05   7.075E+04     1719.71      7- 42     86
2s2s3p2Po -2s2s9s2Se      1.252E-03   8.620E+06     1704.84      7- 43     87
2s2s3p2Po -2s2s9d2De      2.862E-03   4.056E+06     1680.56      7- 45     88
2s2s3p2Po -2s2s10s2Se     7.311E-04   5.255E+06     1668.60      7- 48     89
2s2s3p2Po -2s2s10d2De     2.782E-03   4.080E+06     1651.87      7- 50     90
2p2p2p4So -2s2p3p4Pe      2.188E-06   9.601E+02     2250.29      8- 32     91
2s2s3d2De -2p2p2p2Do      4.576E-06   7.369E+01    20346.54      9- 10     92
2s2s3d2De -2s2s4p2Po      1.092E-01   3.497E+07     5890.35      9- 12     93
2s2s3d2De -2p2p2p2Po      2.113E-04   1.263E+05     4310.64      9- 15     94
2s2s3d2De -2s2s4f2Fo      9.113E-01   2.383E+08     4267.17      9- 16     95
2s2s3d2De -2s2s5p2Po      1.152E-02   1.133E+07     3361.27      9- 18     96
2s2s3d2De -2s2p3s2Po      6.451E-07   7.453E+02     3101.12      9- 19     97
2s2s3d2De -2s2s5f2Fo      1.516E-01   8.060E+07     2992.62      9- 21     98
2s2s3d2De -2s2s6p2Po      3.259E-03   5.079E+06     2669.93      9- 26     99
2s2s3d2De -2s2s6f2Fo      5.261E-02   3.779E+07     2574.83      9- 28    100
2s2s3d2De -2s2s7p2Po      1.832E-03   3.456E+06     2426.70      9- 33    101
2s2s3d2De -2s2s7f2Fo      2.479E-02   2.093E+07     2375.05      9- 35    102
2s2s3d2De -2s2s8p2Po      1.086E-03   2.302E+06     2289.49      9- 39    103
2s2s3d2De -2s2s8f2Fo      1.388E-02   1.295E+07     2258.69      9- 41    104
2s2s3d2De -2s2s9p2Po      7.076E-04   1.614E+06     2207.20      9- 44    105
2s2s3d2De -2s2s9f2Fo      8.648E-03   8.609E+06     2187.02      9- 46    106
2s2s3d2De -2s2s10p2Po     4.858E-04   1.165E+06     2152.51      9- 49    107
2s2s3d2De -2s2s10f2Fo     5.781E-03   6.019E+06     2138.51      9- 51    108
2p2p2p2Do -2s2s4d2De      2.874E-09   5.979E-01     5660.79     10- 14    109
2p2p2p2Do -2s2s5d2De      8.962E-06   4.697E+03     3566.36     10- 20    110
2p2p2p2Do -2s2p3p2Pe      2.152E-02   2.385E+07     3166.32     10- 25    111
2p2p2p2Do -2s2s6d2De      5.495E-05   4.141E+04     2974.31     10- 27    112
2p2p2p2Do -2s2s7d2De      4.032E-04   3.678E+05     2703.28     10- 34    113
2p2p2p2Do -2s2p3p2De      5.555E-03   5.389E+06     2621.28     10- 38    114
2p2p2p2Do -2s2s8d2De      1.539E-03   1.595E+06     2536.18     10- 42    115
2p2p2p2Do -2s2s9d2De      1.887E-04   2.092E+05     2451.92     10- 45    116
2p2p2p2Do -2s2s10d2De     6.751E-05   7.870E+04     2391.30     10- 50    117
2s2s4s2Se -2s2s4p2Po      1.115E+00   6.933E+06    18904.63     11- 12    118
2s2s4s2Se -2p2p2p2Po      1.406E-01   4.140E+06     8687.27     11- 15    119
2s2s4s2Se -2s2s5p2Po      2.411E-02   1.748E+06     5536.12     11- 18    120
2s2s4s2Se -2s2p3s2Po      2.487E-02   2.336E+06     4864.09     11- 19    121
2s2s4s2Se -2s2s6p2Po      2.705E-03   3.991E+05     3881.02     11- 26    122
2s2s4s2Se -2s2s7p2Po      3.464E-03   6.708E+05     3387.50     11- 33    123
2s2s4s2Se -2s2s8p2Po      2.655E-03   6.037E+05     3126.01     11- 39    124
2s2s4s2Se -2s2s9p2Po      1.945E-03   4.885E+05     2974.60     11- 44    125
2s2s4s2Se -2s2s10p2Po     1.440E-03   3.868E+05     2876.11     11- 49    126
2s2s4p2Po -2s2s4d2De      9.184E-01   1.153E+07    17846.68     12- 14    127
2s2s4p2Po -2s2s5s2Se      1.982E-01   4.648E+07     9234.97     12- 17    128
2s2s4p2Po -2s2s5d2De      3.438E-02   3.511E+06     6258.80     12- 20    129
2s2s4p2Po -2s2s6s2Se      2.941E-02   2.067E+07     5334.17     12- 23    130
2s2s4p2Po -2s2p3p2Pe      1.895E-02   4.814E+06     5122.96     12- 25    131
2s2s4p2Po -2s2s6d2De      2.952E-02   5.488E+06     4638.50     12- 27    132
2s2s4p2Po -2s2s7s2Se      1.034E-02   1.115E+07     4307.18     12- 31    133
2s2s4p2Po -2s2s7d2De      3.230E-02   8.029E+06     4011.32     12- 34    134
2s2s4p2Po -2s2s8s2Se      4.822E-03   6.540E+06     3839.96     12- 37    135
2s2s4p2Po -2s2p3p2De      7.487E-02   2.038E+07     3833.39     12- 38    136
2s2s4p2Po -2s2s8d2De      2.714E-03   8.130E+05     3654.08     12- 42    137
2s2s4p2Po -2s2s9s2Se      2.514E-03   3.906E+06     3587.60     12- 43    138
2s2s4p2Po -2s2s9d2De      8.559E-04   2.824E+05     3481.71     12- 45    139
2s2s4p2Po -2s2s10s2Se     1.324E-03   2.250E+06     3430.75     12- 48    140
2s2s4p2Po -2s2s10d2De     1.348E-03   4.774E+05     3360.74     12- 50    141
2s2p3s4Po -2s2p3p4De      4.192E-01   3.641E+07     6785.90     13- 24    142
2s2p3s4Po -2s2p3p4Se      9.411E-02   5.888E+07     5653.98     13- 30    143
2s2p3s4Po -2s2p3p4Pe      3.682E-01   9.284E+07     5141.85     13- 32    144
2s2s4d2De -2p2p2p2Po      8.671E-03   3.681E+03   1.618E+05     14- 15    145
2s2s4d2De -2s2s4f2Fo      9.909E-02   3.445E+04   1.170E+05     14- 16    146
2s2s4d2De -2s2s5p2Po      1.644E-01   9.391E+06    13946.79     14- 18    147
2s2s4d2De -2s2p3s2Po      2.946E-03   3.058E+05    10345.83     14- 19    148
2s2s4d2De -2s2s5f2Fo      7.433E-01   4.155E+07     9229.56     14- 21    149
2s2s4d2De -2s2s6p2Po      2.097E-02   5.154E+06     6723.51     14- 26    150
2s2s4d2De -2s2s6f2Fo      1.772E-01   2.230E+07     6151.39     14- 28    151
2s2s4d2De -2s2s7p2Po      8.068E-03   3.110E+06     5368.56     14- 33    152
2s2s4d2De -2s2s7f2Fo      7.202E-02   1.307E+07     5122.18     14- 35    153
2s2s4d2De -2s2s8p2Po      4.020E-03   1.988E+06     4740.17     14- 39    154
2s2s4d2De -2s2s8f2Fo      3.739E-02   8.378E+06     4610.03     14- 41    155
2s2s4d2De -2s2s9p2Po      2.334E-03   1.339E+06     4400.53     14- 44    156
2s2s4d2De -2s2s9f2Fo      2.222E-02   5.667E+06     4321.04     14- 46    157
2s2s4d2De -2s2s10p2Po     1.494E-03   9.462E+05     4188.37     14- 49    158
2s2s4d2De -2s2s10f2Fo     1.444E-02   4.020E+06     4135.71     14- 51    159
2p2p2p2Po -2s2s5s2Se      6.868E-02   2.915E+06    21705.99     15- 17    160
2p2p2p2Po -2s2s5d2De      1.156E-01   4.401E+06    10250.00     15- 20    161
2p2p2p2Po -2s2s6s2Se      6.882E-04   2.159E+05     7983.64     15- 23    162
2p2p2p2Po -2s2p3p2Pe      7.736E-02   9.121E+06     7519.63     15- 25    163
2p2p2p2Po -2s2s6d2De      8.661E-03   8.149E+05     6520.09     15- 27    164
2p2p2p2Po -2s2s7s2Se      4.058E-04   2.344E+05     5883.88     15- 31    165
2p2p2p2Po -2s2s7d2De      2.035E-03   2.849E+05     5345.32     15- 34    166
2p2p2p2Po -2s2s8s2Se      4.424E-04   3.476E+05     5045.31     15- 37    167
2p2p2p2Po -2s2p3p2De      1.996E-01   3.151E+07     5033.97     15- 38    168
2p2p2p2Po -2s2s8d2De      8.549E-02   1.529E+07     4729.23     15- 42    169
2p2p2p2Po -2s2s9s2Se      5.922E-04   5.553E+05     4618.46     15- 43    170
2p2p2p2Po -2s2s9d2De      1.619E-02   3.278E+06     4444.46     15- 45    171
2p2p2p2Po -2s2s10s2Se     9.157E-04   9.626E+05     4361.76     15- 48    172
2p2p2p2Po -2s2s10d2De     7.169E-03   1.588E+06     4249.21     15- 50    173
2s2s4f2Fo -2s2s5d2De      1.718E-02   1.453E+06    10504.46     16- 20    174
2s2s4f2Fo -2s2s5g2Ge      1.322E+00   6.989E+07     9903.47     16- 22    175
2s2s4f2Fo -2s2s6d2De      3.098E-03   6.594E+05     6622.13     16- 27    176
2s2s4f2Fo -2s2s6g2Ge      1.864E-01   2.315E+07     6461.92     16- 29    177
2s2s4f2Fo -2s2s7d2De      1.289E-03   4.105E+05     5413.71     16- 34    178
2s2s4f2Fo -2s2s7g2Ge      6.041E-02   1.097E+07     5342.36     16- 36    179
2s2s4f2Fo -2s2p3p2De      4.705E-04   1.692E+05     5094.58     16- 38    180
2s2s4f2Fo -2s2s8g2Ge      2.760E-02   6.204E+06     4802.68     16- 40    181
2s2s4f2Fo -2s2s8d2De      1.175E-04   4.794E+04     4782.68     16- 42    182
2s2s4f2Fo -2s2s9d2De      1.907E-04   8.822E+04     4491.64     16- 45    183
2s2s4f2Fo -2s2s9g2Ge      1.522E-02   3.928E+06     4482.30     16- 47    184
2s2s4f2Fo -2s2s10d2De     1.376E-04   6.970E+04     4292.32     16- 50    185
2s2s4f2Fo -2s2s10g2Ge     9.385E-03   2.651E+06     4284.24     16- 52    186
2s2s5s2Se -2s2s5p2Po      9.392E-01   7.895E+05    51413.97     17- 18    187
2s2s5s2Se -2s2p3s2Po      4.196E-01   1.839E+06    22519.42     17- 19    188
2s2s5s2Se -2s2s6p2Po      6.701E-05   1.386E+03    10364.80     17- 26    189
2s2s5s2Se -2s2s7p2Po      2.729E-03   1.089E+05     7461.69     17- 33    190
2s2s5s2Se -2s2s8p2Po      2.664E-03   1.491E+05     6300.77     17- 39    191
2s2s5s2Se -2s2s9p2Po      2.051E-03   1.396E+05     5714.50     17- 44    192
2s2s5s2Se -2s2s10p2Po     1.537E-03   1.188E+05     5361.81     17- 49    193
2s2s5p2Po -2s2s5d2De      1.200E+00   4.928E+06    31210.33     18- 20    194
2s2s5p2Po -2s2s6s2Se      2.598E-01   1.854E+07    16740.42     18- 23    195
2s2s5p2Po -2s2p3p2Pe      7.025E-03   2.132E+05    14822.55     18- 25    196
2s2s5p2Po -2s2s6d2De      1.866E-02   5.761E+05    11382.83     18- 27    197
2s2s5p2Po -2s2s7s2Se      3.716E-02   8.106E+06     9575.34     18- 31    198
2s2s5p2Po -2s2s7d2De      2.507E-02   1.482E+06     8226.50     18- 34    199
2s2s5p2Po -2s2s8s2Se      1.345E-02   4.736E+06     7536.77     18- 37    200
2s2s5p2Po -2s2p3p2De      4.344E-02   3.080E+06     7511.49     18- 38    201
2s2s5p2Po -2s2s8d2De      4.501E-04   3.834E+04     6852.61     18- 42    202
2s2s5p2Po -2s2s9s2Se      6.636E-03   3.026E+06     6622.47     18- 43    203
2s2s5p2Po -2s2s9d2De      1.470E-03   1.495E+05     6270.46     18- 45    204
2s2s5p2Po -2s2s10s2Se     3.826E-03   2.052E+06     6107.09     18- 48    205
2s2s5p2Po -2s2s10d2De     1.689E-03   1.948E+05     5888.72     18- 50    206
2s2p3s2Po -2s2s5d2De      6.068E-02   1.218E+04   1.412E+05     19- 20    207
2s2p3s2Po -2s2s6s2Se      2.025E-01   4.899E+06    28752.58     19- 23    208
2s2p3s2Po -2s2p3p2Pe      4.838E-02   5.828E+05    23524.65     19- 25    209
2s2p3s2Po -2s2s6d2De      1.857E-01   2.938E+06    15899.42     19- 27    210
2s2p3s2Po -2s2s7s2Se      5.854E-03   7.396E+05    12581.98     19- 31    211
