
********************************************************************************

                 Energy Levels and statistical weights for C2        

********************************************************************************

01-Sep-1989                                      !Date
22                                               !Number of energy levels
196622.0000                                      !Ionization energy
2.0                                              !Screened nuclear charge
85                                               !Number of transitions
2s2s3d2De-2s2s5f2Fo     1.572E-01   8.359E+07     2993.40      8- 19     50
2p2p2p2Do-2s2s4d2De     3.079E-06   6.406E+02     5662.05      9- 12     51
2p2p2p2Do-2s2s5d2De     1.999E-05   1.048E+04     3567.26      9- 18     52
2p2p2p2Do-2s2p3p2Pe     5.372E-02   5.954E+07     3167.08      9- 21     53
2p2p2p2Do-2s2p3p2De     1.815E-02   1.761E+07     2621.99      9- 22     54
2s2s4s2Se-2s2s4p2Po     1.152E+00   7.163E+06    18910.27     10- 11     55
2s2s4s2Se-2p2p2p2Po     1.529E-02   4.502E+05     8689.39     10- 13     56
2s2s4s2Se-2s2s5p2Po     9.006E-02   6.530E+06     5537.57     10- 16     57
2s2s4s2Se-2s2p3s2Po     1.947E-02   1.829E+06     4865.35     10- 17     58
2s2s4p2Po-2s2s4d2De     9.299E-01   1.168E+07    17850.32     11- 12     59
2s2s4p2Po-2s2s5s2Se     1.825E-01   4.280E+07     9236.79     11- 15     60
2s2s4p2Po-2s2s5d2De     1.109E-02   1.132E+06     6260.41     11- 18     61
2s2s4p2Po-2s2p3p2Pe     1.373E-02   3.488E+06     5124.13     11- 21     62
2s2s4p2Po-2s2p3p2De     5.793E-02   1.577E+07     3834.41     11- 22     63
2s2s4d2De-2p2p2p2Po     3.914E-05   1.662E+01   1.618E+05     12- 13     64
2s2s4d2De-2s2s4f2Fo     9.940E-02   3.454E+04   1.171E+05     12- 14     65
2s2s4d2De-2s2s5p2Po     2.293E-01   1.310E+07    13950.54     12- 16     66
2s2s4d2De-2s2p3s2Po     4.686E-02   4.865E+06    10348.49     12- 17     67
2s2s4d2De-2s2s5f2Fo     7.942E-01   4.440E+07     9231.67     12- 19     68
