************************************************************************************************
************************************************************************************************

 Photoionization cross-sections for FeV
 Most of the data is from the Opacity project:
       Smoothed with a Gausian of width 3000 km/sec
       Types of cross sections included:
       -----------------------------------
           1 - Seaton formula fit [sigma_o,alpha,beta]
          20 - Opacity Project: smoothed [number of data pai

 [Reference] Fe\,{\sc v`} photoionization cross-sections were computed as part of  
 [Reference] the opacity project \citep{Sea87_OP} and were obtained from TOPbase \citep{Topbase93}.

************************************************************************************************
************************************************************************************************

16-Oct-2000 11:45:16                   !Date
425                                    !Number of energy levels
1                                      !Number of photoionization routes
5.                                     !Screened nuclear charge
3d3_4Fe/3d3(3)4Fe                      !Final state in ion
0.                                     !Excitation energy of final state
28.0                                   !Statistical weight of ion
3000.0                                 !Sigma used for Gaussian smoothing (km/s)
Megabarns                              !Cross-section unit
False                                  !Split J levels
21665                                  !Total number of data pairs

 4.993D+00 1.398D-01
 5.274D+00 1.187D-01
 5.827D+00 8.800D-02
 6.310D+00 6.929D-02
 6.698D+00 5.792D-02
 7.436D+00 4.233D-02
 7.855D+00 3.593D-02
 8.093D+00 3.389D-02

3d4_1G2e                               !Configuration name
20                                     !Type of cross-section
31                                     !Number of cross-section points
 1.000D+00 5.679D+00
 1.025D+00 5.891D+00
 1.030D+00 5.907D+00
 1.041D+00 5.900D+00
 1.062D+00 5.946D+00
 1.184D+00 5.334D+00
 1.196D+00 5.344D+00
 1.348D+00 4.682D+00
 1.729D+00 3.398D+00
 1.863D+00 2.747D+00
 1.978D+00 2.296D+00
 2.100D+00 1.919D+00
 2.229D+00 1.604D+00
 2.354D+00 1.361D+00
 2.487D+00 1.155D+00
 2.627D+00 9.802D-01
 2.917D+00 7.161D-01
 3.206D+00 5.392D-01
 3.506D+00 4.121D-01
 3.797D+00 3.245D-01
 4.112D+00 2.555D-01
 4.409D+00 2.073D-01
 4.704D+00 1.707D-01
 4.993D+00 1.427D-01
 5.274D+00 1.211D-01
 5.798D+00 9.117D-02
 6.278D+00 7.179D-02
 6.665D+00 6.001D-02
 7.363D+00 4.451D-02
 7.816D+00 3.721D-02
 8.093D+00 3.417D-02

3d4_3De                                !Configuration name
20                                     !Type of cross-section
28                                     !Number of cross-section points
 1.000D+00 5.420D+00
 1.025D+00 6.258D+00
 1.072D+00 5.741D+00
 1.094D+00 5.780D+00
 1.445D+00 4.347D+00
 1.729D+00 3.374D+00
 1.863D+00 2.728D+00
 1.978D+00 2.281D+00
 2.100D+00 1.906D+00
 2.229D+00 1.594D+00
 2.366D+00 1.332D+00
 2.499D+00 1.130D+00
 2.640D+00 9.590D-01
 2.931D+00 7.009D-01
 3.222D+00 5.277D-01
 3.524D+00 4.033D-01
 3.816D+00 3.176D-01
 4.112D+00 2.538D-01
 4.409D+00 2.059D-01
 4.704D+00 1.696D-01
 4.993D+00 1.418D-01
 5.274D+00 1.203D-01
 5.798D+00 9.057D-02
 6.278D+00 7.131D-02
 6.665D+00 5.961D-02
 7.363D+00 4.422D-02
 7.816D+00 3.697D-02
 8.093D+00 3.390D-02

3d4_1S2e                               !Configuration name
20                                     !Type of cross-section
40                                     !Number of cross-section points
 1.000D+00 8.365D+00
 1.010D+00 1.261D+01
 1.015D+00 1.410D+01
 1.020D+00 1.398D+01
 1.025D+00 1.191D+01
 1.030D+00 8.737D+00
 1.035D+00 5.903D+00
 1.041D+00 4.381D+00
 1.046D+00 4.143D+00
 1.062D+00 5.628D+00
 1.067D+00 5.834D+00
 1.078D+00 5.899D+00
 1.173D+00 5.454D+00
 1.196D+00 5.520D+00
 1.276D+00 4.981D+00
 1.302D+00 4.993D+00
 1.355D+00 4.675D+00
 1.738D+00 3.341D+00
 1.873D+00 2.699D+00
 1.988D+00 2.257D+00
 2.110D+00 1.886D+00
 2.240D+00 1.577D+00
 2.366D+00 1.338D+00
 2.499D+00 1.135D+00
 2.640D+00 9.632D-01
 2.931D+00 7.039D-01
 3.222D+00 5.300D-01
 3.524D+00 4.051D-01
 3.816D+00 3.189D-01
 4.133D+00 2.512D-01
 4.431D+00 2.037D-01
 4.727D+00 1.678D-01
 5.018D+00 1.402D-01
 5.301D+00 1.190D-01
 5.856D+00 8.828D-02
 6.341D+00 6.952D-02
 6.765D+00 5.725D-02
 7.473D+00 4.246D-02
 7.934D+00 3.550D-02
 8.174D+00 3.337D-02

3d4_1D2e                               !Configuration name
20                                     !Type of cross-section
29                                     !Number of cross-section points
 1.000D+00 5.152D+00
 1.020D+00 6.126D+00
 1.025D+00 6.230D+00
 1.046D+00 5.942D+00
 1.062D+00 6.011D+00
 1.289D+00 4.971D+00
 1.738D+00 3.401D+00
 1.882D+00 2.715D+00
 1.998D+00 2.269D+00
 2.121D+00 1.897D+00
 2.251D+00 1.585D+00
 2.378D+00 1.345D+00
 2.512D+00 1.142D+00
 2.653D+00 9.686D-01
 2.946D+00 7.078D-01
 3.238D+00 5.329D-01
 3.542D+00 4.073D-01
 3.854D+00 3.160D-01
 4.174D+00 2.488D-01
 4.475D+00 2.018D-01
 4.774D+00 1.662D-01
 5.068D+00 1.390D-01
 5.354D+00 1.179D-01
 5.885D+00 8.877D-02
 6.373D+00 6.990D-02
 6.765D+00 5.843D-02
 7.473D+00 4.334D-02
 7.934D+00 3.624D-02
 8.174D+00 3.394D-02

