  Transition                                                  f           A          Lam(A)      i-j    Trans. #

2p5_3p_3Se[1]             -2p5(2P*<3/2>)3d_2{3/2}o[1]    5.6667E-03  5.6098E+06    2594.959       6-  24       46
2p5_3p_3Se[1]             -2p5(2P*<3/2>)4s_2{3/2}o[1]    3.2667E-02  3.2556E+07    2586.307       6-  25       47
2p5_3p_3Se[1]             -2p5(2P*<1/2>)4s_2{1/2}o[0]    1.3333E-02  4.1607E+07    2531.540       6-  26       48
2p5_3p_3Se[1]             -2p5(2P*<1/2>)3d_2{3/2}o[2]    3.2000E-02  2.0228E+07    2515.457       6-  29       49
2p5_3p_3Se[1]             -2p5(2P*<1/2>)3d_2{3/2}o[1]    1.2667E-02  1.3442E+07    2506.302       6-  30       50
2p5_3p_3Se[1]             -2p5(2P*<1/2>)4s_2{1/2}o[1]    6.6667E-03  7.0945E+06    2502.838       6-  31       51
2p5_3p_3Se[1]             -2p5(2P*<3/2>)5s_2{3/2}o[1]    2.3000E-03  5.6152E+06    1652.921       6-  32       52
2p5_3p_3Se[1]             -2p5(2P*<1/2>)5s_2{1/2}o[1]    3.3333E-03  8.4856E+06    1618.713       6-  33       53
2p5_3p_3Se[1]             -2p5(2P*<3/2>)6s_2{3/2}o[1]    8.0000E-04  2.6526E+06    1418.330       6-  34       54
2p5_3p_3Se[1]             -2p5(2P*<1/2>)6s_2{1/2}o[1]    1.1667E-03  4.0144E+06    1392.308       6-  35       55
2p5_3p_3De[3]             -2p5(2P*<3/2>)3d_2{3/2}o[2]    2.7143E-02  2.8514E+07    2980.624       7-  18       56
2p5_3p_3De[3]             -2p5(2P*<3/2>)3d_2{7/2}o[4]    1.4286E+00  8.5043E+08    2951.235       7-  19       57
2p5_3p_3De[3]             -2p5(2P*<3/2>)3d_2{7/2}o[3]    5.4286E-02  4.1706E+07    2945.699       7-  20       58
2p5_3p_3De[3]             -2p5(2P*<3/2>)4s_2{3/2}o[2]    1.3571E-01  1.4865E+08    2919.050       7-  21       59
2p5_3p_3De[3]             -2p5(2P*<3/2>)3d_2{5/2}o[2]    1.0857E-02  1.2010E+07    2904.709       7-  22       60
2p5_3p_3De[3]             -2p5(2P*<3/2>)3d_2{5/2}o[3]    2.1429E-01  1.6972E+08    2901.143       7-  23       61
2p5_3p_3De[3]             -2p5(2P*<1/2>)3d_2{5/2}o[2]    5.7143E-03  6.7452E+06    2811.843       7-  27       62
2p5_3p_3De[3]             -2p5(2P*<1/2>)3d_2{5/2}o[3]    1.1714E-01  9.8990E+07    2808.705       7-  28       63
2p5_3p_3De[3]             -2p5(2P*<1/2>)3d_2{3/2}o[2]    1.0571E-02  1.2591E+07    2799.217       7-  29       64
2p5_3p_3De[2]             -2p5(2P*<3/2>)3d_2{1/2}o[1]    2.8000E-02  3.3901E+07    3029.316       8-  17       65
2p5_3p_3De[2]             -2p5(2P*<3/2>)3d_2{3/2}o[2]    3.8000E-03  2.7860E+06    3015.400       8-  18       66
2p5_3p_3De[2]             -2p5(2P*<3/2>)3d_2{7/2}o[3]    1.0000E+00  5.3632E+08    2979.660       8-  20       67
2p5_3p_3De[2]             -2p5(2P*<3/2>)4s_2{3/2}o[2]    5.2000E-02  3.9769E+07    2952.396       8-  21       68
2p5_3p_3De[2]             -2p5(2P*<3/2>)3d_2{5/2}o[2]    3.2000E-01  2.4718E+08    2937.726       8-  22       69
2p5_3p_3De[2]             -2p5(2P*<3/2>)3d_2{5/2}o[3]    3.4000E-01  1.8806E+08    2934.078       8-  23       70
2p5_3p_3De[2]             -2p5(2P*<3/2>)3d_2{3/2}o[1]    1.5600E-02  2.0177E+07    2930.881       8-  24       71
2p5_3p_3De[2]             -2p5(2P*<3/2>)4s_2{3/2}o[1]    1.0200E-01  1.3293E+08    2919.849       8-  25       72
2p5_3p_3De[2]             -2p5(2P*<1/2>)3d_2{5/2}o[2]    3.4000E-02  2.8047E+07    2842.772       8-  27       73
2p5_3p_3De[2]             -2p5(2P*<1/2>)3d_2{5/2}o[3]    1.6800E-01  9.9212E+07    2839.564       8-  28       74
2p5_3p_3De[2]             -2p5(2P*<1/2>)3d_2{3/2}o[2]    8.8000E-02  7.3255E+07    2829.867       8-  29       75
2p5_3p_3De[2]             -2p5(2P*<1/2>)3d_2{3/2}o[1]    1.6200E-02  2.2661E+07    2818.285       8-  30       76
2p5_3p_3De[2]             -2p5(2P*<1/2>)4s_2{1/2}o[1]    3.0000E-02  4.2096E+07    2813.906       8-  31       77
2p5_3p_3De[2]             -2p5(2P*<3/2>)5s_2{3/2}o[1]    7.8000E-03  2.7275E+07    1783.050       8-  32       78
2p5_3p_3De[2]             -2p5(2P*<1/2>)5s_2{1/2}o[1]    5.2000E-03  1.9022E+07    1743.309       8-  33       79
2p5_3p_3De[2]             -2p5(2P*<3/2>)6s_2{3/2}o[1]    2.6000E-03  1.2625E+07    1513.084       8-  34       80
