
******************************************************************************

       Photoionization cross-sections for Ar VII

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

15-Feb-2001                             !Date
153                                     !Number of energy levels
1                                       !Number of photoionization routes
7.0                                     !Screened nuclear charge
2p6_3s_2Se/3s_2Se                       !Final state in ion
0.0                                     !Excitation energy of final state
2.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
32686                                   !Total number of data pairs

3s2_1Se                                 !Configuration name
 1.062D+00 3.664D-01
 1.067D+00 3.073D-01
 1.072D+00 2.920D-01
 1.078D+00 3.270D-01
 1.083D+00 4.085D-01
 1.088D+00 5.080D-01
 1.094D+00 5.780D-01
 1.099D+00 5.890D-01
 1.110D+00 5.216D-01
 1.116D+00 5.192D-01
 1.138D+00 6.209D-01
 1.161D+00 6.486D-01
 1.179D+00 6.432D-01
 1.202D+00 6.574D-01
 1.233D+00 5.621D-01
 1.270D+00 5.897D-01
 1.302D+00 5.323D-01
 1.315D+00 5.350D-01
 1.362D+00 5.005D-01
 1.438D+00 4.785D-01
 1.565D+00 4.046D-01
 1.873D+00 3.003D-01
 2.354D+00 1.766D-01
 2.499D+00 1.476D-01
 2.653D+00 1.234D-01
 2.803D+00 1.047D-01
 2.960D+00 8.885D-02
 3.127D+00 7.538D-02
 3.472D+00 5.509D-02
 3.835D+00 4.086D-02
 4.195D+00 3.124D-02
 4.565D+00 2.423D-02
 4.944D+00 1.908D-02
 5.327D+00 1.525D-02
 5.683D+00 1.256D-02
 6.033D+00 1.050D-02
 6.373D+00 8.907D-03
 7.040D+00 6.607D-03
 7.662D+00 5.125D-03
 8.174D+00 4.221D-03
 9.075D+00 3.084D-03
 9.682D+00 2.541D-03
 9.975D+00 2.377D-03
3p2_3Pe                                 !Configuration name
20                                      !Type of cross-section
58                                      !Number of cross-section points
 1.000D+00 2.087D-01
 1.005D+00 2.552D-01
 1.010D+00 2.775D-01
 1.015D+00 2.668D-01
 1.020D+00 2.370D-01
 1.025D+00 2.187D-01
 1.030D+00 2.285D-01
 1.035D+00 2.486D-01
 1.041D+00 2.493D-01
 1.051D+00 1.988D-01
 1.056D+00 1.918D-01
 1.062D+00 2.101D-01
 1.072D+00 2.748D-01
 1.078D+00 2.847D-01
 1.088D+00 2.567D-01
 1.094D+00 2.531D-01
 1.099D+00 2.687D-01
 1.105D+00 3.033D-01
 1.110D+00 3.590D-01
 1.116D+00 4.362D-01
 1.127D+00 6.144D-01
 1.133D+00 6.813D-01
 1.138D+00 7.217D-01
 1.150D+00 7.430D-01
 1.179D+00 6.735D-01
 1.208D+00 6.606D-01
 1.226D+00 6.668D-01
 1.276D+00 6.137D-01
 1.289D+00 6.145D-01
 1.348D+00 5.566D-01
 1.362D+00 5.574D-01
 1.460D+00 5.240D-01
 1.565D+00 4.508D-01
 1.621D+00 4.386D-01
 1.808D+00 3.573D-01
 2.142D+00 2.674D-01
 2.297D+00 2.185D-01
 2.438D+00 1.826D-01
 2.588D+00 1.527D-01
 2.747D+00 1.276D-01
 2.902D+00 1.083D-01
 3.065D+00 9.186D-02
