
******************************************************************************

       Energy levels and statistical weights for S III

>> Data is from the Opacity Project
>>   Maximum energy included = Ionization energy =>   281512.
>>   Put into John`s format by create.f
>> Data is from NIST
>>   Maximum energy included = Ionization energy =>   280600.
>>   Put into John`s format by create.f
>>   Packed according to J states by pack.f
>> Data from the Opacity Project rewritten with NIST energies
>>   32 energies from NIST included
>>   199 energies from the Opacity Project scaled by  1.0114

  Config      Statistical   Energy    Ionization
                Weight      (cm-1)    Energy(eV)
******************************************************************************

24-May-1996                             !Date                                   
231                                     !Number of energy levels                
280600.                                 !Ionization energy                      
3.0                                     !Screened nuclear charge                
3436                                    !Number of transitions                  

3s23p6d3Po        9.     248537.898      3.975      99
3s23p6d1Fo        7.     248617.602      3.965     100
3s3p2(2D)3d3Se    3.     248638.532      3.963     101
3s23p7s1Po        3.     248761.070      3.947     102
3s23p7s3Po        9.     249014.716      3.916     103
3s23p6d1Po        3.     249233.768      3.889     104
3s23p6f3Fe       21.     249350.017      3.874     105
3s23p6f3De       15.     250011.187      3.792     106
3s23p6f1Fe        7.     250339.766      3.752     107
3s23p6f1De        5.     250523.899      3.729     108
3s23p6f1Ge        9.     250835.235      3.690     109
3s23p6g1Go        9.     251007.983      3.669     110
3s23p6g3Go       27.     251011.128      3.668     111
3s23p6f3Ge       27.     251058.409      3.663     112
3s23p6g3Ho       33.     251200.359      3.645     113
3s23p6g1Ho       11.     251214.565      3.643     114
3s23p6g3Fo       21.     251256.532      3.638     115
3s23p6g1Fo        7.     251267.593      3.637     116
3s23p7p1Pe        3.     251282.666      3.635     117
3s23p7p3De       15.     251684.876      3.585     118
3s23p7p3Se        3.     251919.761      3.556     119
3s23p7p3Pe        9.     251969.536      3.550     120
3s23p7p1De        5.     252508.166      3.483     121
3s23p7p1Se        1.     252953.428      3.428     122
3s3p2(2D)3d1De    5.     253979.503      3.300     123
3s3p2(4P)4d3De   15.     255954.118      3.056     124
3s23p7d3Fo       21.     255955.420      3.055     125
3s23p7d1Do        5.     256030.678      3.046     126
3s23p7d3Do       15.     256357.088      3.006     127
3s23p7f3Fe       21.     256422.478      2.998     128
3s23p7d3Po        9.     256503.701      2.987     129
3s23p7d1Fo        7.     256686.967      2.965     130
3s23p7d1Po        3.     256817.531      2.949     131
3s23p8s3Po        9.     256951.674      2.932     132
3s23p8s1Po        3.     257159.557      2.906     133
3s23p7f1Fe        7.     257708.705      2.838     134
3s23p7f1Ge        9.     258104.842      2.789     135
3s23p7f1De        5.     258162.643      2.782     136
3s23p7f3Ge       27.     258249.071      2.771     137
3s23p7g1Go        9.     258263.385      2.769     138
3s23p7g3Go       27.     258265.662      2.769     139
3s23p7f3De       15.     258290.603      2.766     140
3s23p7g3Ho       33.     258396.117      2.753     141
3s23p7g1Ho       11.     258407.179      2.751     142
3s23p7g3Fo       21.     258433.855      2.748     143
3s23p7g1Fo        7.     258442.422      2.747     144
3s23p8p1Pe        3.     258444.049      2.747     145
3s23p8p3De       15.     258715.478      2.713     146
3s23p8p3Se        3.     258811.557      2.701     147
3s23p8p3Pe        9.     258866.429      2.695     148
3s23p8p1De        5.     259186.766      2.655     149
3s23p8p1Se        1.     259505.910      2.615     150
3s3p2(2P)3d3Fe   21.     260581.869      2.482     151
3s23p8d3Fo       21.     261093.280      2.418     152
3s23p8d1Do        5.     261488.333      2.369     153
3s23p8d3Do       15.     261685.263      2.345     154
3s23p8d3Po        9.     261787.307      2.332     155
3s23p8d1Fo        7.     261817.670      2.329     156
3s23p8d1Po        3.     261971.983      2.309     157
3s23p9s3Po        9.     262110.247      2.292     158
3s23p9s1Po        3.     262235.930      2.277     159
3s23p8f3De       15.     262366.386      2.261     160
3s23p8f1Fe        7.     262545.206      2.238     161
3s23p8f1De        5.     262801.020      2.207     162
3s23p8f1Ge        9.     262843.203      2.201     163
3s23p8f3Ge       27.     262951.646      2.188     164
3s23p8g1Go        9.     262976.479      2.185     165
3s23p8g3Go       27.     262978.105      2.185     166
3s3p2(2D)4p3Do   15.     263044.363      2.177     167
3s23p8g3Ho       33.     263069.305      2.173     168
3s23p8g1Ho       11.     263077.547      2.172     169
3s23p8g3Fo       21.     263087.740      2.171     170
3s23p9p1Pe        3.     263098.150      2.170     171
3s23p8g1Fo        7.     263099.885      2.170     172
3s23p9p3De       15.     263286.513      2.147     173
3s23p9p3Se        3.     263328.047      2.141     174
3s23p9p3Pe        9.     263375.219      2.136     175
3s3p2(2D)4p3Fo   21.     263375.327      2.135     176
3s23p9p1De        5.     263586.030      2.109     177
3s23p8f3Fe       21.     263726.895      2.092     178
3s23p9p1Se        1.     263804.974      2.082     179
3s23p9d1Do        5.     265012.038      1.933     180
3s23p9d1Fo        7.     265126.553      1.918     181
3s23p9d3Do       15.     265302.662      1.897     182
3s23p9d3Po        9.     265356.883      1.890     183
3s23p9f3De       15.     265379.005      1.887     184
3s23p9d1Po        3.     265451.770      1.878     185
3s3p2(2D)4p1Do    5.     265518.135      1.870     186
3s23p9d3Fo       21.     265577.345      1.862     187
3s23p10s3Po       9.     265597.515      1.860     188
3s23p10s1Po       3.     265680.365      1.850     189
3s23p9f1Fe        7.     265869.920      1.826     190
3s23p9f1De        5.     266021.739      1.807     191
3s23p9f1Ge        9.     266098.082      1.798     192
3s23p9f3Ge       27.     266183.534      1.787     193
3s23p9g1Go        9.     266207.500      1.784     194
3s23p9g3Go       27.     266208.584      1.784     195
3s23p9g3Ho       33.     266274.083      1.776     196
3s23p9g1Ho       11.     266280.481      1.775     197
3s23p9g1Fo        7.     266287.421      1.774     198
3s23p10p1Pe       3.     266289.916      1.774     199
3s23p9g3Fo       21.     266294.470      1.774     200
3s23p10p3Se       3.     266428.179      1.757     201
3s23p10p3De      15.     266429.697      1.757     202
3s23p9f3Fe       21.     266454.204      1.754     203
3s23p10p3Pe       9.     266481.315      1.750     204
3s23p10p1De       5.     266632.808      1.732     205
3s23p10p1Se       1.     266747.214      1.717     206
3s3p2(2D)4p1Fo    7.     266801.218      1.711     207
3s3p2(2D)4p3Po    9.     267505.808      1.623     208
3s23p10f3De      15.     267517.899      1.622     209
3s23p10d1Do       5.     267797.179      1.587     210
3s23p10d3Do      15.     267857.506      1.580     211
3s23p10d1Po       3.     267870.996      1.578     212
3s23p10d3Fo      21.     267955.494      1.568     213
